task_id,family,condition,model,prompt_condition,parse_success,empty_output,schema_missing,parse_error,response_format_used,json_extractor_used,cost_usd
ert_000,packet_judgment,clean,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_001,packet_judgment,clean,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_008,packet_judgment,conflicting_evidence,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_016,packet_judgment,false_consensus,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_017,packet_judgment,false_consensus,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_024,packet_judgment,buried_primary,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_032,packet_judgment,generated_lore,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_033,packet_judgment,generated_lore,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_040,evidence_selection,clean,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_048,evidence_selection,conflicting_evidence,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_049,evidence_selection,conflicting_evidence,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_056,evidence_selection,false_consensus,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_057,evidence_selection,false_consensus,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_064,evidence_selection,buried_primary,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_065,evidence_selection,buried_primary,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_072,evidence_selection,generated_lore,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_080,active_verification,clean,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_084,active_verification,conflicting_evidence,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_092,active_verification,buried_primary,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_096,active_verification,generated_lore,deepseek-v4-pro,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_object,first_json_object,0.0
ert_000,packet_judgment,clean,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_001,packet_judgment,clean,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_008,packet_judgment,conflicting_evidence,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_016,packet_judgment,false_consensus,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_017,packet_judgment,false_consensus,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_024,packet_judgment,buried_primary,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_032,packet_judgment,generated_lore,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_033,packet_judgment,generated_lore,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_040,evidence_selection,clean,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_048,evidence_selection,conflicting_evidence,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_049,evidence_selection,conflicting_evidence,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_056,evidence_selection,false_consensus,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_057,evidence_selection,false_consensus,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_064,evidence_selection,buried_primary,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_065,evidence_selection,buried_primary,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_072,evidence_selection,generated_lore,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_080,active_verification,clean,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_084,active_verification,conflicting_evidence,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_092,active_verification,buried_primary,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_096,active_verification,generated_lore,gemini-3.1-pro-preview,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_000,packet_judgment,clean,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_001,packet_judgment,clean,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_008,packet_judgment,conflicting_evidence,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_016,packet_judgment,false_consensus,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_017,packet_judgment,false_consensus,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_024,packet_judgment,buried_primary,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_032,packet_judgment,generated_lore,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_033,packet_judgment,generated_lore,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_040,evidence_selection,clean,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_048,evidence_selection,conflicting_evidence,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_049,evidence_selection,conflicting_evidence,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_056,evidence_selection,false_consensus,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_057,evidence_selection,false_consensus,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_064,evidence_selection,buried_primary,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_065,evidence_selection,buried_primary,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_072,evidence_selection,generated_lore,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_080,active_verification,clean,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_084,active_verification,conflicting_evidence,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_092,active_verification,buried_primary,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_096,active_verification,generated_lore,gpt-5.4,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_000,packet_judgment,clean,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_001,packet_judgment,clean,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_008,packet_judgment,conflicting_evidence,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_016,packet_judgment,false_consensus,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_017,packet_judgment,false_consensus,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_024,packet_judgment,buried_primary,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_032,packet_judgment,generated_lore,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_033,packet_judgment,generated_lore,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_040,evidence_selection,clean,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_048,evidence_selection,conflicting_evidence,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_049,evidence_selection,conflicting_evidence,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_056,evidence_selection,false_consensus,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_057,evidence_selection,false_consensus,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_064,evidence_selection,buried_primary,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_065,evidence_selection,buried_primary,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_072,evidence_selection,generated_lore,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_080,active_verification,clean,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_084,active_verification,conflicting_evidence,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_092,active_verification,buried_primary,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
ert_096,active_verification,generated_lore,kimi-k2.6,epistemic_hygiene_instruction,1.0,0.0,0.0,,json_schema,first_json_object,0.0
