report_dir,task_id,episode_type,model,retriever,strategy,gold_claim_verdict,predicted_claim_verdict,claim_accuracy,contaminated_citation_rate,gold_critical_risks,predicted_critical_risks,matched_critical_risks,missing_critical_risks,spurious_critical_risks,critical_risk_error_type,critical_risk_exact,critical_risk_has_false_negative,critical_risk_has_false_positive,critical_risk_mixed_error,repair_focus
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_052,temporal_pollution_compare,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,stale_evidence,"stale_evidence,conflicting_evidence",stale_evidence,,conflicting_evidence,false_positive_only,0.0,0.0,1.0,0.0,"reserve conflict for clean contradiction or direct refutation, not every rejected pollutant"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_053,temporal_pollution_compare,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,stale_evidence,"stale_evidence,conflicting_evidence",stale_evidence,,conflicting_evidence,false_positive_only,0.0,0.0,1.0,0.0,"reserve conflict for clean contradiction or direct refutation, not every rejected pollutant"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_054,temporal_pollution_compare,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,stale_evidence,"stale_evidence,conflicting_evidence",stale_evidence,,conflicting_evidence,false_positive_only,0.0,0.0,1.0,0.0,"reserve conflict for clean contradiction or direct refutation, not every rejected pollutant"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_054,temporal_pollution_compare,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,stale_evidence,,,stale_evidence,,false_negative_only,0.0,1.0,0.0,0.0,define stale as verdict-critical only when the accepted support is superseded or no current primary support is used
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_059,temporal_pollution_compare,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,stale_evidence,conflicting_evidence,,stale_evidence,conflicting_evidence,mixed_error,0.0,1.0,1.0,1.0,"reserve conflict for clean contradiction or direct refutation, not every rejected pollutant"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_060,halupedia_or_generated_lore,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,insufficient,insufficient,1.0,0.0,"generated_lore,no_primary_source",,,"generated_lore,no_primary_source",,false_negative_only,0.0,1.0,0.0,0.0,separate generated/wiki-like visible pollutants from no-primary abstention and verdict-critical generated lore
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_060,halupedia_or_generated_lore,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v8_structural,insufficient,insufficient,1.0,0.0,"generated_lore,no_primary_source",no_primary_source,no_primary_source,generated_lore,,false_negative_only,0.0,1.0,0.0,0.0,separate generated/wiki-like visible pollutants from no-primary abstention and verdict-critical generated lore
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_062,halupedia_or_generated_lore,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v8_structural,insufficient,insufficient,1.0,0.0,"generated_lore,no_primary_source","no_primary_source,generated_lore","generated_lore,no_primary_source",,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_064,halupedia_or_generated_lore,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,insufficient,insufficient,1.0,0.0,"generated_lore,no_primary_source","generated_lore,no_primary_source,false_consensus,citation_laundering","generated_lore,no_primary_source",,"citation_laundering,false_consensus",false_positive_only,0.0,0.0,1.0,0.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_066,halupedia_or_generated_lore,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v8_structural,insufficient,insufficient,1.0,0.0,"generated_lore,no_primary_source","generated_lore,no_primary_source","generated_lore,no_primary_source",,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_070,insufficient_or_no_primary,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v8_structural,insufficient,insufficient,1.0,0.0,no_primary_source,no_primary_source,no_primary_source,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_071,insufficient_or_no_primary,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,insufficient,insufficient,1.0,0.0,no_primary_source,no_primary_source,no_primary_source,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_072,insufficient_or_no_primary,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v8_structural,insufficient,insufficient,1.0,0.0,no_primary_source,"generated_lore,no_primary_source",no_primary_source,,generated_lore,false_positive_only,0.0,0.0,1.0,0.0,separate generated/wiki-like visible pollutants from no-primary abstention and verdict-critical generated lore
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_073,insufficient_or_no_primary,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,insufficient,insufficient,1.0,0.0,no_primary_source,"no_primary_source,citation_laundering",no_primary_source,,citation_laundering,false_positive_only,0.0,0.0,1.0,0.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_074,insufficient_or_no_primary,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v8_structural,insufficient,insufficient,1.0,0.0,no_primary_source,"no_primary_source,citation_laundering,false_consensus",no_primary_source,,"citation_laundering,false_consensus",false_positive_only,0.0,0.0,1.0,0.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_076,mixed_source_corruption_v2,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,partial_support,conflicting_evidence,,partial_support,conflicting_evidence,mixed_error,0.0,1.0,1.0,1.0,"mark partial support when clean evidence supports a weaker scope, quantifier, or causal claim"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_076,mixed_source_corruption_v2,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v8_structural,refuted,insufficient,0.0,0.0,partial_support,conflicting_evidence,,partial_support,conflicting_evidence,mixed_error,0.0,1.0,1.0,1.0,"mark partial support when clean evidence supports a weaker scope, quantifier, or causal claim"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_077,mixed_source_corruption_v2,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,partial_support,conflicting_evidence,,partial_support,conflicting_evidence,mixed_error,0.0,1.0,1.0,1.0,"mark partial support when clean evidence supports a weaker scope, quantifier, or causal claim"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_078,mixed_source_corruption_v2,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,partial_support,,,partial_support,,false_negative_only,0.0,1.0,0.0,0.0,"mark partial support when clean evidence supports a weaker scope, quantifier, or causal claim"
reports-phase2s-v8-structural-schema-calibration-slice-gpt4omini,eha2r_079,mixed_source_corruption_v2,gpt-4o-mini,bm25_top8,evidence_diagnostics_v8_structural,refuted,refuted,1.0,0.0,partial_support,conflicting_evidence,,partial_support,conflicting_evidence,mixed_error,0.0,1.0,1.0,1.0,"mark partial support when clean evidence supports a weaker scope, quantifier, or causal claim"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_000,clean_control,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_001,clean_control,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v9_structural_recall,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_002,clean_control,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v9_structural_recall,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_004,clean_control,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_007,clean_control,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v9_structural_recall,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_008,false_consensus_stress,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,"conflicting_evidence,false_consensus",conflicting_evidence,conflicting_evidence,false_consensus,,false_negative_only,0.0,1.0,0.0,0.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_009,false_consensus_stress,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,"conflicting_evidence,false_consensus","citation_laundering,false_consensus",false_consensus,conflicting_evidence,citation_laundering,mixed_error,0.0,1.0,1.0,1.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_014,false_consensus_stress,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,refuted,insufficient,0.0,0.0,"conflicting_evidence,false_consensus",,,"conflicting_evidence,false_consensus",,false_negative_only,0.0,1.0,0.0,0.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_029,false_consensus_stress,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,refuted,insufficient,0.0,0.0,"conflicting_evidence,false_consensus",no_primary_source,,"conflicting_evidence,false_consensus",no_primary_source,mixed_error,0.0,1.0,1.0,1.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_031,false_consensus_stress,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,refuted,insufficient,0.0,1.0,"conflicting_evidence,false_consensus","no_primary_source,false_consensus",false_consensus,conflicting_evidence,no_primary_source,mixed_error,0.0,1.0,1.0,1.0,"reserve conflict for clean contradiction or direct refutation, not every rejected pollutant"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_040,citation_laundering_trace,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,"citation_laundering,conflicting_evidence",false_consensus,,"conflicting_evidence,citation_laundering",false_consensus,mixed_error,0.0,1.0,1.0,1.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_041,citation_laundering_trace,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,"citation_laundering,conflicting_evidence","generated_lore,false_consensus,citation_laundering,conflicting_evidence","conflicting_evidence,citation_laundering",,"generated_lore,false_consensus",false_positive_only,0.0,0.0,1.0,0.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_043,citation_laundering_trace,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,"citation_laundering,conflicting_evidence",false_consensus,,"conflicting_evidence,citation_laundering",false_consensus,mixed_error,0.0,1.0,1.0,1.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_044,citation_laundering_trace,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,"citation_laundering,conflicting_evidence","no_primary_source,conflicting_evidence",conflicting_evidence,citation_laundering,no_primary_source,mixed_error,0.0,1.0,1.0,1.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_049,citation_laundering_trace,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,"citation_laundering,conflicting_evidence","stale_evidence,conflicting_evidence",conflicting_evidence,citation_laundering,stale_evidence,mixed_error,0.0,1.0,1.0,1.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_052,temporal_pollution_compare,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,stale_evidence,"stale_evidence,conflicting_evidence",stale_evidence,,conflicting_evidence,false_positive_only,0.0,0.0,1.0,0.0,"reserve conflict for clean contradiction or direct refutation, not every rejected pollutant"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_053,temporal_pollution_compare,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,stale_evidence,conflicting_evidence,,stale_evidence,conflicting_evidence,mixed_error,0.0,1.0,1.0,1.0,"reserve conflict for clean contradiction or direct refutation, not every rejected pollutant"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_054,temporal_pollution_compare,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,stale_evidence,no_primary_source,,stale_evidence,no_primary_source,mixed_error,0.0,1.0,1.0,1.0,define stale as verdict-critical only when the accepted support is superseded or no current primary support is used
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_054,temporal_pollution_compare,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,stale_evidence,conflicting_evidence,,stale_evidence,conflicting_evidence,mixed_error,0.0,1.0,1.0,1.0,"reserve conflict for clean contradiction or direct refutation, not every rejected pollutant"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_059,temporal_pollution_compare,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,stale_evidence,conflicting_evidence,,stale_evidence,conflicting_evidence,mixed_error,0.0,1.0,1.0,1.0,"reserve conflict for clean contradiction or direct refutation, not every rejected pollutant"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_060,halupedia_or_generated_lore,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,insufficient,insufficient,1.0,0.0,"generated_lore,no_primary_source","no_primary_source,false_consensus",no_primary_source,generated_lore,false_consensus,mixed_error,0.0,1.0,1.0,1.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_060,halupedia_or_generated_lore,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v9_structural_recall,insufficient,insufficient,1.0,0.0,"generated_lore,no_primary_source",no_primary_source,no_primary_source,generated_lore,,false_negative_only,0.0,1.0,0.0,0.0,separate generated/wiki-like visible pollutants from no-primary abstention and verdict-critical generated lore
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_062,halupedia_or_generated_lore,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v9_structural_recall,insufficient,insufficient,1.0,0.0,"generated_lore,no_primary_source",,,"generated_lore,no_primary_source",,false_negative_only,0.0,1.0,0.0,0.0,separate generated/wiki-like visible pollutants from no-primary abstention and verdict-critical generated lore
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_064,halupedia_or_generated_lore,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,insufficient,insufficient,1.0,0.0,"generated_lore,no_primary_source","no_primary_source,citation_laundering",no_primary_source,generated_lore,citation_laundering,mixed_error,0.0,1.0,1.0,1.0,"require a visible source-chain problem, not same-root repetition or generic reposting"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_066,halupedia_or_generated_lore,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v9_structural_recall,insufficient,insufficient,1.0,0.0,"generated_lore,no_primary_source","generated_lore,no_primary_source","generated_lore,no_primary_source",,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_070,insufficient_or_no_primary,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v9_structural_recall,insufficient,insufficient,1.0,0.0,no_primary_source,no_primary_source,no_primary_source,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_071,insufficient_or_no_primary,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,insufficient,insufficient,1.0,0.0,no_primary_source,,,no_primary_source,,false_negative_only,0.0,1.0,0.0,0.0,"use no-primary only when no current primary, audit, signed record, export, or direct source is visible"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_072,insufficient_or_no_primary,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v9_structural_recall,insufficient,insufficient,1.0,0.0,no_primary_source,no_primary_source,no_primary_source,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_073,insufficient_or_no_primary,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,insufficient,insufficient,1.0,0.0,no_primary_source,no_primary_source,no_primary_source,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_074,insufficient_or_no_primary,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v9_structural_recall,insufficient,refuted,0.0,0.0,no_primary_source,"generated_lore,no_primary_source,false_consensus",no_primary_source,,"generated_lore,false_consensus",false_positive_only,0.0,0.0,1.0,0.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_076,mixed_source_corruption_v2,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,partial_support,"conflicting_evidence,citation_laundering",,partial_support,"conflicting_evidence,citation_laundering",mixed_error,0.0,1.0,1.0,1.0,"mark partial support when clean evidence supports a weaker scope, quantifier, or causal claim"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_076,mixed_source_corruption_v2,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,partial_support,citation_laundering,,partial_support,citation_laundering,mixed_error,0.0,1.0,1.0,1.0,"mark partial support when clean evidence supports a weaker scope, quantifier, or causal claim"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_077,mixed_source_corruption_v2,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,partial_support,conflicting_evidence,,partial_support,conflicting_evidence,mixed_error,0.0,1.0,1.0,1.0,"mark partial support when clean evidence supports a weaker scope, quantifier, or causal claim"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_078,mixed_source_corruption_v2,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,partial_support,"false_consensus,citation_laundering",,partial_support,"citation_laundering,false_consensus",mixed_error,0.0,1.0,1.0,1.0,"mark partial support when clean evidence supports a weaker scope, quantifier, or causal claim"
reports-phase2s-v9-structural-recall-calibration-slice-gpt4omini,eha2r_079,mixed_source_corruption_v2,gpt-4o-mini,bm25_top8,evidence_diagnostics_v9_structural_recall,refuted,refuted,1.0,0.0,partial_support,"citation_laundering,false_consensus,conflicting_evidence",,partial_support,"conflicting_evidence,citation_laundering,false_consensus",mixed_error,0.0,1.0,1.0,1.0,"mark partial support when clean evidence supports a weaker scope, quantifier, or causal claim"
reports-phase2s-v10-structural-contract-calibration-slice-gpt4omini,eha2r_000,clean_control,gpt-4o-mini,bm25_top8,evidence_diagnostics_v10_structural_contract,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v10-structural-contract-calibration-slice-gpt4omini,eha2r_001,clean_control,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v10_structural_contract,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v10-structural-contract-calibration-slice-gpt4omini,eha2r_002,clean_control,gpt-4o-mini,hygienic_combo_top8,evidence_diagnostics_v10_structural_contract,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v10-structural-contract-calibration-slice-gpt4omini,eha2r_004,clean_control,gpt-4o-mini,bm25_top8,evidence_diagnostics_v10_structural_contract,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v10-structural-contract-calibration-slice-gpt4omini,eha2r_007,clean_control,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v10_structural_contract,supported,supported,1.0,0.0,,,,,,exact,1.0,0.0,0.0,0.0,preserve_current_boundary
reports-phase2s-v10-structural-contract-calibration-slice-gpt4omini,eha2r_008,false_consensus_stress,gpt-4o-mini,primary_preserve_top8,evidence_diagnostics_v10_structural_contract,refuted,refuted,1.0,0.0,"conflicting_evidence,false_consensus",,,"conflicting_evidence,false_consensus",,false_negative_only,0.0,1.0,0.0,0.0,"require repeated same-root apparent support that could dominate the verdict, not ordinary visible repetition"
