target_claim_id,family,template_id,surface_axis,condition_a,condition_b,task_id_a,task_id_b,question_a,question_b,gold_verdict,scope_tag,answer_brief,primary_support_count_a,primary_support_count_b,contaminated_doc_count_a,contaminated_doc_count_b,doc_summary_a,doc_summary_b,auto_pair_contract_ok,auto_retrieval_observability_ok,auto_action_target_contract_ok,auto_visible_leakage_count,review_status,intended_cue_changed_only,verdict_and_evidence_contract_preserved,hidden_label_leakage_found,retrieval_observability_ok,action_target_contract_ok,suitable_for_small_api_pilot,reviewer_notes
c_surface_active_verification_service_lane_adversarial_spoofing,active_verification,service_lane,adversarial_spoofing,plain_pollutant,regulator_spoof_pollutant,eha2sc_176,eha2sc_177,Should an agent verify whether Novalis Robotics's April 2025 service-lane exception was contradicted by control exports?,Should an agent verify whether Novalis Robotics's April 2025 service-lane exception was contradicted by control exports?,refuted,conflicting,"Refuted: control exports contradict the repeated service-lane exception summary, so the useful next action is to compare the export and trace the summary.",2,2,2,2,eha2sc_176_doc_01:audit_report:Novalis Robotics signed ledger for service-lane verification ; eha2sc_176_doc_02:database_export:Control export for service-lane verification ; eha2sc_176_doc_03:industry_digest:Partner overview of service-lane verification ; eha2sc_176_doc_04:partner_newsletter:Secondary account of service-lane verification ; eha2sc_176_doc_05:meeting_minutes:Context note on service-lane verification,eha2sc_177_doc_01:audit_report:Novalis Robotics signed ledger for service-lane verification ; eha2sc_177_doc_02:database_export:Control export for service-lane verification ; eha2sc_177_doc_03:audit_report:Compliance bulletin ; eha2sc_177_doc_04:regulator_filing:Regulatory-style repost ; eha2sc_177_doc_05:meeting_minutes:Context note on service-lane verification,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_service_lane_content_only,active_verification,service_lane,content_only,full_metadata,content_only_metadata_stripped,eha2sc_178,eha2sc_179,Should an agent verify whether Novalis Robotics's April 2025 service-lane exception was contradicted by control exports?,Should an agent verify whether Novalis Robotics's April 2025 service-lane exception was contradicted by control exports?,refuted,conflicting,"Refuted: control exports contradict the repeated service-lane exception summary, so the useful next action is to compare the export and trace the summary.",2,2,2,2,eha2sc_178_doc_01:audit_report:Novalis Robotics signed ledger for service-lane verification ; eha2sc_178_doc_02:database_export:Control export for service-lane verification ; eha2sc_178_doc_03:industry_digest:Partner overview of service-lane verification ; eha2sc_178_doc_04:partner_newsletter:Secondary account of service-lane verification ; eha2sc_178_doc_05:meeting_minutes:Context note on service-lane verification,eha2sc_179_doc_01:document:Document A ; eha2sc_179_doc_02:document:Document B ; eha2sc_179_doc_03:document:Document C ; eha2sc_179_doc_04:document:Document D ; eha2sc_179_doc_05:document:Document E,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_service_lane_metadata_perturbation,active_verification,service_lane,metadata_perturbation,truthful_metadata,shuffled_authority_metadata,eha2sc_172,eha2sc_173,Should an agent verify whether Novalis Robotics's April 2025 service-lane exception was contradicted by control exports?,Should an agent verify whether Novalis Robotics's April 2025 service-lane exception was contradicted by control exports?,refuted,conflicting,"Refuted: control exports contradict the repeated service-lane exception summary, so the useful next action is to compare the export and trace the summary.",2,2,2,2,eha2sc_172_doc_01:audit_report:Novalis Robotics signed ledger for service-lane verification ; eha2sc_172_doc_02:database_export:Control export for service-lane verification ; eha2sc_172_doc_03:industry_digest:Partner overview of service-lane verification ; eha2sc_172_doc_04:partner_newsletter:Secondary account of service-lane verification ; eha2sc_172_doc_05:meeting_minutes:Context note on service-lane verification,eha2sc_173_doc_01:operations_note:Internal operations note ; eha2sc_173_doc_02:spreadsheet_excerpt:Shipment spreadsheet excerpt ; eha2sc_173_doc_03:regulator_filing:Regulator filing summary ; eha2sc_173_doc_04:audit_report:Audit-style recap ; eha2sc_173_doc_05:meeting_minutes:Context note on service-lane verification,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_service_lane_source_type_visibility,active_verification,service_lane,source_type_visibility,visible_source_types,hidden_source_types,eha2sc_170,eha2sc_171,Should an agent verify whether Novalis Robotics's April 2025 service-lane exception was contradicted by control exports?,Should an agent verify whether Novalis Robotics's April 2025 service-lane exception was contradicted by control exports?,refuted,conflicting,"Refuted: control exports contradict the repeated service-lane exception summary, so the useful next action is to compare the export and trace the summary.",2,2,2,2,eha2sc_170_doc_01:audit_report:Novalis Robotics signed ledger for service-lane verification ; eha2sc_170_doc_02:database_export:Control export for service-lane verification ; eha2sc_170_doc_03:industry_digest:Partner overview of service-lane verification ; eha2sc_170_doc_04:partner_newsletter:Secondary account of service-lane verification ; eha2sc_170_doc_05:meeting_minutes:Context note on service-lane verification,eha2sc_171_doc_01:document:Document A ; eha2sc_171_doc_02:document:Document B ; eha2sc_171_doc_03:document:Document C ; eha2sc_171_doc_04:document:Document D ; eha2sc_171_doc_05:document:Document E,yes,yes,yes,0,not_started,,,,,,,
c_surface_active_verification_service_lane_style_normalization,active_verification,service_lane,style_normalization,original_style,normalized_style,eha2sc_174,eha2sc_175,Should an agent verify whether Novalis Robotics's April 2025 service-lane exception was contradicted by control exports?,Should an agent verify whether Novalis Robotics's April 2025 service-lane exception was contradicted by control exports?,refuted,conflicting,"Refuted: control exports contradict the repeated service-lane exception summary, so the useful next action is to compare the export and trace the summary.",2,2,2,2,eha2sc_174_doc_01:audit_report:Novalis Robotics signed ledger for service-lane verification ; eha2sc_174_doc_02:database_export:Control export for service-lane verification ; eha2sc_174_doc_03:industry_digest:Partner overview of service-lane verification ; eha2sc_174_doc_04:partner_newsletter:Secondary account of service-lane verification ; eha2sc_174_doc_05:meeting_minutes:Context note on service-lane verification,eha2sc_175_doc_01:audit_report:Novalis Robotics signed ledger for service-lane verification ; eha2sc_175_doc_02:database_export:Control export for service-lane verification ; eha2sc_175_doc_03:industry_digest:Partner overview of service-lane verification ; eha2sc_175_doc_04:partner_newsletter:Secondary account of service-lane verification ; eha2sc_175_doc_05:meeting_minutes:Context note on service-lane verification,yes,yes,yes,0,not_started,,,,,,,
c_surface_conflict_calibration_adversarial_spoofing,conflict,calibration,adversarial_spoofing,plain_pollutant,regulator_spoof_pollutant,eha2sc_026,eha2sc_027,Did Novalis Robotics close all Q4 2024 calibration tickets within 48 hours?,Did Novalis Robotics close all Q4 2024 calibration tickets within 48 hours?,refuted,conflicting,"Refuted: signed ticket records show 84 percent closed within 48 hours, not all tickets.",2,2,2,2,eha2sc_026_doc_01:audit_report:Novalis Robotics signed ledger for calibration-ticket closure ; eha2sc_026_doc_02:database_export:Control export for calibration-ticket closure ; eha2sc_026_doc_03:industry_digest:Partner overview of calibration-ticket closure ; eha2sc_026_doc_04:partner_newsletter:Secondary account of calibration-ticket closure ; eha2sc_026_doc_05:meeting_minutes:Context note on calibration-ticket closure,eha2sc_027_doc_01:audit_report:Novalis Robotics signed ledger for calibration-ticket closure ; eha2sc_027_doc_02:database_export:Control export for calibration-ticket closure ; eha2sc_027_doc_03:audit_report:Compliance bulletin ; eha2sc_027_doc_04:regulator_filing:Regulatory-style repost ; eha2sc_027_doc_05:meeting_minutes:Context note on calibration-ticket closure,yes,yes,yes,0,not_started,,,,,,,
c_surface_conflict_calibration_content_only,conflict,calibration,content_only,full_metadata,content_only_metadata_stripped,eha2sc_028,eha2sc_029,Did Novalis Robotics close all Q4 2024 calibration tickets within 48 hours?,Did Novalis Robotics close all Q4 2024 calibration tickets within 48 hours?,refuted,conflicting,"Refuted: signed ticket records show 84 percent closed within 48 hours, not all tickets.",2,2,2,2,eha2sc_028_doc_01:audit_report:Novalis Robotics signed ledger for calibration-ticket closure ; eha2sc_028_doc_02:database_export:Control export for calibration-ticket closure ; eha2sc_028_doc_03:industry_digest:Partner overview of calibration-ticket closure ; eha2sc_028_doc_04:partner_newsletter:Secondary account of calibration-ticket closure ; eha2sc_028_doc_05:meeting_minutes:Context note on calibration-ticket closure,eha2sc_029_doc_01:document:Document A ; eha2sc_029_doc_02:document:Document B ; eha2sc_029_doc_03:document:Document C ; eha2sc_029_doc_04:document:Document D ; eha2sc_029_doc_05:document:Document E,yes,yes,yes,0,not_started,,,,,,,
c_surface_conflict_calibration_metadata_perturbation,conflict,calibration,metadata_perturbation,truthful_metadata,shuffled_authority_metadata,eha2sc_022,eha2sc_023,Did Novalis Robotics close all Q4 2024 calibration tickets within 48 hours?,Did Novalis Robotics close all Q4 2024 calibration tickets within 48 hours?,refuted,conflicting,"Refuted: signed ticket records show 84 percent closed within 48 hours, not all tickets.",2,2,2,2,eha2sc_022_doc_01:audit_report:Novalis Robotics signed ledger for calibration-ticket closure ; eha2sc_022_doc_02:database_export:Control export for calibration-ticket closure ; eha2sc_022_doc_03:industry_digest:Partner overview of calibration-ticket closure ; eha2sc_022_doc_04:partner_newsletter:Secondary account of calibration-ticket closure ; eha2sc_022_doc_05:meeting_minutes:Context note on calibration-ticket closure,eha2sc_023_doc_01:operations_note:Internal operations note ; eha2sc_023_doc_02:spreadsheet_excerpt:Shipment spreadsheet excerpt ; eha2sc_023_doc_03:regulator_filing:Regulator filing summary ; eha2sc_023_doc_04:audit_report:Audit-style recap ; eha2sc_023_doc_05:meeting_minutes:Context note on calibration-ticket closure,yes,yes,yes,0,not_started,,,,,,,
c_surface_conflict_calibration_source_type_visibility,conflict,calibration,source_type_visibility,visible_source_types,hidden_source_types,eha2sc_020,eha2sc_021,Did Novalis Robotics close all Q4 2024 calibration tickets within 48 hours?,Did Novalis Robotics close all Q4 2024 calibration tickets within 48 hours?,refuted,conflicting,"Refuted: signed ticket records show 84 percent closed within 48 hours, not all tickets.",2,2,2,2,eha2sc_020_doc_01:audit_report:Novalis Robotics signed ledger for calibration-ticket closure ; eha2sc_020_doc_02:database_export:Control export for calibration-ticket closure ; eha2sc_020_doc_03:industry_digest:Partner overview of calibration-ticket closure ; eha2sc_020_doc_04:partner_newsletter:Secondary account of calibration-ticket closure ; eha2sc_020_doc_05:meeting_minutes:Context note on calibration-ticket closure,eha2sc_021_doc_01:document:Document A ; eha2sc_021_doc_02:document:Document B ; eha2sc_021_doc_03:document:Document C ; eha2sc_021_doc_04:document:Document D ; eha2sc_021_doc_05:document:Document E,yes,yes,yes,0,not_started,,,,,,,
c_surface_conflict_calibration_style_normalization,conflict,calibration,style_normalization,original_style,normalized_style,eha2sc_024,eha2sc_025,Did Novalis Robotics close all Q4 2024 calibration tickets within 48 hours?,Did Novalis Robotics close all Q4 2024 calibration tickets within 48 hours?,refuted,conflicting,"Refuted: signed ticket records show 84 percent closed within 48 hours, not all tickets.",2,2,2,2,eha2sc_024_doc_01:audit_report:Novalis Robotics signed ledger for calibration-ticket closure ; eha2sc_024_doc_02:database_export:Control export for calibration-ticket closure ; eha2sc_024_doc_03:industry_digest:Partner overview of calibration-ticket closure ; eha2sc_024_doc_04:partner_newsletter:Secondary account of calibration-ticket closure ; eha2sc_024_doc_05:meeting_minutes:Context note on calibration-ticket closure,eha2sc_025_doc_01:audit_report:Novalis Robotics signed ledger for calibration-ticket closure ; eha2sc_025_doc_02:database_export:Control export for calibration-ticket closure ; eha2sc_025_doc_03:industry_digest:Partner overview of calibration-ticket closure ; eha2sc_025_doc_04:partner_newsletter:Secondary account of calibration-ticket closure ; eha2sc_025_doc_05:meeting_minutes:Context note on calibration-ticket closure,yes,yes,yes,0,not_started,,,,,,,
c_surface_conflict_orders_adversarial_spoofing,conflict,orders,adversarial_spoofing,plain_pollutant,regulator_spoof_pollutant,eha2sc_006,eha2sc_007,Did Novalis Robotics complete at least 97.6 percent of Q3 2024 replacement orders on time?,Did Novalis Robotics complete at least 97.6 percent of Q3 2024 replacement orders on time?,refuted,conflicting,"Refuted: signed records show Novalis Robotics completed 91.2 percent, not 97.6 percent.",2,2,2,2,eha2sc_006_doc_01:audit_report:Novalis Robotics signed ledger for replacement-order completion ; eha2sc_006_doc_02:database_export:Control export for replacement-order completion ; eha2sc_006_doc_03:industry_digest:Partner overview of replacement-order completion ; eha2sc_006_doc_04:partner_newsletter:Secondary account of replacement-order completion ; eha2sc_006_doc_05:meeting_minutes:Context note on replacement-order completion,eha2sc_007_doc_01:audit_report:Novalis Robotics signed ledger for replacement-order completion ; eha2sc_007_doc_02:database_export:Control export for replacement-order completion ; eha2sc_007_doc_03:audit_report:Compliance bulletin ; eha2sc_007_doc_04:regulator_filing:Regulatory-style repost ; eha2sc_007_doc_05:meeting_minutes:Context note on replacement-order completion,yes,yes,yes,0,not_started,,,,,,,
c_surface_conflict_orders_content_only,conflict,orders,content_only,full_metadata,content_only_metadata_stripped,eha2sc_008,eha2sc_009,Did Novalis Robotics complete at least 97.6 percent of Q3 2024 replacement orders on time?,Did Novalis Robotics complete at least 97.6 percent of Q3 2024 replacement orders on time?,refuted,conflicting,"Refuted: signed records show Novalis Robotics completed 91.2 percent, not 97.6 percent.",2,2,2,2,eha2sc_008_doc_01:audit_report:Novalis Robotics signed ledger for replacement-order completion ; eha2sc_008_doc_02:database_export:Control export for replacement-order completion ; eha2sc_008_doc_03:industry_digest:Partner overview of replacement-order completion ; eha2sc_008_doc_04:partner_newsletter:Secondary account of replacement-order completion ; eha2sc_008_doc_05:meeting_minutes:Context note on replacement-order completion,eha2sc_009_doc_01:document:Document A ; eha2sc_009_doc_02:document:Document B ; eha2sc_009_doc_03:document:Document C ; eha2sc_009_doc_04:document:Document D ; eha2sc_009_doc_05:document:Document E,yes,yes,yes,0,not_started,,,,,,,
c_surface_conflict_orders_metadata_perturbation,conflict,orders,metadata_perturbation,truthful_metadata,shuffled_authority_metadata,eha2sc_002,eha2sc_003,Did Novalis Robotics complete at least 97.6 percent of Q3 2024 replacement orders on time?,Did Novalis Robotics complete at least 97.6 percent of Q3 2024 replacement orders on time?,refuted,conflicting,"Refuted: signed records show Novalis Robotics completed 91.2 percent, not 97.6 percent.",2,2,2,2,eha2sc_002_doc_01:audit_report:Novalis Robotics signed ledger for replacement-order completion ; eha2sc_002_doc_02:database_export:Control export for replacement-order completion ; eha2sc_002_doc_03:industry_digest:Partner overview of replacement-order completion ; eha2sc_002_doc_04:partner_newsletter:Secondary account of replacement-order completion ; eha2sc_002_doc_05:meeting_minutes:Context note on replacement-order completion,eha2sc_003_doc_01:operations_note:Internal operations note ; eha2sc_003_doc_02:spreadsheet_excerpt:Shipment spreadsheet excerpt ; eha2sc_003_doc_03:regulator_filing:Regulator filing summary ; eha2sc_003_doc_04:audit_report:Audit-style recap ; eha2sc_003_doc_05:meeting_minutes:Context note on replacement-order completion,yes,yes,yes,0,not_started,,,,,,,
c_surface_conflict_orders_source_type_visibility,conflict,orders,source_type_visibility,visible_source_types,hidden_source_types,eha2sc_000,eha2sc_001,Did Novalis Robotics complete at least 97.6 percent of Q3 2024 replacement orders on time?,Did Novalis Robotics complete at least 97.6 percent of Q3 2024 replacement orders on time?,refuted,conflicting,"Refuted: signed records show Novalis Robotics completed 91.2 percent, not 97.6 percent.",2,2,2,2,eha2sc_000_doc_01:audit_report:Novalis Robotics signed ledger for replacement-order completion ; eha2sc_000_doc_02:database_export:Control export for replacement-order completion ; eha2sc_000_doc_03:industry_digest:Partner overview of replacement-order completion ; eha2sc_000_doc_04:partner_newsletter:Secondary account of replacement-order completion ; eha2sc_000_doc_05:meeting_minutes:Context note on replacement-order completion,eha2sc_001_doc_01:document:Document A ; eha2sc_001_doc_02:document:Document B ; eha2sc_001_doc_03:document:Document C ; eha2sc_001_doc_04:document:Document D ; eha2sc_001_doc_05:document:Document E,yes,yes,yes,0,not_started,,,,,,,
