task_id,difficulty,episode_type,model,retriever,strategy,prompt,backend,parse_success,claim_accuracy,escape_rate,contaminated_citation_rate,abstention_quality,overconfident_wrong_rate,over_abstention_rate,generated_lore_overclaim_rate,false_consensus_susceptibility,primary_recovery_rate,confidence,cost_usd,supporting_evidence,rejected_evidence,gold_claim_verdict,predicted_claim_verdict,prompt_version
eham_098,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.9,0.0002964,eham_098_pollutant_root,,refuted,supported,claim_first_citation_v1_1
eham_099,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.9,0.00029445,eham_099_pollutant_root,,refuted,supported,claim_first_citation_v1_1
eham_100,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.9,0.0002919,eham_100_pollutant_root,,refuted,supported,claim_first_citation_v1_1
eham_101,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.85,0.00029115,eham_101_pollutant_root,,refuted,supported,claim_first_citation_v1_1
eham_102,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.9,0.00027855,eham_102_pollutant_root,,refuted,supported,claim_first_citation_v1_1
eham_103,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.9,0.0002928,eham_103_pollutant_root,,refuted,supported,claim_first_citation_v1_1
eham_104,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.9,0.00029145,eham_104_pollutant_root,,refuted,supported,claim_first_citation_v1_1
eham_105,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.9,0.0002853,eham_105_pollutant_root,,refuted,supported,claim_first_citation_v1_1
eham_106,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.85,0.00028995,eham_106_pollutant_root,,refuted,supported,claim_first_citation_v1_1
eham_107,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.9,0.00027495,eham_107_pollutant_root,,refuted,supported,claim_first_citation_v1_1
eham_120,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0003081,,"eham_120_pollutant_root,eham_120_repost_00,eham_120_repost_01,eham_120_repost_02,eham_120_repost_03,eham_120_repost_04,eham_120_context_06,eham_120_context_07",insufficient,insufficient,claim_first_citation_v1_1
eham_121,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.00030825,,"eham_121_pollutant_root,eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03,eham_121_repost_04,eham_121_context_06,eham_121_context_07",insufficient,insufficient,claim_first_citation_v1_1
eham_122,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0002769,,,insufficient,insufficient,claim_first_citation_v1_1
eham_123,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.00031725,,"eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_02,eham_123_repost_03,eham_123_repost_04,eham_123_repost_01,eham_123_context_06,eham_123_context_07",insufficient,insufficient,claim_first_citation_v1_1
eham_124,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.00026055,,,insufficient,insufficient,claim_first_citation_v1_1
eham_125,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0002655,,,insufficient,insufficient,claim_first_citation_v1_1
eham_126,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.00029835,,"eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01,eham_126_repost_02,eham_126_context_04,eham_126_context_05,eham_126_context_06,eham_126_context_07",insufficient,insufficient,claim_first_citation_v1_1
eham_127,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.00026205,,,insufficient,insufficient,claim_first_citation_v1_1
eham_128,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0002502,,,insufficient,insufficient,claim_first_citation_v1_1
eham_129,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.00027285,,,insufficient,insufficient,claim_first_citation_v1_1
eham_130,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0003012,,"eham_130_pollutant_root,eham_130_repost_00,eham_130_repost_01,eham_130_repost_02,eham_130_context_04,eham_130_context_05,eham_130_context_06,eham_130_context_07",insufficient,insufficient,claim_first_citation_v1_1
eham_131,L5,L5_halluweb_generated_lore,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1_1,api,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.00026445,,,insufficient,insufficient,claim_first_citation_v1_1
eham_000,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003141,,,supported,supported,claim_first_citation_v1
eham_001,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.00029265,"eham_001_primary_a,eham_001_primary_b","eham_001_pollutant_root,eham_001_repost_00,eham_001_repost_01,eham_001_repost_02,eham_001_repost_03,eham_001_context_07",supported,supported,claim_first_citation_v1
eham_002,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.00030915,,,supported,supported,claim_first_citation_v1
eham_003,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.00032145,,,supported,supported,claim_first_citation_v1
eham_004,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0002619,,,supported,supported,claim_first_citation_v1
eham_005,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003129,,,supported,supported,claim_first_citation_v1
eham_006,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.00032985,,,supported,supported,claim_first_citation_v1
eham_007,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.98,0.00028935,"eham_007_primary_a,eham_007_primary_b","eham_007_pollutant_root,eham_007_repost_00,eham_007_repost_01,eham_007_repost_02,eham_007_context_06,eham_007_context_07",supported,supported,claim_first_citation_v1
eham_008,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.00030885,,,supported,supported,claim_first_citation_v1
eham_009,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003009,,,supported,supported,claim_first_citation_v1
eham_010,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.00030225,"eham_010_primary_a,eham_010_primary_b","eham_010_pollutant_root,eham_010_repost_00,eham_010_repost_01,eham_010_repost_02,eham_010_repost_03,eham_010_repost_04",supported,supported,claim_first_citation_v1
eham_011,L0,L0_clean_web,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.00031845,,,supported,supported,claim_first_citation_v1
eham_072,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003384,,,refuted,refuted,claim_first_citation_v1
eham_073,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003123,"eham_073_primary_a,eham_073_primary_b","eham_073_pollutant_root,eham_073_repost_00,eham_073_repost_02,eham_073_repost_03,eham_073_repost_04,eham_073_repost_05",refuted,refuted,claim_first_citation_v1
eham_074,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.9,0.00028035,"eham_074_primary_a,eham_074_primary_b",,refuted,refuted,claim_first_citation_v1
eham_075,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003078,"eham_075_primary_a,eham_075_primary_b","eham_075_pollutant_root,eham_075_repost_00,eham_075_repost_01,eham_075_repost_02,eham_075_repost_03,eham_075_repost_05",refuted,refuted,claim_first_citation_v1
eham_076,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.000306,"eham_076_primary_a,eham_076_primary_b","eham_076_pollutant_root,eham_076_repost_00,eham_076_repost_01,eham_076_repost_02,eham_076_repost_04,eham_076_repost_05",refuted,refuted,claim_first_citation_v1
eham_077,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003006,,,refuted,refuted,claim_first_citation_v1
eham_078,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003237,,,refuted,refuted,claim_first_citation_v1
eham_079,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.9,0.00030375,"eham_079_primary_a,eham_079_primary_b","eham_079_pollutant_root,eham_079_repost_01,eham_079_repost_02,eham_079_repost_03,eham_079_repost_04,eham_079_repost_06",refuted,refuted,claim_first_citation_v1
eham_080,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003078,"eham_080_primary_a,eham_080_primary_b","eham_080_pollutant_root,eham_080_repost_00,eham_080_repost_01,eham_080_repost_02,eham_080_repost_03,eham_080_repost_05",refuted,refuted,claim_first_citation_v1
eham_081,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.000327,,,refuted,refuted,claim_first_citation_v1
eham_082,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003228,,,refuted,refuted,claim_first_citation_v1
eham_083,L3,L3_false_consensus,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.95,0.0003189,,,refuted,refuted,claim_first_citation_v1
eham_096,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.85,0.00028005,eham_096_pollutant_root,,refuted,supported,claim_first_citation_v1
eham_097,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.9,0.00027825,eham_097_pollutant_root,,refuted,supported,claim_first_citation_v1
eham_098,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.85,0.0002763,,,refuted,supported,claim_first_citation_v1
eham_099,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.8,0.00028215,,,refuted,supported,claim_first_citation_v1
eham_100,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.8,0.0002808,,,refuted,supported,claim_first_citation_v1
eham_101,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.85,0.00028185,,,refuted,supported,claim_first_citation_v1
eham_102,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.85,0.00028125,,,refuted,supported,claim_first_citation_v1
eham_103,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.85,0.0002763,,,refuted,supported,claim_first_citation_v1
eham_104,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.85,0.00027975,eham_104_pollutant_root,,refuted,supported,claim_first_citation_v1
eham_105,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.85,0.0002862,,,refuted,supported,claim_first_citation_v1
eham_106,L4,L4_hidden_primary,openai/gpt-4o-mini,bm25_top8,careful_bm25,claim_first_citation_v1,api,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.75,0.00029145,,,refuted,supported,claim_first_citation_v1
