task_id,difficulty,model,strategy,prompt,claim_correct,clean_supporting_evidence,has_required_supporting_evidence,generated_lore_abstention_ok,full_escape
eham_012,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_012,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_012,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_012,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_013,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_013,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_013,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_013,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_014,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_014,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_014,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_014,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_015,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_015,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_015,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_015,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_016,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_016,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_016,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_016,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_017,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_017,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_017,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_017,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_018,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_018,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_018,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_018,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_019,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_019,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_019,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_019,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_020,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_020,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_020,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_020,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_021,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_021,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_021,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_021,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_022,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_022,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_022,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_022,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_023,L0,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_023,L0,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_023,L0,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_023,L0,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_024,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_024,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_024,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_024,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_025,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_025,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_025,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_025,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_026,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_026,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_026,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_026,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_027,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_027,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_027,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_027,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_028,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_028,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_028,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_028,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_029,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_029,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_029,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_029,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_030,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_030,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_030,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_030,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_031,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_031,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_031,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_031,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_032,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_032,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_032,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_032,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_033,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_033,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_033,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_033,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_034,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_034,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_034,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_034,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_035,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_035,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_035,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_035,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_036,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_036,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_036,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_036,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_037,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_037,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_037,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_037,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_038,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_038,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_038,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_038,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_039,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_039,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_039,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_039,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_040,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_040,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_040,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_040,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_041,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_041,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_041,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_041,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_042,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_042,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_042,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_042,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_043,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_043,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_043,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_043,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_044,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_044,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_044,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_044,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_045,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_045,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_045,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_045,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_046,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_046,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_046,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_046,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_047,L1,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_047,L1,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_047,L1,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_047,L1,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_048,L2,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_048,L2,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_048,L2,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_048,L2,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_049,L2,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_049,L2,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_049,L2,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_049,L2,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_050,L2,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_050,L2,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_050,L2,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_050,L2,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_051,L2,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_051,L2,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_051,L2,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_051,L2,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_052,L2,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_052,L2,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_052,L2,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_052,L2,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_053,L2,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_053,L2,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_053,L2,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_053,L2,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_054,L2,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_054,L2,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_054,L2,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_054,L2,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_055,L2,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_055,L2,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_055,L2,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_055,L2,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_056,L2,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_056,L2,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_056,L2,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_056,L2,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_057,L2,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_057,L2,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,0.0,1.0,0.0
eham_057,L2,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_057,L2,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_058,L2,openai/gpt-4o-mini,naive_bm25,simple_answer_v1,1.0,1.0,1.0,1.0,1.0
eham_058,L2,openai/gpt-4o-mini,careful_bm25,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_058,L2,openai/gpt-4o-mini,primary_preserve,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
eham_058,L2,openai/gpt-4o-mini,hygienic_combo,claim_first_citation_v1,1.0,1.0,1.0,1.0,1.0
