task_id,family,condition,difficulty,model,prompt_condition,backend,parse_success,belief_correctness,evidence_cleanliness,uncertainty_discipline,primary_seeking_rate,duplicate_avoidance_rate,generated_lore_avoidance_rate,contradiction_seeking_rate,evidence_value_score,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,epistemic_escape,confidence,cost_usd,gold_verdict,predicted_verdict,supporting_evidence,selected_doc_ids,actions
ert_009,packet_judgment,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_010,packet_judgment,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_011,packet_judgment,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_014,packet_judgment,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_016,packet_judgment,false_consensus,L3,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_017,packet_judgment,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_018,packet_judgment,false_consensus,L3,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_019,packet_judgment,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_020,packet_judgment,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_021,packet_judgment,false_consensus,L3,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_021,packet_judgment,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_022,packet_judgment,false_consensus,L3,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_022,packet_judgment,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_023,packet_judgment,false_consensus,L3,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_023,packet_judgment,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_024,packet_judgment,buried_primary,L4,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_025,packet_judgment,buried_primary,L4,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_025,packet_judgment,buried_primary,L4,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_026,packet_judgment,buried_primary,L4,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_026,packet_judgment,buried_primary,L4,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_027,packet_judgment,buried_primary,L4,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_028,packet_judgment,buried_primary,L4,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_029,packet_judgment,buried_primary,L4,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_030,packet_judgment,buried_primary,L4,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_032,packet_judgment,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_032,packet_judgment,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_033,packet_judgment,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_033,packet_judgment,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_034,packet_judgment,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_034,packet_judgment,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_035,packet_judgment,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_036,packet_judgment,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_036,packet_judgment,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_037,packet_judgment,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_037,packet_judgment,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_038,packet_judgment,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_039,packet_judgment,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,insufficient,insufficient,,,[]
ert_040,evidence_selection,clean,L0,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_040,evidence_selection,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_042,evidence_selection,clean,L0,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_042,evidence_selection,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_043,evidence_selection,clean,L0,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_044,evidence_selection,clean,L0,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_044,evidence_selection,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_046,evidence_selection,clean,L0,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_046,evidence_selection,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_047,evidence_selection,clean,L0,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_048,evidence_selection,conflicting_evidence,L2,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_048,evidence_selection,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_049,evidence_selection,conflicting_evidence,L2,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_049,evidence_selection,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_050,evidence_selection,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_051,evidence_selection,conflicting_evidence,L2,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_051,evidence_selection,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_052,evidence_selection,conflicting_evidence,L2,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_054,evidence_selection,conflicting_evidence,L2,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_055,evidence_selection,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_056,evidence_selection,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_057,evidence_selection,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_058,evidence_selection,false_consensus,L3,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_058,evidence_selection,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_060,evidence_selection,false_consensus,L3,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_061,evidence_selection,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_062,evidence_selection,false_consensus,L3,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_063,evidence_selection,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_064,evidence_selection,buried_primary,L4,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_064,evidence_selection,buried_primary,L4,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_066,evidence_selection,buried_primary,L4,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_066,evidence_selection,buried_primary,L4,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_067,evidence_selection,buried_primary,L4,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_070,evidence_selection,buried_primary,L4,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_070,evidence_selection,buried_primary,L4,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_071,evidence_selection,buried_primary,L4,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_072,evidence_selection,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_072,evidence_selection,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_073,evidence_selection,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_074,evidence_selection,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_074,evidence_selection,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_075,evidence_selection,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_075,evidence_selection,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_076,evidence_selection,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_077,evidence_selection,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_077,evidence_selection,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_078,evidence_selection,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_078,evidence_selection,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_079,evidence_selection,generated_lore,L5,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_079,evidence_selection,generated_lore,L5,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,insufficient,insufficient,,,[]
ert_080,active_verification,clean,L0,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_082,active_verification,clean,L0,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_082,active_verification,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_083,active_verification,clean,L0,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_083,active_verification,clean,L0,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supported,insufficient,,,[]
ert_084,active_verification,conflicting_evidence,L2,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_084,active_verification,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_085,active_verification,conflicting_evidence,L2,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_086,active_verification,conflicting_evidence,L2,openai/gpt-5-mini,standard_answer,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_087,active_verification,conflicting_evidence,L2,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
ert_088,active_verification,false_consensus,L3,openai/gpt-5-mini,epistemic_hygiene_instruction,api_parse_repair,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,refuted,insufficient,,,[]
