task_id,module,dataset,episode_type,model,strategy,prompt,confidence,gold_critical_risks,predicted_critical_risks,supporting_evidence
eha2s_a_033,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_033_current_primary
eha2s_a_033,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_033_current_primary
eha2s_a_034,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_034_current_primary
eha2s_a_034,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_034_current_primary
eha2s_a_035,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_035_current_primary
eha2s_a_035,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,0.95,stale_evidence,,eha2s_a_035_current_primary
eha2s_a_036,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_036_current_primary
eha2s_a_037,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_037_current_primary
eha2s_a_038,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,,eha2s_a_038_current_primary
eha2s_a_038,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_038_current_primary
eha2s_a_039,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,stale_evidence,partial_support,eha2s_a_039_current_primary
eha2s_a_039,A,EHA-v2S-scope-diagnostic,stale_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,stale_evidence,,eha2s_a_039_current_primary
eha2s_a_040,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_040_current_primary
eha2s_a_040,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_040_current_primary
eha2s_a_041,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_041_current_primary
eha2s_a_041,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_041_current_primary
eha2s_a_042,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,1.0,conflicting_evidence,,eha2s_a_042_current_primary
eha2s_a_042,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_042_current_primary
eha2s_a_043,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_043_current_primary
eha2s_a_043,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_043_current_primary
eha2s_a_044,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_044_current_primary
eha2s_a_044,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_044_current_primary
eha2s_a_045,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_045_current_primary
eha2s_a_046,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,"eha2s_a_046_current_primary,eha2s_a_046_old_record"
eha2s_a_046,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_046_current_primary
eha2s_a_047,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,1.0,conflicting_evidence,,eha2s_a_047_current_primary
eha2s_a_047,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_047_current_primary
eha2s_a_048,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.7,conflicting_evidence,partial_support,eha2s_a_048_current_primary
eha2s_a_048,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_048_current_primary
eha2s_a_049,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_049_current_primary
eha2s_a_049,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_049_current_primary
eha2s_a_050,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_050_current_primary
eha2s_a_050,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,0.95,conflicting_evidence,,eha2s_a_050_current_primary
eha2s_a_051,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_051_current_primary
eha2s_a_051,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_051_current_primary
eha2s_a_052,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,partial_support,eha2s_a_052_current_primary
eha2s_a_052,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_052_current_primary
eha2s_a_053,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_053_current_primary
eha2s_a_053,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_053_current_primary
eha2s_a_054,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.7,conflicting_evidence,partial_support,eha2s_a_054_current_primary
eha2s_a_054,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_054_current_primary
eha2s_a_055,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_055_current_primary
eha2s_a_055,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_055_current_primary
eha2s_a_056,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_056_current_primary
eha2s_a_056,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_056_current_primary
eha2s_a_057,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_057_current_primary
eha2s_a_058,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,,eha2s_a_058_current_primary
eha2s_a_058,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_058_current_primary
eha2s_a_059,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,conflicting_evidence,partial_support,"eha2s_a_059_current_primary,eha2s_a_059_old_record"
eha2s_a_059,A,EHA-v2S-scope-diagnostic,conflicting_evidence,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,conflicting_evidence,,eha2s_a_059_current_primary
eha2s_a_100,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",,eha2s_a_100_current_primary
eha2s_a_101,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.7,"citation_laundering,conflicting_evidence",partial_support,eha2s_a_101_current_primary
eha2s_a_102,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",,eha2s_a_102_current_primary
eha2s_a_103,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",partial_support,eha2s_a_103_current_primary
eha2s_a_104,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.8,"citation_laundering,conflicting_evidence",,eha2s_a_104_current_primary
eha2s_a_105,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",,eha2s_a_105_current_primary
eha2s_a_105,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,"citation_laundering,conflicting_evidence",,eha2s_a_105_current_primary
eha2s_a_106,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",,eha2s_a_106_current_primary
eha2s_a_106,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,0.95,"citation_laundering,conflicting_evidence",,eha2s_a_106_current_primary
eha2s_a_107,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",,eha2s_a_107_current_primary
eha2s_a_108,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",partial_support,eha2s_a_108_current_primary
eha2s_a_109,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.7,"citation_laundering,conflicting_evidence",partial_support,eha2s_a_109_current_primary
eha2s_a_111,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",partial_support,eha2s_a_111_current_primary
eha2s_a_113,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",,eha2s_a_113_current_primary
eha2s_a_113,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_diagnostics_v2,evidence_diagnostics_v2,1.0,"citation_laundering,conflicting_evidence",,eha2s_a_113_current_primary
eha2s_a_114,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",,eha2s_a_114_current_primary
eha2s_a_115,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",,eha2s_a_115_current_primary
eha2s_a_116,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",,eha2s_a_116_current_primary
eha2s_a_117,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.8,"citation_laundering,conflicting_evidence",partial_support,eha2s_a_117_current_primary
eha2s_a_118,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",,eha2s_a_118_current_primary
eha2s_a_119,A,EHA-v2S-scope-diagnostic,citation_laundering,gpt-4o-mini,evidence_graph_v3,evidence_graph_v3,0.9,"citation_laundering,conflicting_evidence",,eha2s_a_119_current_primary
