task_id,base_task_id,condition,family,model,variant,baseline_variant,delta_operational_escape,delta_belief_correctness,delta_evidence_precision,delta_polluted_support_rate,delta_action_score,pass_to_fail_operational,fail_to_pass_operational,pass_to_fail_belief,fail_to_pass_belief,support_set_changed,verdict_changed,action_score_changed,baseline_operational_epistemic_escape,variant_operational_epistemic_escape,baseline_belief_correctness,variant_belief_correctness,baseline_evidence_precision,variant_evidence_precision,baseline_polluted_support_rate,variant_polluted_support_rate,baseline_action_score,variant_action_score,baseline_support_doc_ids,variant_support_doc_ids,baseline_selected_doc_ids,variant_selected_doc_ids,baseline_verdict,variant_verdict
uncued_023_visible,uncued_023,conflicting_evidence,active_verification,gemini-3.1-pro-preview,source_type_masked,baseline_original,0.0,0.0,0.5,0.0,0.0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,"uncued_023_d04,uncued_023_d02",uncued_023_d02,"uncued_023_d01,uncued_023_d04,uncued_023_d02","uncued_023_d02,uncued_023_d01",refuted,refuted
uncued_023_visible,uncued_023,conflicting_evidence,active_verification,gemini-3.1-pro-preview,prompt_paraphrase,baseline_original,-1.0,0.0,0.5,0.0,-0.5,1,0,0,0,1,0,1,1.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.5,"uncued_023_d04,uncued_023_d02",uncued_023_d02,"uncued_023_d01,uncued_023_d04,uncued_023_d02","uncued_023_d02,uncued_023_d01",refuted,refuted
uncued_023_visible,uncued_023,conflicting_evidence,active_verification,gemini-3.1-pro-preview,citation_masked,baseline_original,-1.0,-1.0,0.0,1.0,0.0,1,0,1,0,1,1,0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,"uncued_023_d04,uncued_023_d02","uncued_023_d01,uncued_023_d02","uncued_023_d01,uncued_023_d04,uncued_023_d02","uncued_023_d01,uncued_023_d02",refuted,insufficient
uncued_023_visible,uncued_023,conflicting_evidence,active_verification,gpt-5.5,prompt_paraphrase,baseline_original,1.0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,uncued_023_d02,uncued_023_d02,"uncued_023_d02,uncued_023_d01,uncued_023_d04","uncued_023_d02,uncued_023_d01,uncued_023_d04",refuted,refuted
uncued_023_visible,uncued_023,conflicting_evidence,active_verification,gpt-5.5,citation_masked,baseline_original,1.0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,uncued_023_d02,uncued_023_d02,"uncued_023_d02,uncued_023_d01,uncued_023_d04","uncued_023_d02,uncued_023_d01,uncued_023_d03",refuted,refuted
uncued_025_visible,uncued_025,false_consensus,packet_judgment,gemini-3.1-pro-preview,prompt_paraphrase,baseline_original,-1.0,-1.0,0.0,0.0,,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,uncued_025_d01,uncued_025_d01,"uncued_025_d02,uncued_025_d01,uncued_025_d03","uncued_025_d02,uncued_025_d01,uncued_025_d03",refuted,insufficient
uncued_025_visible,uncued_025,false_consensus,packet_judgment,gemini-3.1-pro-preview,citation_masked,baseline_original,-1.0,-1.0,-0.6666666666666667,1.0,,1,0,1,0,1,1,0,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,1.0,,,uncued_025_d01,"uncued_025_d02,uncued_025_d01,uncued_025_d03","uncued_025_d02,uncued_025_d01,uncued_025_d03","uncued_025_d02,uncued_025_d01,uncued_025_d03",refuted,insufficient
uncued_026_visible,uncued_026,false_consensus,packet_judgment,gpt-5.5,order_randomized,baseline_original,1.0,1.0,0.0,0.0,,0,1,0,1,0,1,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,uncued_026_d02,uncued_026_d02,"uncued_026_d02,uncued_026_d03,uncued_026_d04","uncued_026_d02,uncued_026_d03,uncued_026_d04",insufficient,refuted
uncued_026_visible,uncued_026,false_consensus,packet_judgment,gpt-5.5,source_type_masked,baseline_original,1.0,1.0,0.0,0.0,,0,1,0,1,0,1,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,uncued_026_d02,uncued_026_d02,"uncued_026_d02,uncued_026_d03,uncued_026_d04","uncued_026_d02,uncued_026_d03,uncued_026_d04",insufficient,refuted
uncued_026_visible,uncued_026,false_consensus,packet_judgment,gpt-5.5,prompt_paraphrase,baseline_original,1.0,1.0,0.0,0.0,,0,1,0,1,0,1,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,uncued_026_d02,uncued_026_d02,"uncued_026_d02,uncued_026_d03,uncued_026_d04","uncued_026_d02,uncued_026_d03,uncued_026_d04",insufficient,refuted
uncued_026_visible,uncued_026,false_consensus,packet_judgment,gpt-5.5,citation_masked,baseline_original,1.0,1.0,0.0,0.0,,0,1,0,1,0,1,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,uncued_026_d02,uncued_026_d02,"uncued_026_d02,uncued_026_d03,uncued_026_d04","uncued_026_d02,uncued_026_d03,uncued_026_d04",insufficient,refuted
uncued_031_visible,uncued_031,false_consensus,evidence_selection,gemini-3.1-pro-preview,citation_masked,baseline_original,0.0,-1.0,-0.6666666666666667,1.0,,0,0,1,0,1,1,0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,1.0,,,uncued_031_d04,"uncued_031_d03,uncued_031_d02,uncued_031_d04","uncued_031_d04,uncued_031_d03,uncued_031_d02","uncued_031_d03,uncued_031_d02,uncued_031_d04",refuted,insufficient
uncued_035_visible,uncued_035,false_consensus,active_verification,gpt-5.5,order_randomized,baseline_original,1.0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,uncued_035_d02,uncued_035_d02,"uncued_035_d02,uncued_035_d03,uncued_035_d04","uncued_035_d02,uncued_035_d03,uncued_035_d04",refuted,refuted
uncued_035_visible,uncued_035,false_consensus,active_verification,gpt-5.5,prompt_paraphrase,baseline_original,1.0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,uncued_035_d02,uncued_035_d02,"uncued_035_d02,uncued_035_d03,uncued_035_d04","uncued_035_d02,uncued_035_d03,uncued_035_d04",refuted,refuted
uncued_035_visible,uncued_035,false_consensus,active_verification,gpt-5.5,citation_masked,baseline_original,1.0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,uncued_035_d02,uncued_035_d02,"uncued_035_d02,uncued_035_d03,uncued_035_d04","uncued_035_d02,uncued_035_d04,uncued_035_d03",refuted,refuted
uncued_047_visible,uncued_047,buried_primary,active_verification,gemini-3.1-pro-preview,source_type_masked,baseline_original,1.0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,uncued_047_d02,uncued_047_d02,"uncued_047_d02,uncued_047_d04,uncued_047_d01","uncued_047_d02,uncued_047_d04",supported,supported
uncued_047_visible,uncued_047,buried_primary,active_verification,gpt-5.5,order_randomized,baseline_original,1.0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,uncued_047_d02,uncued_047_d02,"uncued_047_d02,uncued_047_d04,uncued_047_d01","uncued_047_d02,uncued_047_d04,uncued_047_d01",supported,supported
uncued_047_visible,uncued_047,buried_primary,active_verification,gpt-5.5,source_type_masked,baseline_original,1.0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,uncued_047_d02,uncued_047_d02,"uncued_047_d02,uncued_047_d04,uncued_047_d01","uncued_047_d02,uncued_047_d04,uncued_047_d03",supported,supported
uncued_047_visible,uncued_047,buried_primary,active_verification,gpt-5.5,prompt_paraphrase,baseline_original,1.0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,uncued_047_d02,uncued_047_d02,"uncued_047_d02,uncued_047_d04,uncued_047_d01","uncued_047_d02,uncued_047_d04,uncued_047_d01",supported,supported
uncued_047_visible,uncued_047,buried_primary,active_verification,gpt-5.5,citation_masked,baseline_original,1.0,0.0,0.0,0.0,0.5,0,1,0,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,uncued_047_d02,uncued_047_d02,"uncued_047_d02,uncued_047_d04,uncued_047_d01","uncued_047_d02,uncued_047_d04,uncued_047_d03",supported,supported
uncued_049_visible,uncued_049,generated_lore,packet_judgment,gemini-3.1-pro-preview,source_type_masked,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_049_d04,uncued_049_d03,uncued_049_d02",uncued_049_d04,"uncued_049_d04,uncued_049_d02,uncued_049_d03","uncued_049_d01,uncued_049_d04,uncued_049_d02",insufficient,insufficient
uncued_049_visible,uncued_049,generated_lore,packet_judgment,gpt-5.5,order_randomized,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_049_d04,uncued_049_d01,uncued_049_d02","uncued_049_d04,uncued_049_d02,uncued_049_d03","uncued_049_d04,uncued_049_d01,uncued_049_d02","uncued_049_d04,uncued_049_d02,uncued_049_d03",insufficient,insufficient
uncued_049_visible,uncued_049,generated_lore,packet_judgment,gpt-5.5,prompt_paraphrase,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_049_d04,uncued_049_d01,uncued_049_d02","uncued_049_d04,uncued_049_d02,uncued_049_d03","uncued_049_d04,uncued_049_d01,uncued_049_d02","uncued_049_d04,uncued_049_d01,uncued_049_d02",insufficient,insufficient
uncued_049_visible,uncued_049,generated_lore,packet_judgment,gpt-5.5,citation_masked,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_049_d04,uncued_049_d01,uncued_049_d02","uncued_049_d04,uncued_049_d01,uncued_049_d03,uncued_049_d02","uncued_049_d04,uncued_049_d01,uncued_049_d02","uncued_049_d04,uncued_049_d01,uncued_049_d02",insufficient,insufficient
uncued_050_visible,uncued_050,generated_lore,packet_judgment,gemini-3.1-pro-preview,order_randomized,baseline_original,1.0,0.0,,-1.0,,0,1,0,0,1,0,0,0.0,1.0,1.0,1.0,0.0,,1.0,0.0,,,"uncued_050_d04,uncued_050_d02",,"uncued_050_d04,uncued_050_d01,uncued_050_d03","uncued_050_d01,uncued_050_d02,uncued_050_d04",insufficient,insufficient
uncued_050_visible,uncued_050,generated_lore,packet_judgment,gemini-3.1-pro-preview,source_type_masked,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_050_d04,uncued_050_d02","uncued_050_d03,uncued_050_d01,uncued_050_d04","uncued_050_d04,uncued_050_d01,uncued_050_d03","uncued_050_d04,uncued_050_d03,uncued_050_d01",insufficient,insufficient
uncued_050_visible,uncued_050,generated_lore,packet_judgment,gemini-3.1-pro-preview,prompt_paraphrase,baseline_original,1.0,0.0,0.0,-1.0,,0,1,0,0,1,0,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,"uncued_050_d04,uncued_050_d02","uncued_050_d03,uncued_050_d01","uncued_050_d04,uncued_050_d01,uncued_050_d03","uncued_050_d03,uncued_050_d01,uncued_050_d04",insufficient,insufficient
uncued_050_visible,uncued_050,generated_lore,packet_judgment,gpt-5.5,order_randomized,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_050_d04,uncued_050_d02,uncued_050_d03,uncued_050_d01","uncued_050_d04,uncued_050_d03,uncued_050_d01","uncued_050_d04,uncued_050_d02,uncued_050_d03","uncued_050_d04,uncued_050_d03,uncued_050_d01",insufficient,insufficient
uncued_050_visible,uncued_050,generated_lore,packet_judgment,gpt-5.5,source_type_masked,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_050_d04,uncued_050_d02,uncued_050_d03,uncued_050_d01","uncued_050_d04,uncued_050_d01,uncued_050_d03","uncued_050_d04,uncued_050_d02,uncued_050_d03","uncued_050_d04,uncued_050_d01,uncued_050_d03",insufficient,insufficient
uncued_050_visible,uncued_050,generated_lore,packet_judgment,gpt-5.5,prompt_paraphrase,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_050_d04,uncued_050_d02,uncued_050_d03,uncued_050_d01","uncued_050_d04,uncued_050_d02,uncued_050_d01","uncued_050_d04,uncued_050_d02,uncued_050_d03","uncued_050_d04,uncued_050_d02,uncued_050_d01",insufficient,insufficient
uncued_050_visible,uncued_050,generated_lore,packet_judgment,gpt-5.5,citation_masked,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_050_d04,uncued_050_d02,uncued_050_d03,uncued_050_d01","uncued_050_d04,uncued_050_d01,uncued_050_d03","uncued_050_d04,uncued_050_d02,uncued_050_d03","uncued_050_d04,uncued_050_d01,uncued_050_d03",insufficient,insufficient
uncued_053_visible,uncued_053,generated_lore,evidence_selection,gemini-3.1-pro-preview,source_type_masked,baseline_original,0.0,0.0,,-1.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,,,"uncued_053_d04,uncued_053_d01",,"uncued_053_d04,uncued_053_d01,uncued_053_d03","uncued_053_d04,uncued_053_d01,uncued_053_d03",insufficient,insufficient
uncued_053_visible,uncued_053,generated_lore,evidence_selection,gemini-3.1-pro-preview,citation_masked,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_053_d04,uncued_053_d01","uncued_053_d04,uncued_053_d01,uncued_053_d03","uncued_053_d04,uncued_053_d01,uncued_053_d03","uncued_053_d04,uncued_053_d01,uncued_053_d03",insufficient,insufficient
uncued_053_visible,uncued_053,generated_lore,evidence_selection,gpt-5.5,order_randomized,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_053_d04,uncued_053_d02,uncued_053_d03","uncued_053_d04,uncued_053_d01,uncued_053_d03","uncued_053_d04,uncued_053_d02,uncued_053_d03","uncued_053_d04,uncued_053_d01,uncued_053_d03",insufficient,insufficient
uncued_053_visible,uncued_053,generated_lore,evidence_selection,gpt-5.5,prompt_paraphrase,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_053_d04,uncued_053_d02,uncued_053_d03","uncued_053_d04,uncued_053_d01,uncued_053_d03","uncued_053_d04,uncued_053_d02,uncued_053_d03","uncued_053_d04,uncued_053_d01,uncued_053_d03",insufficient,insufficient
uncued_053_visible,uncued_053,generated_lore,evidence_selection,gpt-5.5,citation_masked,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_053_d04,uncued_053_d02,uncued_053_d03","uncued_053_d04,uncued_053_d01,uncued_053_d02,uncued_053_d03","uncued_053_d04,uncued_053_d02,uncued_053_d03","uncued_053_d04,uncued_053_d01,uncued_053_d03",insufficient,insufficient
uncued_055_visible,uncued_055,generated_lore,evidence_selection,gemini-3.1-pro-preview,source_type_masked,baseline_original,0.0,0.0,0.0,1.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,"uncued_055_d01,uncued_055_d02","uncued_055_d03,uncued_055_d01,uncued_055_d02","uncued_055_d03,uncued_055_d01,uncued_055_d02","uncued_055_d03,uncued_055_d01,uncued_055_d02",insufficient,insufficient
uncued_055_visible,uncued_055,generated_lore,evidence_selection,gemini-3.1-pro-preview,prompt_paraphrase,baseline_original,0.0,0.0,0.0,1.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,"uncued_055_d01,uncued_055_d02","uncued_055_d03,uncued_055_d04","uncued_055_d03,uncued_055_d01,uncued_055_d02","uncued_055_d04,uncued_055_d03,uncued_055_d01",insufficient,insufficient
uncued_055_visible,uncued_055,generated_lore,evidence_selection,gpt-5.5,order_randomized,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_055_d03,uncued_055_d04,uncued_055_d01,uncued_055_d02","uncued_055_d03,uncued_055_d01","uncued_055_d03,uncued_055_d04,uncued_055_d02","uncued_055_d03,uncued_055_d01,uncued_055_d04",insufficient,insufficient
uncued_055_visible,uncued_055,generated_lore,evidence_selection,gpt-5.5,prompt_paraphrase,baseline_original,0.0,0.0,0.0,0.0,,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,"uncued_055_d03,uncued_055_d04,uncued_055_d01,uncued_055_d02","uncued_055_d03,uncued_055_d01,uncued_055_d02","uncued_055_d03,uncued_055_d04,uncued_055_d02","uncued_055_d03,uncued_055_d01,uncued_055_d02",insufficient,insufficient
uncued_057_visible,uncued_057,generated_lore,active_verification,gemini-3.1-pro-preview,order_randomized,baseline_original,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,"uncued_057_d02,uncued_057_d04","uncued_057_d04,uncued_057_d02,uncued_057_d01","uncued_057_d03,uncued_057_d02,uncued_057_d04","uncued_057_d04,uncued_057_d02,uncued_057_d01",insufficient,insufficient
uncued_057_visible,uncued_057,generated_lore,active_verification,gemini-3.1-pro-preview,source_type_masked,baseline_original,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,"uncued_057_d02,uncued_057_d04","uncued_057_d04,uncued_057_d02","uncued_057_d03,uncued_057_d02,uncued_057_d04","uncued_057_d04,uncued_057_d03,uncued_057_d02",insufficient,insufficient
uncued_057_visible,uncued_057,generated_lore,active_verification,gemini-3.1-pro-preview,prompt_paraphrase,baseline_original,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,"uncued_057_d02,uncued_057_d04","uncued_057_d04,uncued_057_d02,uncued_057_d01","uncued_057_d03,uncued_057_d02,uncued_057_d04","uncued_057_d04,uncued_057_d02,uncued_057_d01",insufficient,insufficient
uncued_057_visible,uncued_057,generated_lore,active_verification,gemini-3.1-pro-preview,citation_masked,baseline_original,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,"uncued_057_d02,uncued_057_d04","uncued_057_d04,uncued_057_d03","uncued_057_d03,uncued_057_d02,uncued_057_d04","uncued_057_d04,uncued_057_d03,uncued_057_d02",insufficient,insufficient
uncued_057_visible,uncued_057,generated_lore,active_verification,gpt-5.5,order_randomized,baseline_original,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,"uncued_057_d04,uncued_057_d03,uncued_057_d02,uncued_057_d01","uncued_057_d04,uncued_057_d02,uncued_057_d01","uncued_057_d04,uncued_057_d03,uncued_057_d02","uncued_057_d04,uncued_057_d02,uncued_057_d01",insufficient,insufficient
uncued_057_visible,uncued_057,generated_lore,active_verification,gpt-5.5,source_type_masked,baseline_original,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,"uncued_057_d04,uncued_057_d03,uncued_057_d02,uncued_057_d01","uncued_057_d04,uncued_057_d03,uncued_057_d02","uncued_057_d04,uncued_057_d03,uncued_057_d02","uncued_057_d04,uncued_057_d03,uncued_057_d02",insufficient,insufficient
uncued_057_visible,uncued_057,generated_lore,active_verification,gpt-5.5,prompt_paraphrase,baseline_original,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,"uncued_057_d04,uncued_057_d03,uncued_057_d02,uncued_057_d01","uncued_057_d04,uncued_057_d02,uncued_057_d01","uncued_057_d04,uncued_057_d03,uncued_057_d02","uncued_057_d04,uncued_057_d03,uncued_057_d02",insufficient,insufficient
