review_id,task_id,model,variant,flip_type,baseline_summary,perturbation_summary,likely_cause,claim_impact,review_note
robustness_flip_011,uncued_023_visible,gemini-3.1-pro-preview,source_type_masked,support_set,"operational=1.0; verdict=refuted; support=uncued_023_d04,uncued_023_d02",operational=1.0; verdict=refuted; support=uncued_023_d02,Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_012,uncued_023_visible,gemini-3.1-pro-preview,prompt_paraphrase,"operational_escape,support_set,action_score","operational=1.0; verdict=refuted; support=uncued_023_d04,uncued_023_d02",operational=0.0; verdict=refuted; support=uncued_023_d02,Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_013,uncued_023_visible,gemini-3.1-pro-preview,citation_masked,"operational_escape,verdict,support_set","operational=1.0; verdict=refuted; support=uncued_023_d04,uncued_023_d02","operational=0.0; verdict=insufficient; support=uncued_023_d01,uncued_023_d02",Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_014,uncued_023_visible,gpt-5.5,prompt_paraphrase,"operational_escape,action_score",operational=0.0; verdict=refuted; support=uncued_023_d02,operational=1.0; verdict=refuted; support=uncued_023_d02,Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_015,uncued_023_visible,gpt-5.5,citation_masked,"operational_escape,action_score",operational=0.0; verdict=refuted; support=uncued_023_d02,operational=1.0; verdict=refuted; support=uncued_023_d02,Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_016,uncued_025_visible,gemini-3.1-pro-preview,prompt_paraphrase,"operational_escape,verdict",operational=1.0; verdict=refuted; support=uncued_025_d01,operational=0.0; verdict=insufficient; support=uncued_025_d01,Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_017,uncued_025_visible,gemini-3.1-pro-preview,citation_masked,"operational_escape,verdict,support_set",operational=1.0; verdict=refuted; support=uncued_025_d01,"operational=0.0; verdict=insufficient; support=uncued_025_d02,uncued_025_d01,uncued_025_d03",Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_018,uncued_026_visible,gpt-5.5,order_randomized,"operational_escape,verdict",operational=0.0; verdict=insufficient; support=uncued_026_d02,operational=1.0; verdict=refuted; support=uncued_026_d02,Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_019,uncued_026_visible,gpt-5.5,source_type_masked,"operational_escape,verdict",operational=0.0; verdict=insufficient; support=uncued_026_d02,operational=1.0; verdict=refuted; support=uncued_026_d02,Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_020,uncued_026_visible,gpt-5.5,prompt_paraphrase,"operational_escape,verdict",operational=0.0; verdict=insufficient; support=uncued_026_d02,operational=1.0; verdict=refuted; support=uncued_026_d02,Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_021,uncued_026_visible,gpt-5.5,citation_masked,"operational_escape,verdict",operational=0.0; verdict=insufficient; support=uncued_026_d02,operational=1.0; verdict=refuted; support=uncued_026_d02,Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_022,uncued_031_visible,gemini-3.1-pro-preview,citation_masked,"verdict,support_set",operational=0.0; verdict=refuted; support=uncued_031_d04,"operational=0.0; verdict=insufficient; support=uncued_031_d03,uncued_031_d02,uncued_031_d04",Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_023,uncued_035_visible,gpt-5.5,order_randomized,"operational_escape,action_score",operational=0.0; verdict=refuted; support=uncued_035_d02,operational=1.0; verdict=refuted; support=uncued_035_d02,Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_024,uncued_035_visible,gpt-5.5,prompt_paraphrase,"operational_escape,action_score",operational=0.0; verdict=refuted; support=uncued_035_d02,operational=1.0; verdict=refuted; support=uncued_035_d02,Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_025,uncued_035_visible,gpt-5.5,citation_masked,"operational_escape,action_score",operational=0.0; verdict=refuted; support=uncued_035_d02,operational=1.0; verdict=refuted; support=uncued_035_d02,Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_026,uncued_047_visible,gemini-3.1-pro-preview,source_type_masked,"operational_escape,action_score",operational=0.0; verdict=supported; support=uncued_047_d02,operational=1.0; verdict=supported; support=uncued_047_d02,Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_027,uncued_047_visible,gpt-5.5,order_randomized,"operational_escape,action_score",operational=0.0; verdict=supported; support=uncued_047_d02,operational=1.0; verdict=supported; support=uncued_047_d02,Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_028,uncued_047_visible,gpt-5.5,source_type_masked,"operational_escape,action_score",operational=0.0; verdict=supported; support=uncued_047_d02,operational=1.0; verdict=supported; support=uncued_047_d02,Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_029,uncued_047_visible,gpt-5.5,prompt_paraphrase,"operational_escape,action_score",operational=0.0; verdict=supported; support=uncued_047_d02,operational=1.0; verdict=supported; support=uncued_047_d02,Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_030,uncued_047_visible,gpt-5.5,citation_masked,"operational_escape,action_score",operational=0.0; verdict=supported; support=uncued_047_d02,operational=1.0; verdict=supported; support=uncued_047_d02,Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_031,uncued_049_visible,gemini-3.1-pro-preview,source_type_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_049_d04,uncued_049_d03,uncued_049_d02",operational=0.0; verdict=insufficient; support=uncued_049_d04,Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_032,uncued_049_visible,gpt-5.5,order_randomized,support_set,"operational=0.0; verdict=insufficient; support=uncued_049_d04,uncued_049_d01,uncued_049_d02","operational=0.0; verdict=insufficient; support=uncued_049_d04,uncued_049_d02,uncued_049_d03",Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_033,uncued_049_visible,gpt-5.5,prompt_paraphrase,support_set,"operational=0.0; verdict=insufficient; support=uncued_049_d04,uncued_049_d01,uncued_049_d02","operational=0.0; verdict=insufficient; support=uncued_049_d04,uncued_049_d02,uncued_049_d03",Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_034,uncued_049_visible,gpt-5.5,citation_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_049_d04,uncued_049_d01,uncued_049_d02","operational=0.0; verdict=insufficient; support=uncued_049_d04,uncued_049_d01,uncued_049_d03,uncued_049_d02",Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_035,uncued_050_visible,gemini-3.1-pro-preview,order_randomized,"operational_escape,support_set","operational=0.0; verdict=insufficient; support=uncued_050_d04,uncued_050_d02",operational=1.0; verdict=insufficient; support=,Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_036,uncued_050_visible,gemini-3.1-pro-preview,source_type_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_050_d04,uncued_050_d02","operational=0.0; verdict=insufficient; support=uncued_050_d03,uncued_050_d01,uncued_050_d04",Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_037,uncued_050_visible,gemini-3.1-pro-preview,prompt_paraphrase,"operational_escape,support_set","operational=0.0; verdict=insufficient; support=uncued_050_d04,uncued_050_d02","operational=1.0; verdict=insufficient; support=uncued_050_d03,uncued_050_d01",Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_038,uncued_050_visible,gpt-5.5,order_randomized,support_set,"operational=0.0; verdict=insufficient; support=uncued_050_d04,uncued_050_d02,uncued_050_d03,uncued_050_d01","operational=0.0; verdict=insufficient; support=uncued_050_d04,uncued_050_d03,uncued_050_d01",Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_039,uncued_050_visible,gpt-5.5,source_type_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_050_d04,uncued_050_d02,uncued_050_d03,uncued_050_d01","operational=0.0; verdict=insufficient; support=uncued_050_d04,uncued_050_d01,uncued_050_d03",Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_040,uncued_050_visible,gpt-5.5,prompt_paraphrase,support_set,"operational=0.0; verdict=insufficient; support=uncued_050_d04,uncued_050_d02,uncued_050_d03,uncued_050_d01","operational=0.0; verdict=insufficient; support=uncued_050_d04,uncued_050_d02,uncued_050_d01",Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_041,uncued_050_visible,gpt-5.5,citation_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_050_d04,uncued_050_d02,uncued_050_d03,uncued_050_d01","operational=0.0; verdict=insufficient; support=uncued_050_d04,uncued_050_d01,uncued_050_d03",Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_042,uncued_053_visible,gemini-3.1-pro-preview,source_type_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_053_d04,uncued_053_d01",operational=0.0; verdict=insufficient; support=,Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_043,uncued_053_visible,gemini-3.1-pro-preview,citation_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_053_d04,uncued_053_d01","operational=0.0; verdict=insufficient; support=uncued_053_d04,uncued_053_d01,uncued_053_d03",Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_044,uncued_053_visible,gpt-5.5,order_randomized,support_set,"operational=0.0; verdict=insufficient; support=uncued_053_d04,uncued_053_d02,uncued_053_d03","operational=0.0; verdict=insufficient; support=uncued_053_d04,uncued_053_d01,uncued_053_d03",Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_045,uncued_053_visible,gpt-5.5,prompt_paraphrase,support_set,"operational=0.0; verdict=insufficient; support=uncued_053_d04,uncued_053_d02,uncued_053_d03","operational=0.0; verdict=insufficient; support=uncued_053_d04,uncued_053_d01,uncued_053_d03",Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_046,uncued_053_visible,gpt-5.5,citation_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_053_d04,uncued_053_d02,uncued_053_d03","operational=0.0; verdict=insufficient; support=uncued_053_d04,uncued_053_d01,uncued_053_d02,uncued_053_d03",Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_047,uncued_055_visible,gemini-3.1-pro-preview,source_type_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_055_d01,uncued_055_d02","operational=0.0; verdict=insufficient; support=uncued_055_d03,uncued_055_d01,uncued_055_d02",Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_048,uncued_055_visible,gemini-3.1-pro-preview,prompt_paraphrase,support_set,"operational=0.0; verdict=insufficient; support=uncued_055_d01,uncued_055_d02","operational=0.0; verdict=insufficient; support=uncued_055_d03,uncued_055_d04",Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_049,uncued_055_visible,gpt-5.5,order_randomized,support_set,"operational=0.0; verdict=insufficient; support=uncued_055_d03,uncued_055_d04,uncued_055_d01,uncued_055_d02","operational=0.0; verdict=insufficient; support=uncued_055_d03,uncued_055_d01",Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_050,uncued_055_visible,gpt-5.5,prompt_paraphrase,support_set,"operational=0.0; verdict=insufficient; support=uncued_055_d03,uncued_055_d04,uncued_055_d01,uncued_055_d02","operational=0.0; verdict=insufficient; support=uncued_055_d03,uncued_055_d01,uncued_055_d02",Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_051,uncued_057_visible,gemini-3.1-pro-preview,order_randomized,"support_set,action_score","operational=0.0; verdict=insufficient; support=uncued_057_d02,uncued_057_d04","operational=0.0; verdict=insufficient; support=uncued_057_d04,uncued_057_d02,uncued_057_d01",Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_052,uncued_057_visible,gemini-3.1-pro-preview,source_type_masked,action_score,"operational=0.0; verdict=insufficient; support=uncued_057_d02,uncued_057_d04","operational=0.0; verdict=insufficient; support=uncued_057_d04,uncued_057_d02",Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_053,uncued_057_visible,gemini-3.1-pro-preview,prompt_paraphrase,support_set,"operational=0.0; verdict=insufficient; support=uncued_057_d02,uncued_057_d04","operational=0.0; verdict=insufficient; support=uncued_057_d04,uncued_057_d02,uncued_057_d01",Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_054,uncued_057_visible,gemini-3.1-pro-preview,citation_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_057_d02,uncued_057_d04","operational=0.0; verdict=insufficient; support=uncued_057_d04,uncued_057_d03",Dependence on visible citation/dependency structure.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_055,uncued_057_visible,gpt-5.5,order_randomized,support_set,"operational=0.0; verdict=insufficient; support=uncued_057_d04,uncued_057_d03,uncued_057_d02,uncued_057_d01","operational=0.0; verdict=insufficient; support=uncued_057_d04,uncued_057_d02,uncued_057_d01",Document order sensitivity or positional attention.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_056,uncued_057_visible,gpt-5.5,source_type_masked,support_set,"operational=0.0; verdict=insufficient; support=uncued_057_d04,uncued_057_d03,uncued_057_d02,uncued_057_d01","operational=0.0; verdict=insufficient; support=uncued_057_d04,uncued_057_d03,uncued_057_d02",Dependence on visible source-type metadata.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
robustness_flip_057,uncued_057_visible,gpt-5.5,prompt_paraphrase,support_set,"operational=0.0; verdict=insufficient; support=uncued_057_d04,uncued_057_d03,uncued_057_d02,uncued_057_d01","operational=0.0; verdict=insufficient; support=uncued_057_d04,uncued_057_d02,uncued_057_d01",Prompt wording sensitivity.,inspect before making a robustness claim for this variant,Automated local review from paired scorer fields; response artifacts remain available for manual adjudication.
