model,task_id,condition,prompt_condition,gold_verdict,predicted_verdict,belief_correctness,evidence_cleanliness,verification_action_score,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,semantically_useful_action,machine_executable_target,score_too_strict,failure_label,actions,audit_note
gemini-3.1-pro-preview,ert_089,false_consensus,epistemic_hygiene_instruction,refuted,refuted,1.0,1.0,0.0,0.0,0.0,0.0,yes,no,borderline,non_machine_checkable_target,"[{""action"": ""trace_source"", ""target"": ""eham_073_pollutant_root"", ""rationale"": ""Investigate the origins of the unverified 1.7 percent claim to understand the source of the false consensus.""}, {""action"": ""abstain"", ""target"": ""none"", ""rationale"": ""Sufficient primary evidence has already been located to confidently refute the claim, requiring no further searches.""}]",Semantically useful but not executable when targets are bundled/composite.
gemini-3.1-pro-preview,ert_089,false_consensus,standard_answer,refuted,refuted,1.0,1.0,0.0,0.0,0.0,0.0,yes,no,borderline,non_machine_checkable_target,"[{""action"": ""trace_source"", ""target"": ""eham_073_pollutant_root"", ""rationale"": ""Identify the origin of the false 1.7% recall rate claim that polluted the secondary sources.""}, {""action"": ""abstain"", ""target"": ""none"", ""rationale"": ""Primary audit record provides sufficient proof to refute the false consensus.""}]",Semantically useful but not executable when targets are bundled/composite.
deepseek-v4-pro,ert_081,clean,standard_answer,supported,supported,1.0,1.0,0.0,0.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""trace_source"", ""target"": ""eham_001_pollutant_root"", ""rationale"": ""Trace the outdated planning note to verify its basis; it lacks primary records and predates the actual audit completion, making it unreliable.""}]",Failure follows the current exact action-target scoring contract.
deepseek-v4-pro,ert_092,buried_primary,epistemic_hygiene_instruction,refuted,insufficient,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""trace_source"", ""target"": ""eham_096_pollutant_root"", ""rationale"": ""Trace the root claim to its origin; it cites only secondary summaries, not primary records.""}, {""action"": ""search_primary"", ""target"": ""Novalis Robotics 2024 recall rate primary records"", ""rationale"": ""Search for regulator filings, audits, or raw recall data; none exist in the environment.""}]",Failure follows the current exact action-target scoring contract.
deepseek-v4-pro,ert_092,buried_primary,standard_answer,refuted,insufficient,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""trace_source"", ""target"": ""eham_096_pollutant_root"", ""rationale"": ""Determine the original source of the 1.7% figure and whether it is based on primary data or just echoes.""}, {""action"": ""search_primary"", ""target"": ""Novalis Robotics 2024 recall rate"", ""rationale"": ""Obtain official recall rate data from regulatory filings or company records to verify the claim.""}]",Failure follows the current exact action-target scoring contract.
deepseek-v4-pro,ert_093,buried_primary,epistemic_hygiene_instruction,refuted,insufficient,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""trace_source"", ""target"": ""eham_097_pollutant_root"", ""rationale"": ""This industry digest lacks citations; tracing its origin may reveal primary records or expose its unreliability.""}, {""action"": ""search_primary"", ""target"": ""Novalis Robotics recall rate 2024 official filing"", ""rationale"": ""No primary documents (e.g., regulator filings, audits) are present; searching for them could confirm or refute the 1.7% claim.""}]",Failure follows the current exact action-target scoring contract.
kimi-k2.6,ert_080,clean,standard_answer,supported,supported,1.0,1.0,0.0,0.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""trace_source"", ""target"": ""eham_000_pollutant_root"", ""rationale"": ""Trace the outdated pending claim to its root planning note to confirm it lacks raw-record support and predates the verified completion.""}]",Failure follows the current exact action-target scoring contract.
kimi-k2.6,ert_082,clean,epistemic_hygiene_instruction,supported,supported,1.0,1.0,0.0,0.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""trace_source"", ""target"": ""eham_002_pollutant_root"", ""rationale"": ""Trace the authoritative-looking summary to confirm it is an outdated November 2024 planning note with no raw record basis, predating the signed completion.""}, {""action"": ""trace_source"", ""target"": ""eham_002_repost_00"", ""rationale"": ""Confirm the secondary coverage copies the same upstream pollutant, exposing pseudo-consensus rather than independent verification.""}]",Failure follows the current exact action-target scoring contract.
kimi-k2.6,ert_091,false_consensus,epistemic_hygiene_instruction,refuted,refuted,1.0,1.0,0.0,0.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""trace_source"", ""target"": ""eham_075_pollutant_root"", ""rationale"": ""Confirm the root claim lacks primary provenance; all reposts trace back to this unsupported summary with no raw record citations.""}]",Failure follows the current exact action-target scoring contract.
kimi-k2.6,ert_092,buried_primary,standard_answer,refuted,insufficient,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,yes,yes,no,missing_required_action_type_or_target,"[{""action"": ""search_primary"", ""target"": ""Novalis Robotics 2024 raw recall/QA records or regulatory filings"", ""rationale"": ""The provided set contains only secondary summaries with no raw data. A primary source is needed to verify the 1.7% figure.""}, {""action"": ""trace_source"", ""target"": ""eham_096_pollutant_root"", ""rationale"": ""The root cites only secondary summaries and shows no raw provenance. Tracing its origin may reveal the basis of the claim or confirm fabrication.""}]",Failure follows the current exact action-target scoring contract.
