grouping,model,prompt_condition,condition,n,belief_correctness,evidence_cleanliness,uncertainty_discipline,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,verification_action_score,action_gate_pass,missing_primary_action,missing_contradiction_action,missing_trace_source_action,operational_epistemic_escape
model+condition,deepseek-v4-pro,,false_consensus,8,1.0,1.0,1.0,0.625,0.875,0.0,0.5,0.5,0.375,0.125,0.0,0.5
model+condition,deepseek-v4-pro,,generated_lore,8,1.0,0.5,1.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.5
model+condition,gemini-3.1-pro-preview,,buried_primary,8,0.0,1.0,0.0,1.0,0.125,0.0,0.375,0.125,0.0,0.875,0.0,0.0
model+condition,gemini-3.1-pro-preview,,clean,8,1.0,1.0,1.0,0.5,0.75,0.0,0.41666666666666663,0.5,0.5,0.0,0.0,0.5
model+condition,gemini-3.1-pro-preview,,conflicting_evidence,8,1.0,1.0,1.0,1.0,0.25,0.0,0.41666666666666663,0.25,0.0,0.75,0.0,0.25
model+condition,gemini-3.1-pro-preview,,false_consensus,8,1.0,1.0,1.0,0.875,0.375,0.0,0.41666666666666663,0.375,0.125,0.625,0.0,0.375
model+condition,gemini-3.1-pro-preview,,generated_lore,8,1.0,1.0,1.0,1.0,0.125,0.875,0.6666666666666666,0.875,0.0,0.0,0.125,0.875
model+condition,gpt-5.4,,buried_primary,8,0.0,0.0,0.0,0.25,0.0,0.0,0.08333333333333333,0.0,0.75,1.0,0.0,0.0
model+condition,gpt-5.4,,clean,8,1.0,1.0,1.0,0.875,0.125,0.0,0.3333333333333333,0.875,0.125,0.0,0.0,0.875
model+condition,gpt-5.4,,conflicting_evidence,8,1.0,1.0,1.0,0.75,1.0,0.0,0.5833333333333333,0.75,0.25,0.0,0.0,0.75
model+condition,gpt-5.4,,false_consensus,8,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0
model+condition,gpt-5.4,,generated_lore,8,1.0,0.0,1.0,0.375,0.0,1.0,0.4583333333333333,1.0,0.0,0.0,0.0,0.0
model+condition,kimi-k2.6,,buried_primary,8,0.0,0.875,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0
model+condition,kimi-k2.6,,clean,8,1.0,1.0,1.0,0.75,0.625,0.0,0.4583333333333333,0.75,0.25,0.0,0.0,0.75
model+condition,kimi-k2.6,,conflicting_evidence,8,1.0,1.0,1.0,0.5,0.875,0.0,0.4583333333333333,0.375,0.5,0.125,0.0,0.375
model+condition,kimi-k2.6,,false_consensus,8,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0
model+condition,kimi-k2.6,,generated_lore,8,1.0,1.0,1.0,1.0,0.25,0.75,0.6666666666666666,0.75,0.0,0.0,0.25,0.75
condition,,,buried_primary,40,0.0,0.625,0.0,0.85,0.025,0.0,0.29166666666666663,0.025,0.15,0.975,0.0,0.0
condition,,,clean,40,1.0,1.0,1.0,0.725,0.575,0.0,0.4333333333333333,0.725,0.275,0.0,0.0,0.725
condition,,,conflicting_evidence,40,1.0,1.0,1.0,0.8,0.775,0.0,0.525,0.575,0.2,0.225,0.0,0.575
condition,,,false_consensus,40,1.0,1.0,1.0,0.9,0.65,0.0,0.5166666666666666,0.575,0.1,0.35,0.0,0.575
condition,,,generated_lore,40,1.0,0.675,1.0,0.875,0.075,0.9,0.6166666666666666,0.9,0.0,0.0,0.1,0.575
prompt_condition,,epistemic_hygiene_instruction,,100,0.8,0.91,0.8,0.84,0.46,0.16,0.48666666666666664,0.59,0.13,0.29,0.04,0.53
prompt_condition,,standard_answer,,100,0.8,0.81,0.8,0.82,0.38,0.2,0.4666666666666666,0.53,0.16,0.33,0.0,0.45
