model,prompt_condition,family,condition,task_id,gold_verdict,predicted_verdict,epistemic_escape,belief_correctness,supporting_evidence,supporting_roles,dirty_support_doc_ids,taxonomy_labels,scorer_edge_case_candidate,question
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,false_consensus,ert_021,refuted,refuted,0.0,1.0,"eham_077_primary_a,eham_077_primary_b,eham_077_pollutant_root","primary,primary,contaminant",eham_077_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,false_consensus,ert_022,refuted,refuted,0.0,1.0,"eham_078_primary_a,eham_078_primary_b,eham_078_pollutant_root","primary,primary,contaminant",eham_078_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,false_consensus,ert_022,refuted,refuted,0.0,1.0,"eham_078_primary_a,eham_078_primary_b,eham_078_pollutant_root","primary,primary,contaminant",eham_078_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,false_consensus,ert_023,refuted,refuted,0.0,1.0,"eham_079_primary_a,eham_079_primary_b,eham_079_pollutant_root","primary,primary,contaminant",eham_079_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,buried_primary,ert_024,refuted,refuted,0.0,1.0,"eham_096_primary_a,eham_096_primary_b,eham_096_pollutant_root","primary,primary,contaminant",eham_096_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,buried_primary,ert_025,refuted,refuted,0.0,1.0,"eham_097_primary_a,eham_097_primary_b,eham_097_pollutant_root","primary,primary,contaminant",eham_097_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,buried_primary,ert_025,refuted,refuted,0.0,1.0,"eham_097_primary_a,eham_097_primary_b,eham_097_pollutant_root","primary,primary,contaminant",eham_097_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,buried_primary,ert_026,refuted,refuted,0.0,1.0,"eham_098_primary_a,eham_098_primary_b,eham_098_pollutant_root","primary,primary,contaminant",eham_098_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,buried_primary,ert_028,refuted,refuted,0.0,1.0,"eham_100_primary_a,eham_100_primary_b,eham_100_pollutant_root","primary,primary,contaminant",eham_100_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,buried_primary,ert_028,refuted,refuted,0.0,1.0,"eham_100_primary_a,eham_100_primary_b,eham_100_pollutant_root","primary,primary,contaminant",eham_100_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,buried_primary,ert_030,refuted,refuted,0.0,1.0,"eham_102_primary_a,eham_102_primary_b,eham_102_pollutant_root","primary,primary,contaminant",eham_102_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,buried_primary,ert_030,refuted,refuted,0.0,1.0,"eham_102_primary_a,eham_102_primary_b,eham_102_pollutant_root","primary,primary,contaminant",eham_102_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,buried_primary,ert_031,refuted,refuted,0.0,1.0,"eham_103_primary_a,eham_103_primary_b,eham_103_pollutant_root","primary,primary,contaminant",eham_103_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,packet_judgment,generated_lore,ert_032,insufficient,insufficient,0.0,1.0,"eham_120_pollutant_root,eham_120_repost_00","generated_lore,generated_lore","eham_120_pollutant_root,eham_120_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,generated_lore,ert_032,insufficient,insufficient,0.0,1.0,"eham_120_pollutant_root,eham_120_repost_00","generated_lore,generated_lore","eham_120_pollutant_root,eham_120_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,standard_answer,packet_judgment,generated_lore,ert_033,insufficient,insufficient,0.0,1.0,"eham_121_pollutant_root,eham_121_repost_00,eham_121_repost_01","generated_lore,generated_lore,contaminant","eham_121_pollutant_root,eham_121_repost_00,eham_121_repost_01","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,generated_lore,ert_034,insufficient,insufficient,0.0,1.0,"eham_122_pollutant_root,eham_122_repost_00","generated_lore,generated_lore","eham_122_pollutant_root,eham_122_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,standard_answer,packet_judgment,generated_lore,ert_035,insufficient,insufficient,0.0,1.0,"eham_123_pollutant_root,eham_123_repost_00,eham_123_context_06","generated_lore,generated_lore,background","eham_123_pollutant_root,eham_123_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,generated_lore,ert_035,insufficient,insufficient,0.0,1.0,"eham_123_pollutant_root,eham_123_repost_00","generated_lore,generated_lore","eham_123_pollutant_root,eham_123_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,standard_answer,packet_judgment,generated_lore,ert_036,insufficient,insufficient,0.0,1.0,"eham_124_pollutant_root,eham_124_repost_00","generated_lore,generated_lore","eham_124_pollutant_root,eham_124_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,generated_lore,ert_036,insufficient,insufficient,0.0,1.0,"eham_124_pollutant_root,eham_124_repost_00","generated_lore,generated_lore","eham_124_pollutant_root,eham_124_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,generated_lore,ert_037,insufficient,insufficient,0.0,1.0,"eham_125_pollutant_root,eham_125_repost_00","generated_lore,generated_lore","eham_125_pollutant_root,eham_125_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,standard_answer,packet_judgment,generated_lore,ert_038,insufficient,insufficient,0.0,1.0,"eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01","generated_lore,generated_lore,contaminant","eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Is there reliable evidence that Novalis Robotics ran Project LumenShield in 2024?
openai/gpt-5.4-mini,standard_answer,packet_judgment,generated_lore,ert_039,insufficient,insufficient,0.0,1.0,"eham_127_pollutant_root,eham_127_repost_00","generated_lore,generated_lore","eham_127_pollutant_root,eham_127_repost_00","contaminated_support,generated_lore_cited,duplicate_upstream_treated_as_independent",0,Did Novalis Robotics sign a 2024 MiraCert quantum battery certification deal?
openai/gpt-5.4-mini,standard_answer,evidence_selection,conflicting_evidence,ert_048,refuted,refuted,1.0,1.0,"eham_048_primary_a,eham_048_primary_b,eham_048_pollutant_root","primary,primary,stale",eham_048_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,standard_answer,evidence_selection,conflicting_evidence,ert_049,refuted,refuted,1.0,1.0,"eham_049_primary_a,eham_049_primary_b,eham_049_pollutant_root","primary,primary,stale",eham_049_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,conflicting_evidence,ert_049,refuted,refuted,1.0,1.0,"eham_049_primary_a,eham_049_primary_b,eham_049_pollutant_root","primary,primary,stale",eham_049_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,standard_answer,evidence_selection,conflicting_evidence,ert_050,refuted,refuted,1.0,1.0,"eham_050_primary_a,eham_050_primary_b,eham_050_old_version","primary,primary,stale",eham_050_old_version,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,conflicting_evidence,ert_051,refuted,refuted,1.0,1.0,"eham_051_primary_a,eham_051_primary_b,eham_051_pollutant_root","primary,primary,stale",eham_051_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,standard_answer,evidence_selection,conflicting_evidence,ert_052,refuted,refuted,1.0,1.0,"eham_052_primary_a,eham_052_primary_b,eham_052_pollutant_root","primary,primary,stale",eham_052_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,conflicting_evidence,ert_052,refuted,refuted,1.0,1.0,"eham_052_primary_a,eham_052_primary_b,eham_052_pollutant_root","primary,primary,stale",eham_052_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,standard_answer,evidence_selection,conflicting_evidence,ert_053,refuted,refuted,1.0,1.0,"eham_053_primary_a,eham_053_primary_b,eham_053_pollutant_root","primary,primary,stale",eham_053_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,conflicting_evidence,ert_053,refuted,refuted,0.0,1.0,"eham_053_primary_a,eham_053_old_version,eham_053_repost_00","primary,stale,stale","eham_053_old_version,eham_053_repost_00","contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,standard_answer,evidence_selection,conflicting_evidence,ert_054,refuted,refuted,1.0,1.0,"eham_054_primary_a,eham_054_primary_b,eham_054_pollutant_root","primary,primary,stale",eham_054_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,conflicting_evidence,ert_055,refuted,refuted,1.0,1.0,"eham_055_primary_a,eham_055_primary_b,eham_055_pollutant_root","primary,primary,stale",eham_055_pollutant_root,"contaminated_support,stale_evidence_cited",0,Was Novalis Robotics' EU safety certification still valid in January 2025?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,false_consensus,ert_056,refuted,refuted,1.0,1.0,"eham_072_primary_a,eham_072_primary_b,eham_072_pollutant_root","primary,primary,contaminant",eham_072_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,false_consensus,ert_057,refuted,refuted,1.0,1.0,"eham_073_primary_a,eham_073_primary_b,eham_073_pollutant_root","primary,primary,contaminant",eham_073_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,false_consensus,ert_058,refuted,refuted,1.0,1.0,"eham_074_primary_a,eham_074_primary_b,eham_074_pollutant_root","primary,primary,contaminant",eham_074_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,false_consensus,ert_058,refuted,refuted,1.0,1.0,"eham_074_primary_a,eham_074_primary_b,eham_074_pollutant_root","primary,primary,contaminant",eham_074_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,false_consensus,ert_059,refuted,refuted,1.0,1.0,"eham_075_primary_a,eham_075_primary_b,eham_075_pollutant_root","primary,primary,contaminant",eham_075_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,false_consensus,ert_059,refuted,refuted,1.0,1.0,"eham_075_primary_a,eham_075_primary_b,eham_075_pollutant_root","primary,primary,contaminant",eham_075_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,false_consensus,ert_060,refuted,refuted,1.0,1.0,"eham_076_primary_a,eham_076_primary_b,eham_076_pollutant_root","primary,primary,contaminant",eham_076_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,false_consensus,ert_061,refuted,refuted,1.0,1.0,"eham_077_primary_a,eham_077_primary_b,eham_077_pollutant_root","primary,primary,contaminant",eham_077_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,false_consensus,ert_061,refuted,refuted,1.0,1.0,"eham_077_primary_a,eham_077_primary_b,eham_077_repost_00","primary,primary,contaminant",eham_077_repost_00,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,false_consensus,ert_062,refuted,refuted,1.0,1.0,"eham_078_primary_a,eham_078_primary_b,eham_078_pollutant_root","primary,primary,contaminant",eham_078_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,false_consensus,ert_063,refuted,refuted,1.0,1.0,"eham_079_primary_a,eham_079_primary_b,eham_079_pollutant_root","primary,primary,contaminant",eham_079_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,false_consensus,ert_063,refuted,refuted,1.0,1.0,"eham_079_primary_a,eham_079_primary_b,eham_079_pollutant_root","primary,primary,contaminant",eham_079_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,buried_primary,ert_065,refuted,refuted,1.0,1.0,"eham_097_primary_a,eham_097_primary_b,eham_097_pollutant_root","primary,primary,contaminant",eham_097_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,buried_primary,ert_065,refuted,refuted,1.0,1.0,"eham_097_primary_a,eham_097_primary_b,eham_097_pollutant_root","primary,primary,contaminant",eham_097_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,buried_primary,ert_066,refuted,refuted,1.0,1.0,"eham_098_primary_a,eham_098_primary_b,eham_098_pollutant_root","primary,primary,contaminant",eham_098_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,buried_primary,ert_066,refuted,refuted,1.0,1.0,"eham_098_primary_a,eham_098_primary_b,eham_098_pollutant_root","primary,primary,contaminant",eham_098_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,standard_answer,evidence_selection,buried_primary,ert_067,refuted,refuted,1.0,1.0,"eham_099_primary_a,eham_099_primary_b,eham_099_pollutant_root","primary,primary,contaminant",eham_099_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,buried_primary,ert_067,refuted,refuted,1.0,1.0,"eham_099_primary_a,eham_099_primary_b,eham_099_pollutant_root","primary,primary,contaminant",eham_099_pollutant_root,contaminated_support,0,Did Novalis Robotics reduce its 2024 recall rate below two percent?
