model_or_baseline,prompt_condition,slice,n,epistemic_escape,evidence_cleanliness,primary_seeking_rate,duplicate_avoidance_rate,generated_lore_avoidance_rate,evidence_value_score,active_primary_action_rate,parse_success,uses_gold_metadata,is_model_comparable,interpretation
openai/gpt-4o-mini,standard_answer,active_verification,20,0.65,0.9,0.6,0.4,0.8,0.2425,0.75,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,epistemic_hygiene_instruction,all,100,0.36,0.99,0.29,0.94,0.95,0.15333333333333332,0.26,0.34,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,epistemic_hygiene_instruction,evidence_selection,40,0.325,0.975,0.325,0.95,0.95,0.17916666666666664,0.325,0.375,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,epistemic_hygiene_instruction,generated_lore,20,0.45,1.0,0.0,0.75,0.75,0.0,0.2,0.25,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,epistemic_hygiene_instruction,buried_primary,20,0.35,1.0,0.35,1.0,1.0,0.18333333333333332,0.3,0.35,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,epistemic_hygiene_instruction,false_consensus,20,0.3,1.0,0.3,0.95,1.0,0.13333333333333333,0.25,0.3,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,epistemic_hygiene_instruction,active_verification,20,0.2,1.0,0.25,0.9,0.95,0.11666666666666665,0.2,0.3,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,standard_answer,all,100,0.43,0.94,0.39,0.94,0.97,0.19166666666666668,0.21,0.42,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,standard_answer,evidence_selection,40,0.375,0.925,0.375,1.0,1.0,0.19583333333333333,0.225,0.375,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,standard_answer,generated_lore,20,0.35,0.85,0.0,0.85,0.85,0.0,0.15,0.15,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,standard_answer,buried_primary,20,0.4,1.0,0.4,1.0,1.0,0.2,0.35,0.4,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,standard_answer,false_consensus,20,0.45,1.0,0.55,0.85,1.0,0.2,0.2,0.55,0,1,Model run scored from visible prompt output.
openai/gpt-5-mini,standard_answer,active_verification,20,0.1,0.9,0.25,0.75,0.9,0.05833333333333333,0.2,0.35,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,all,100,0.57,0.53,0.76,0.64,0.8,0.31666666666666665,0.26,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,40,0.7,0.4,0.8,0.725,0.8,0.35,0.25,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,generated_lore,20,0.3,0.45,0.0,0.0,0.0,0.0,0.5,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,buried_primary,20,0.55,0.3,0.8,0.7,1.0,0.35,0.3,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,false_consensus,20,0.6,0.3,1.0,0.8,1.0,0.4,0.1,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,20,0.2,0.6,0.6,0.25,0.8,0.125,0.25,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,standard_answer,all,100,0.49,0.41,0.76,0.7,0.8,0.35,0.26,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,standard_answer,evidence_selection,40,0.775,0.375,0.8,0.775,0.8,0.3875,0.225,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,standard_answer,generated_lore,20,0.15,0.2,0.0,0.0,0.0,0.0,0.7,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,standard_answer,buried_primary,20,0.45,0.2,0.8,0.75,1.0,0.375,0.35,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,standard_answer,false_consensus,20,0.45,0.25,1.0,0.8,1.0,0.4,0.0,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.4-mini,standard_answer,active_verification,20,0.1,0.5,0.6,0.4,0.8,0.2,0.3,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,epistemic_hygiene_instruction,all,12,0.8333333333333334,1.0,0.75,0.75,0.8333333333333334,0.3888888888888889,1.0,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,epistemic_hygiene_instruction,evidence_selection,4,0.75,1.0,0.75,0.75,0.75,0.375,1.0,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,epistemic_hygiene_instruction,generated_lore,2,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,epistemic_hygiene_instruction,buried_primary,2,0.5,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,epistemic_hygiene_instruction,false_consensus,2,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,epistemic_hygiene_instruction,active_verification,4,0.75,1.0,0.5,0.5,0.75,0.25,1.0,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,standard_answer,all,12,0.75,0.8333333333333334,0.75,0.75,0.8333333333333334,0.375,0.5833333333333334,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,standard_answer,evidence_selection,4,0.75,0.75,0.75,0.75,0.75,0.375,0.5,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,standard_answer,generated_lore,2,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,standard_answer,buried_primary,2,0.5,1.0,0.5,0.5,1.0,0.25,1.0,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,standard_answer,false_consensus,2,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0,1,Model run scored from visible prompt output.
openai/gpt-5.5,standard_answer,active_verification,4,0.75,1.0,0.5,0.5,0.75,0.25,1.0,1.0,0,1,Model run scored from visible prompt output.
heuristic-sim,epistemic_hygiene_instruction,all,100,0.76,1.0,0.32,1.0,1.0,0.27166666666666667,0.08,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
heuristic-sim,epistemic_hygiene_instruction,evidence_selection,40,0.8,1.0,0.8,1.0,1.0,0.6791666666666666,0.0,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
heuristic-sim,epistemic_hygiene_instruction,generated_lore,20,0.6,1.0,0.0,1.0,1.0,0.13999999999999996,0.2,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
heuristic-sim,epistemic_hygiene_instruction,buried_primary,20,0.8,1.0,0.4,1.0,1.0,0.2958333333333333,0.2,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
heuristic-sim,epistemic_hygiene_instruction,false_consensus,20,0.8,1.0,0.4,1.0,1.0,0.2958333333333333,0.0,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
heuristic-sim,epistemic_hygiene_instruction,active_verification,20,0.2,1.0,0.0,1.0,1.0,0.0,0.4,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
heuristic-sim,standard_answer,all,100,0.76,0.96,0.32,1.0,1.0,0.27166666666666667,0.08,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
heuristic-sim,standard_answer,evidence_selection,40,0.8,1.0,0.8,1.0,1.0,0.6791666666666666,0.0,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
heuristic-sim,standard_answer,generated_lore,20,0.6,1.0,0.0,1.0,1.0,0.13999999999999996,0.2,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
heuristic-sim,standard_answer,buried_primary,20,0.8,0.8,0.4,1.0,1.0,0.2958333333333333,0.2,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
heuristic-sim,standard_answer,false_consensus,20,0.8,1.0,0.4,1.0,1.0,0.2958333333333333,0.0,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
heuristic-sim,standard_answer,active_verification,20,0.2,0.8,0.0,1.0,1.0,0.0,0.4,1.0,1,0,Gold-metadata heuristic for plumbing and upper-bound checks; not a fair agent-visible model baseline.
