model,prompt_condition,family,condition,n,original_parse_success,parse_failure_count,original_epistemic_escape,original_belief_correctness,original_evidence_cleanliness,mean_completion_tokens,mean_reasoning_tokens,mean_prompt_tokens,top_parse_error_category,raw_response_available,repair_attempted,repaired_parse_success,repaired_epistemic_escape,interpretation
openai/gpt-4o-mini,epistemic_hygiene_instruction,packet_judgment,clean,8,1.0,0,0.75,0.75,1.0,266.125,0.0,1720.625,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,packet_judgment,conflicting_evidence,8,1.0,0,1.0,1.0,1.0,270.25,0.0,1623.625,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,packet_judgment,false_consensus,8,1.0,0,1.0,1.0,1.0,277.5,0.0,1831.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,epistemic_hygiene_instruction,packet_judgment,generated_lore,8,1.0,0,0.875,1.0,0.875,261.625,0.0,1840.25,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,active_verification,buried_primary,4,1.0,0,0.0,0.0,0.5,254.0,0.0,1644.5,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,active_verification,clean,4,1.0,0,0.75,1.0,1.0,244.25,0.0,1473.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,active_verification,conflicting_evidence,4,1.0,0,1.0,1.0,1.0,259.25,0.0,1461.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,active_verification,false_consensus,4,1.0,0,1.0,1.0,1.0,272.25,0.0,1616.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,active_verification,generated_lore,4,1.0,0,0.5,1.0,1.0,229.5,0.0,1540.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,evidence_selection,buried_primary,8,1.0,0,1.0,1.0,1.0,272.25,0.0,2548.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,evidence_selection,clean,8,1.0,0,1.0,1.0,1.0,261.75,0.0,2570.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,evidence_selection,conflicting_evidence,8,1.0,0,1.0,1.0,1.0,279.875,0.0,2518.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,evidence_selection,false_consensus,8,1.0,0,1.0,1.0,0.875,272.75,0.0,2546.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,evidence_selection,generated_lore,8,1.0,0,0.0,1.0,1.0,250.25,0.0,2579.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,packet_judgment,buried_primary,8,1.0,0,0.875,1.0,0.875,275.875,0.0,1883.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,packet_judgment,clean,8,1.0,0,1.0,1.0,1.0,255.875,0.0,1644.625,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,packet_judgment,conflicting_evidence,8,1.0,0,1.0,1.0,1.0,263.625,0.0,1547.625,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,packet_judgment,false_consensus,8,1.0,0,1.0,1.0,1.0,293.0,0.0,1755.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-4o-mini,standard_answer,packet_judgment,generated_lore,8,1.0,0,0.75,1.0,0.75,287.375,0.0,1764.25,,0,0,,,No offline repair needed for this slice.
openai/gpt-5-mini,epistemic_hygiene_instruction,active_verification,buried_primary,4,0.0,4,0.0,0.0,1.0,1386.0,1184.0,1711.5,malformed_or_truncated_json (3),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,active_verification,clean,4,0.5,2,0.5,0.5,1.0,1388.75,976.0,1540.75,malformed_or_truncated_json (2),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,active_verification,conflicting_evidence,4,0.5,2,0.0,0.5,1.0,1294.75,880.0,1528.75,malformed_or_truncated_json (2),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,active_verification,false_consensus,4,0.25,3,0.25,0.25,1.0,1363.5,1024.0,1683.0,malformed_or_truncated_json (3),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,active_verification,generated_lore,4,0.25,3,0.25,1.0,1.0,1340.5,1088.0,1607.75,malformed_or_truncated_json (2),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,evidence_selection,buried_primary,8,0.375,5,0.375,0.375,1.0,1339.25,1024.0,2615.375,malformed_or_truncated_json (5),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,evidence_selection,clean,8,0.5,4,0.5,0.5,1.0,1336.625,912.0,2637.125,malformed_or_truncated_json (4),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,evidence_selection,conflicting_evidence,8,0.375,5,0.375,0.375,0.875,1363.375,920.0,2585.375,malformed_or_truncated_json (5),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,evidence_selection,false_consensus,8,0.375,5,0.375,0.375,1.0,1378.625,1024.0,2613.125,malformed_or_truncated_json (4),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,evidence_selection,generated_lore,8,0.25,6,0.0,1.0,1.0,1391.5,1064.0,2646.125,malformed_or_truncated_json (5),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,packet_judgment,buried_primary,8,0.5,4,0.5,0.5,1.0,1382.125,1008.0,1950.375,malformed_or_truncated_json (4),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,packet_judgment,clean,8,0.25,6,0.25,0.25,1.0,1370.5,1152.0,1711.625,empty_or_non_json_response (3),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,packet_judgment,conflicting_evidence,8,0.375,5,0.375,0.375,1.0,1299.25,960.0,1614.625,malformed_or_truncated_json (4),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,packet_judgment,false_consensus,8,0.25,6,0.25,0.25,1.0,1360.0,1136.0,1822.375,empty_or_non_json_response (2),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,epistemic_hygiene_instruction,packet_judgment,generated_lore,8,0.25,6,1.0,1.0,1.0,1375.875,1032.0,1831.25,malformed_or_truncated_json (5),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,active_verification,buried_primary,4,0.0,4,0.0,0.0,1.0,1372.0,1216.0,1635.5,malformed_or_truncated_json (2),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,active_verification,clean,4,0.25,3,0.25,0.25,1.0,1356.25,992.0,1464.75,malformed_or_truncated_json (3),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,active_verification,conflicting_evidence,4,0.25,3,0.0,0.25,1.0,1392.25,1040.0,1452.75,malformed_or_truncated_json (3),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,active_verification,false_consensus,4,0.75,1,0.25,0.75,1.0,1301.75,880.0,1607.0,malformed_or_truncated_json (1),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,active_verification,generated_lore,4,0.5,2,0.0,1.0,0.5,1379.25,976.0,1531.75,malformed_or_truncated_json (2),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,evidence_selection,buried_primary,8,0.625,3,0.625,0.625,1.0,1263.75,896.0,2539.375,malformed_or_truncated_json (2),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,evidence_selection,clean,8,0.25,6,0.25,0.25,1.0,1383.375,1088.0,2561.125,malformed_or_truncated_json (5),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,evidence_selection,conflicting_evidence,8,0.375,5,0.375,0.375,0.625,1383.0,1024.0,2509.375,malformed_or_truncated_json (5),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,evidence_selection,false_consensus,8,0.625,3,0.625,0.625,1.0,1334.75,912.0,2537.125,malformed_or_truncated_json (3),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,evidence_selection,generated_lore,8,0.0,8,0.0,1.0,1.0,1393.0,1152.0,2570.125,malformed_or_truncated_json (6),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,packet_judgment,buried_primary,8,0.375,5,0.375,0.375,1.0,1325.0,952.0,1874.375,malformed_or_truncated_json (5),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,packet_judgment,clean,8,0.75,2,0.75,0.75,1.0,1323.625,920.0,1635.625,malformed_or_truncated_json (2),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,packet_judgment,conflicting_evidence,8,0.875,1,0.875,0.875,1.0,1254.0,816.0,1538.625,malformed_or_truncated_json (1),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,packet_judgment,false_consensus,8,0.375,5,0.375,0.375,1.0,1319.5,960.0,1746.375,malformed_or_truncated_json (4),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5-mini,standard_answer,packet_judgment,generated_lore,8,0.125,7,0.875,1.0,0.875,1398.125,1128.0,1755.25,malformed_or_truncated_json (7),0,0,,,Repair not run: final run did not persist raw responses; rerun with response artifacts before claiming repaired metrics.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,buried_primary,4,1.0,0,0.0,0.0,0.0,428.75,0.0,1711.5,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,clean,4,1.0,0,0.0,1.0,1.0,422.75,0.0,1540.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,conflicting_evidence,4,1.0,0,0.25,1.0,1.0,448.0,0.0,1528.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,false_consensus,4,1.0,0,0.0,1.0,0.25,497.5,0.0,1683.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,active_verification,generated_lore,4,1.0,0,0.75,1.0,0.75,467.0,0.0,1607.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,buried_primary,8,1.0,0,0.75,1.0,0.125,505.5,0.0,2615.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,clean,8,1.0,0,1.0,1.0,1.0,501.625,0.0,2637.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,conflicting_evidence,8,1.0,0,0.75,1.0,0.375,546.125,0.0,2585.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,false_consensus,8,1.0,0,1.0,1.0,0.125,505.0,0.0,2613.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,evidence_selection,generated_lore,8,1.0,0,0.0,1.0,0.375,514.875,0.0,2646.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,buried_primary,8,1.0,0,0.625,1.0,0.625,457.75,0.0,1950.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,clean,8,1.0,0,0.75,1.0,0.75,404.75,0.0,1711.625,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,conflicting_evidence,8,1.0,0,0.875,1.0,0.875,455.0,0.0,1614.625,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,false_consensus,8,1.0,0,0.5,1.0,0.5,464.125,0.0,1822.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,epistemic_hygiene_instruction,packet_judgment,generated_lore,8,1.0,0,0.375,1.0,0.375,523.25,0.0,1831.25,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,active_verification,buried_primary,4,1.0,0,0.0,0.0,0.25,501.75,0.0,1635.5,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,active_verification,clean,4,1.0,0,0.25,1.0,1.0,341.75,0.0,1464.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,active_verification,conflicting_evidence,4,1.0,0,0.0,1.0,0.75,432.5,0.0,1452.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,active_verification,false_consensus,4,1.0,0,0.0,1.0,0.25,441.75,0.0,1607.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,active_verification,generated_lore,4,1.0,0,0.25,1.0,0.25,436.25,0.0,1531.75,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,evidence_selection,buried_primary,8,1.0,0,0.875,1.0,0.125,496.625,0.0,2539.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,evidence_selection,clean,8,1.0,0,1.0,1.0,1.0,412.75,0.0,2561.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,evidence_selection,conflicting_evidence,8,1.0,0,1.0,1.0,0.25,520.125,0.0,2509.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,evidence_selection,false_consensus,8,1.0,0,1.0,1.0,0.375,473.875,0.0,2537.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,evidence_selection,generated_lore,8,1.0,0,0.0,1.0,0.125,503.875,0.0,2570.125,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,packet_judgment,buried_primary,8,1.0,0,0.25,1.0,0.25,468.0,0.0,1874.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,packet_judgment,clean,8,1.0,0,1.0,1.0,1.0,378.5,0.0,1635.625,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,packet_judgment,conflicting_evidence,8,1.0,0,0.375,1.0,0.375,448.5,0.0,1538.625,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,packet_judgment,false_consensus,8,1.0,0,0.125,1.0,0.125,439.25,0.0,1746.375,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.4-mini,standard_answer,packet_judgment,generated_lore,8,1.0,0,0.25,1.0,0.25,451.125,0.0,1755.25,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,active_verification,buried_primary,1,1.0,0,0.0,0.0,1.0,695.0,223.0,1713.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,active_verification,clean,1,1.0,0,1.0,1.0,1.0,478.0,0.0,1541.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,active_verification,conflicting_evidence,1,1.0,0,1.0,1.0,1.0,688.0,193.0,1529.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,active_verification,generated_lore,1,1.0,0,1.0,1.0,1.0,686.0,234.0,1601.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,evidence_selection,clean,1,1.0,0,1.0,1.0,1.0,495.0,0.0,2642.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,evidence_selection,conflicting_evidence,1,1.0,0,1.0,1.0,1.0,937.0,320.0,2621.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,evidence_selection,false_consensus,1,1.0,0,1.0,1.0,1.0,683.0,241.0,2377.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,evidence_selection,generated_lore,1,1.0,0,0.0,1.0,1.0,511.0,0.0,2666.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,packet_judgment,buried_primary,1,1.0,0,1.0,1.0,1.0,413.0,0.0,2005.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,packet_judgment,clean,1,1.0,0,1.0,1.0,1.0,543.0,0.0,1712.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,packet_judgment,conflicting_evidence,1,1.0,0,1.0,1.0,1.0,543.0,0.0,1615.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,epistemic_hygiene_instruction,packet_judgment,false_consensus,1,1.0,0,1.0,1.0,1.0,512.0,0.0,1874.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,active_verification,buried_primary,1,1.0,0,0.0,0.0,1.0,639.0,281.0,1637.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,active_verification,clean,1,1.0,0,1.0,1.0,1.0,552.0,96.0,1465.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,active_verification,conflicting_evidence,1,1.0,0,1.0,1.0,1.0,599.0,75.0,1453.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,active_verification,generated_lore,1,1.0,0,1.0,1.0,1.0,492.0,0.0,1525.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,evidence_selection,clean,1,1.0,0,1.0,1.0,1.0,577.0,106.0,2566.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,evidence_selection,conflicting_evidence,1,1.0,0,1.0,1.0,0.0,983.0,372.0,2545.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,evidence_selection,false_consensus,1,1.0,0,1.0,1.0,1.0,543.0,123.0,2301.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,evidence_selection,generated_lore,1,1.0,0,0.0,1.0,1.0,452.0,0.0,2590.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,packet_judgment,buried_primary,1,1.0,0,1.0,1.0,1.0,599.0,96.0,1929.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,packet_judgment,clean,1,1.0,0,1.0,1.0,1.0,584.0,114.0,1636.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,packet_judgment,conflicting_evidence,1,1.0,0,0.0,1.0,0.0,611.0,0.0,1539.0,,0,0,,,No offline repair needed for this slice.
openai/gpt-5.5,standard_answer,packet_judgment,false_consensus,1,1.0,0,1.0,1.0,1.0,580.0,98.0,1798.0,,0,0,,,No offline repair needed for this slice.
