row_index,task_id,audit_bucket,condition,family,prompt_condition,question,gold_verdict,prediction_verdict,parse_success,verdict_reasonable,supporting_evidence_actually_supports_verdict,contamination_label_reasonable,rejected_evidence_misclassified_as_support,generated_lore_label_too_strict,scorer_agreement,notes
41,ert_092,buried_primary,buried_primary,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,insufficient,1.0,yes,no,yes,no,no,no,Only contaminant/derivative recall-rate documents are visible; insufficient is defensible from the packet even though hidden gold primary records would refute the claim.
42,ert_028,buried_primary,buried_primary,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
43,ert_093,buried_primary,buried_primary,active_verification,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,insufficient,1.0,yes,no,yes,no,no,no,Only contaminant/derivative recall-rate documents are visible; insufficient is defensible from the packet even though hidden gold primary records would refute the claim.
44,ert_095,buried_primary,buried_primary,active_verification,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,insufficient,1.0,yes,no,yes,no,no,no,Only contaminant/derivative recall-rate documents are visible; insufficient is defensible from the packet even though hidden gold primary records would refute the claim.
45,ert_025,buried_primary,buried_primary,packet_judgment,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,no,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
46,ert_028,buried_primary,buried_primary,packet_judgment,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
47,ert_030,buried_primary,buried_primary,packet_judgment,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
48,ert_068,buried_primary,buried_primary,evidence_selection,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
49,ert_092,buried_primary,buried_primary,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,insufficient,1.0,yes,no,yes,no,no,no,Only contaminant/derivative recall-rate documents are visible; insufficient is defensible from the packet even though hidden gold primary records would refute the claim.
50,ert_093,buried_primary,buried_primary,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,insufficient,1.0,yes,no,yes,yes,no,no,Only contaminant/derivative recall-rate documents are visible; insufficient is defensible from the packet even though hidden gold primary records would refute the claim.
51,ert_094,buried_primary,buried_primary,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,insufficient,1.0,yes,no,yes,yes,no,no,Only contaminant/derivative recall-rate documents are visible; insufficient is defensible from the packet even though hidden gold primary records would refute the claim.
52,ert_095,buried_primary,buried_primary,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,insufficient,1.0,yes,no,yes,yes,no,no,Only contaminant/derivative recall-rate documents are visible; insufficient is defensible from the packet even though hidden gold primary records would refute the claim.
53,ert_024,buried_primary,buried_primary,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,no,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
54,ert_025,buried_primary,buried_primary,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,no,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
55,ert_026,buried_primary,buried_primary,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
56,ert_028,buried_primary,buried_primary,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
57,ert_030,buried_primary,buried_primary,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
58,ert_031,buried_primary,buried_primary,packet_judgment,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
59,ert_071,buried_primary,buried_primary,evidence_selection,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Visible primary records refute the below-2% claim; contaminant consensus labels are reasonable, but support/selection often includes the rejected 1.7% chain."
60,ert_092,buried_primary,buried_primary,active_verification,standard_answer,Did Novalis Robotics reduce its 2024 recall rate below two percent?,refuted,insufficient,1.0,yes,no,yes,yes,no,no,Only contaminant/derivative recall-rate documents are visible; insufficient is defensible from the packet even though hidden gold primary records would refute the claim.
61,ert_087,active_verification,conflicting_evidence,active_verification,standard_answer,Was Novalis Robotics' EU safety certification still valid in January 2025?,refuted,refuted,1.0,yes,uncertain,yes,yes,no,uncertain,"Correctly refutes using lapsed-certificate primary records, but stale validity material is also present in support/selection after being rejected."
62,ert_082,active_verification,clean,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,supported,insufficient,0.0,no,no,yes,no,no,yes,"Parser failed despite visible primary evidence; automatic failure is appropriate, but no substantive support was available to audit."
63,ert_083,active_verification,clean,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,supported,insufficient,0.0,no,no,yes,no,no,yes,"Parser failed despite visible primary evidence; automatic failure is appropriate, but no substantive support was available to audit."
64,ert_084,active_verification,conflicting_evidence,active_verification,epistemic_hygiene_instruction,Was Novalis Robotics' EU safety certification still valid in January 2025?,refuted,insufficient,0.0,no,no,yes,no,no,yes,"Parser failed despite visible primary evidence; automatic failure is appropriate, but no substantive support was available to audit."
65,ert_087,active_verification,conflicting_evidence,active_verification,epistemic_hygiene_instruction,Was Novalis Robotics' EU safety certification still valid in January 2025?,refuted,insufficient,0.0,no,no,yes,no,no,yes,"Parser failed despite visible primary evidence; automatic failure is appropriate, but no substantive support was available to audit."
66,ert_080,active_verification,clean,active_verification,standard_answer,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,supported,insufficient,0.0,no,no,yes,no,no,yes,"Parser failed despite visible primary evidence; automatic failure is appropriate, but no substantive support was available to audit."
67,ert_082,active_verification,clean,active_verification,standard_answer,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,supported,insufficient,0.0,no,no,yes,no,no,yes,"Parser failed despite visible primary evidence; automatic failure is appropriate, but no substantive support was available to audit."
68,ert_083,active_verification,clean,active_verification,standard_answer,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,supported,insufficient,0.0,no,no,yes,no,no,yes,"Parser failed despite visible primary evidence; automatic failure is appropriate, but no substantive support was available to audit."
69,ert_084,active_verification,conflicting_evidence,active_verification,standard_answer,Was Novalis Robotics' EU safety certification still valid in January 2025?,refuted,insufficient,0.0,no,no,yes,no,no,yes,"Parser failed despite visible primary evidence; automatic failure is appropriate, but no substantive support was available to audit."
70,ert_085,active_verification,conflicting_evidence,active_verification,standard_answer,Was Novalis Robotics' EU safety certification still valid in January 2025?,refuted,insufficient,0.0,no,no,yes,no,no,yes,"Parser failed despite visible primary evidence; automatic failure is appropriate, but no substantive support was available to audit."
71,ert_086,active_verification,conflicting_evidence,active_verification,standard_answer,Was Novalis Robotics' EU safety certification still valid in January 2025?,refuted,insufficient,0.0,no,no,yes,no,no,yes,"Parser failed despite visible primary evidence; automatic failure is appropriate, but no substantive support was available to audit."
72,ert_080,active_verification,clean,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,supported,supported,1.0,yes,yes,yes,no,no,yes,Correctly supports completion before renewal using primary audit records; contrary pending-audit summaries are reasonably rejected as contaminant.
73,ert_083,active_verification,clean,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,supported,supported,1.0,yes,yes,yes,no,no,yes,Correctly supports completion before renewal using primary audit records; contrary pending-audit summaries are reasonably rejected as contaminant.
74,ert_082,active_verification,clean,active_verification,standard_answer,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,supported,supported,1.0,yes,yes,yes,no,no,yes,Correctly supports completion before renewal using primary audit records; contrary pending-audit summaries are reasonably rejected as contaminant.
75,ert_085,active_verification,conflicting_evidence,active_verification,epistemic_hygiene_instruction,Was Novalis Robotics' EU safety certification still valid in January 2025?,refuted,refuted,1.0,yes,yes,yes,no,no,yes,Correctly refutes using primary lapsed-certificate records; stale validity repeats are reasonably rejected.
76,ert_086,active_verification,conflicting_evidence,active_verification,epistemic_hygiene_instruction,Was Novalis Robotics' EU safety certification still valid in January 2025?,refuted,refuted,1.0,yes,yes,yes,no,no,yes,Correctly refutes using primary lapsed-certificate records; stale validity repeats are reasonably rejected.
77,ert_087,active_verification,conflicting_evidence,active_verification,standard_answer,Was Novalis Robotics' EU safety certification still valid in January 2025?,refuted,refuted,1.0,yes,yes,yes,no,no,yes,Correctly refutes using primary lapsed-certificate records; stale validity repeats are reasonably rejected.
78,ert_080,active_verification,clean,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,supported,supported,1.0,yes,yes,yes,no,no,yes,Correctly supports completion before renewal using primary audit records; contrary pending-audit summaries are reasonably rejected as contaminant.
79,ert_081,active_verification,clean,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,supported,supported,1.0,yes,yes,yes,no,no,yes,Correctly supports completion before renewal using primary audit records; contrary pending-audit summaries are reasonably rejected as contaminant.
80,ert_082,active_verification,clean,active_verification,epistemic_hygiene_instruction,Did Novalis Robotics complete the Q4 supplier audit before the 2025 renewal meeting?,supported,supported,1.0,yes,yes,yes,no,no,yes,Correctly supports completion before renewal using primary audit records; contrary pending-audit summaries are reasonably rejected as contaminant.
