baseline,view,task_id,family,condition,gold_verdict,predicted_verdict,verdict_accuracy,evidence_precision,clean_support_recall,polluted_support_rate,role_reconstruction_accuracy,action_target_score,operational_epistemic_escape,supporting_evidence,selected_doc_ids,is_simple_heuristic
timestamp_only,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d01,0
citation_graph_only,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_003_d03,uncued_003_d04",0
claim_overlap_only,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_003_d03,uncued_003_d04",0
cue_phrase_only,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_003_d03,0
always_insufficient,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_003,packet_judgment,clean,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_003_d03,"uncued_003_d03,uncued_003_d04,uncued_003_d02",1
id_only,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d01,0
document_order_only,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_004_d01,uncued_004_d01,0
title_only,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d01,0
source_type_only,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d01,0
metadata_only,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d04,0
timestamp_only,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d04,0
citation_graph_only,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_004_d01,uncued_004_d03",0
claim_overlap_only,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_004_d01,uncued_004_d03",0
cue_phrase_only,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,refuted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_004_d01,0
always_insufficient,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_004,packet_judgment,clean,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_004_d01,"uncued_004_d01,uncued_004_d03,uncued_004_d02",1
id_only,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d01,0
document_order_only,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_005_d02,uncued_005_d02,0
title_only,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d02,0
source_type_only,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d02,0
metadata_only,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d04,0
timestamp_only,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d01,0
citation_graph_only,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_005_d02,uncued_005_d03",0
claim_overlap_only,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_005_d02,uncued_005_d03",0
cue_phrase_only,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_005_d04,0
always_insufficient,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_005,evidence_selection,clean,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_005_d02,"uncued_005_d02,uncued_005_d03,uncued_005_d04",1
id_only,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d01,0
document_order_only,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_006_d03,uncued_006_d03,0
title_only,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d03,0
source_type_only,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d03,0
metadata_only,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d04,0
timestamp_only,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d02,0
citation_graph_only,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_006_d03,uncued_006_d01",0
claim_overlap_only,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_006_d04,uncued_006_d03",0
cue_phrase_only,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_006_d04,0
always_insufficient,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_006,evidence_selection,clean,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_006_d04,"uncued_006_d04,uncued_006_d03,uncued_006_d01",1
id_only,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_007_d01,0
document_order_only,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_007_d04,uncued_007_d04,0
title_only,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_007_d04,0
source_type_only,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_007_d04,0
metadata_only,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_007_d04,0
timestamp_only,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_007_d02,0
citation_graph_only,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_007_d04,uncued_007_d02",0
claim_overlap_only,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_007_d04,uncued_007_d03",0
cue_phrase_only,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_007_d04,0
always_insufficient,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_007,evidence_selection,clean,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_007_d04,"uncued_007_d04,uncued_007_d03,uncued_007_d01",1
id_only,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_008_d01,0
document_order_only,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_008_d01,uncued_008_d01,0
title_only,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_008_d01,0
source_type_only,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_008_d01,0
metadata_only,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_008_d04,0
timestamp_only,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_008_d03,0
citation_graph_only,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_008_d01,uncued_008_d04",0
claim_overlap_only,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_008_d02,uncued_008_d01",0
cue_phrase_only,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_008_d04,0
always_insufficient,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_008,evidence_selection,clean,supported,supported,1.0,1.0,1.0,0.0,0.0,0.0,1.0,uncued_008_d02,"uncued_008_d02,uncued_008_d01,uncued_008_d04",1
id_only,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_009_d01,0
document_order_only,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_009_d04,uncued_009_d04,0
title_only,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_009_d04,0
source_type_only,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_009_d04,0
metadata_only,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_009_d04,0
timestamp_only,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_009_d04,0
citation_graph_only,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_009_d04,uncued_009_d03",0
claim_overlap_only,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_009_d03,uncued_009_d01",0
cue_phrase_only,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_009_d03,0
always_insufficient,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_009,evidence_selection,clean,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_009_d03,"uncued_009_d03,uncued_009_d01,uncued_009_d02",1
id_only,neutral_metadata_visible,uncued_010,active_verification,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_010_d01,0
document_order_only,neutral_metadata_visible,uncued_010,active_verification,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_010_d04,uncued_010_d04,0
title_only,neutral_metadata_visible,uncued_010,active_verification,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_010_d04,0
source_type_only,neutral_metadata_visible,uncued_010,active_verification,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_010_d04,0
metadata_only,neutral_metadata_visible,uncued_010,active_verification,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_010_d04,0
timestamp_only,neutral_metadata_visible,uncued_010,active_verification,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_010_d04,0
citation_graph_only,neutral_metadata_visible,uncued_010,active_verification,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_010_d04,uncued_010_d03",0
claim_overlap_only,neutral_metadata_visible,uncued_010,active_verification,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_010_d01,uncued_010_d03",0
cue_phrase_only,neutral_metadata_visible,uncued_010,active_verification,clean,supported,supported,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_010,active_verification,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_010_d02,0
always_insufficient,neutral_metadata_visible,uncued_010,active_verification,clean,supported,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_010,active_verification,clean,supported,supported,1.0,1.0,1.0,0.0,0.0,1.0,1.0,uncued_010_d01,"uncued_010_d01,uncued_010_d03,uncued_010_d02",1
id_only,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_011_d01,0
document_order_only,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_011_d03,uncued_011_d03,0
title_only,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_011_d03,0
source_type_only,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_011_d03,0
metadata_only,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_011_d04,0
timestamp_only,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_011_d02,0
citation_graph_only,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_011_d03,uncued_011_d04",0
claim_overlap_only,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_011_d03,uncued_011_d04",0
cue_phrase_only,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_011_d02,0
always_insufficient,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_011,active_verification,clean,refuted,supported,0.0,1.0,1.0,0.0,0.0,1.0,0.0,uncued_011_d03,"uncued_011_d03,uncued_011_d04,uncued_011_d01",1
id_only,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_012_d01,0
document_order_only,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,1.0,0.0,0.0,0.0,uncued_012_d03,uncued_012_d03,0
title_only,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_012_d03,0
source_type_only,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_012_d03,0
metadata_only,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_012_d04,0
timestamp_only,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_012_d02,0
citation_graph_only,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_012_d01,uncued_012_d03",0
claim_overlap_only,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"uncued_012_d04,uncued_012_d03",0
cue_phrase_only,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
random_valid_schema,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,refuted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_012_d04,0
always_insufficient,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0
simple_heuristic,neutral_metadata_visible,uncued_012,packet_judgment,conflicting_evidence,refuted,supported,0.0,1.0,1.0,0.0,0.0,0.0,0.0,uncued_012_d04,"uncued_012_d04,uncued_012_d03,uncued_012_d01",1
id_only,neutral_metadata_visible,uncued_013,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_013_d01,0
document_order_only,neutral_metadata_visible,uncued_013,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uncued_013_d03,uncued_013_d03,0
title_only,neutral_metadata_visible,uncued_013,packet_judgment,conflicting_evidence,refuted,insufficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_013_d03,0
source_type_only,neutral_metadata_visible,uncued_013,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_013_d03,0
metadata_only,neutral_metadata_visible,uncued_013,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_013_d04,0
timestamp_only,neutral_metadata_visible,uncued_013,packet_judgment,conflicting_evidence,refuted,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,uncued_013_d03,0
