model,condition,family,n,clean_support_contract,pollutant_rejection_contract,evidence_selection_contract,verification_contract,composite_evidence_hygiene_contract,final_verdict_correct,no_dirty_support,clean_support_recovered,pollutant_rejected_or_diagnosed,verification_path_executable,operational_epistemic_escape,contract_minus_operational,operational_contract_interpretation
deepseek-v4-pro,conflicting_evidence,packet_judgment,10,0.3,0.0,0.0,1.0,0.3,0.5,0.3,0.3,0.5,1.0,0.3,0.0,directionally_aligned
deepseek-v4-pro,false_consensus,active_verification,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,directionally_aligned
deepseek-v4-pro,false_consensus,evidence_selection,10,0.2,0.0,0.0,1.0,0.0,0.3,0.3,0.2,1.0,1.0,0.0,0.0,directionally_aligned
deepseek-v4-pro,false_consensus,packet_judgment,10,0.3,0.0,0.0,1.0,0.3,0.5,0.4,0.3,1.0,1.0,0.3,0.0,directionally_aligned
deepseek-v4-pro,generated_lore,active_verification,8,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.875,1.0,0.0,0.0,directionally_aligned
deepseek-v4-pro,generated_lore,evidence_selection,8,0.0,0.0,0.0,1.0,0.0,0.875,0.0,0.0,1.0,1.0,0.0,0.0,directionally_aligned
deepseek-v4-pro,generated_lore,packet_judgment,8,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,1.0,1.0,0.0,0.0,directionally_aligned
gemini-3.1-pro-preview,buried_primary,active_verification,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,operational_too_strict
gemini-3.1-pro-preview,buried_primary,evidence_selection,10,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,directionally_aligned
gemini-3.1-pro-preview,buried_primary,packet_judgment,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,directionally_aligned
gemini-3.1-pro-preview,clean,active_verification,4,1.0,0.0,0.25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,directionally_aligned
gemini-3.1-pro-preview,clean,evidence_selection,10,0.9,0.0,0.1,1.0,0.1,0.9,1.0,1.0,0.1,1.0,0.1,0.0,directionally_aligned
gemini-3.1-pro-preview,clean,packet_judgment,10,1.0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.0,directionally_aligned
gemini-3.1-pro-preview,conflicting_evidence,active_verification,4,0.75,0.0,0.0,1.0,0.75,0.75,0.75,0.75,0.75,1.0,0.0,0.75,operational_too_strict
gemini-3.1-pro-preview,conflicting_evidence,evidence_selection,10,0.9,0.0,0.0,1.0,0.0,0.9,0.9,0.9,1.0,1.0,0.0,0.0,directionally_aligned
gemini-3.1-pro-preview,conflicting_evidence,packet_judgment,10,0.7,0.0,0.0,1.0,0.7,0.7,0.7,0.7,1.0,1.0,0.7,0.0,directionally_aligned
gemini-3.1-pro-preview,false_consensus,active_verification,4,0.75,0.0,0.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.25,0.5,operational_too_strict
gemini-3.1-pro-preview,false_consensus,evidence_selection,10,0.9,0.0,0.0,1.0,0.0,0.9,0.9,0.9,1.0,1.0,0.0,0.0,directionally_aligned
gemini-3.1-pro-preview,false_consensus,packet_judgment,10,0.9,0.0,0.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,0.9,0.0,directionally_aligned
gemini-3.1-pro-preview,generated_lore,active_verification,8,0.0,0.375,0.0,1.0,0.375,0.875,0.5,0.0,1.0,1.0,0.375,0.0,directionally_aligned
gemini-3.1-pro-preview,generated_lore,evidence_selection,8,0.0,0.75,0.0,1.0,0.0,1.0,0.75,0.0,1.0,1.0,0.0,0.0,directionally_aligned
gemini-3.1-pro-preview,generated_lore,packet_judgment,8,0.0,0.625,0.0,1.0,0.625,1.0,0.625,0.0,1.0,1.0,0.625,0.0,directionally_aligned
gpt-5.5,buried_primary,active_verification,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,operational_too_strict
gpt-5.5,buried_primary,evidence_selection,10,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,directionally_aligned
gpt-5.5,buried_primary,packet_judgment,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,directionally_aligned
gpt-5.5,clean,active_verification,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.0,directionally_aligned
gpt-5.5,clean,evidence_selection,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,0.0,directionally_aligned
gpt-5.5,clean,packet_judgment,10,0.9,0.0,0.9,1.0,0.9,0.9,1.0,1.0,0.2,1.0,0.9,0.0,directionally_aligned
gpt-5.5,conflicting_evidence,active_verification,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,operational_too_strict
gpt-5.5,conflicting_evidence,evidence_selection,10,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,directionally_aligned
gpt-5.5,conflicting_evidence,packet_judgment,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,directionally_aligned
gpt-5.5,false_consensus,active_verification,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,operational_too_strict
gpt-5.5,false_consensus,evidence_selection,10,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,directionally_aligned
gpt-5.5,false_consensus,packet_judgment,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,directionally_aligned
gpt-5.5,generated_lore,active_verification,8,0.0,0.375,0.0,1.0,0.375,1.0,0.375,0.0,1.0,1.0,0.375,0.0,directionally_aligned
gpt-5.5,generated_lore,evidence_selection,8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,directionally_aligned
gpt-5.5,generated_lore,packet_judgment,8,0.0,0.125,0.0,1.0,0.125,1.0,0.125,0.0,1.0,1.0,0.125,0.0,directionally_aligned
