schema_variant,model,provider,task_id,family,condition,prompt_condition,parse_success,empty_output,schema_missing,belief_correctness,insufficient_verdict,rejected_pollutant,polluted_supporting_evidence,dual_role_pollutant,full_escape,predicted_verdict,gold_verdict,polluted_supporting_ids,rejected_pollutant_ids,dual_role_pollutant_ids
current_schema,claude-opus-4-7,Anthropic,ert_033,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,insufficient,insufficient,"eham_121_pollutant_root,eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03",,
current_schema,claude-opus-4-7,Anthropic,ert_033,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_121_pollutant_root,eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_034,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,insufficient,insufficient,"eham_122_pollutant_root,eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03",,
current_schema,claude-opus-4-7,Anthropic,ert_034,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_122_pollutant_root,eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_035,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_035,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_036,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_124_pollutant_root,eham_124_repost_00,eham_124_repost_01,eham_124_repost_02",
current_schema,claude-opus-4-7,Anthropic,ert_036,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_124_pollutant_root,eham_124_repost_00,eham_124_repost_01,eham_124_repost_02",
current_schema,claude-opus-4-7,Anthropic,ert_037,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,insufficient,insufficient,"eham_125_pollutant_root,eham_125_repost_00,eham_125_repost_01,eham_125_repost_02,eham_125_repost_03",,
current_schema,claude-opus-4-7,Anthropic,ert_037,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_125_pollutant_root,eham_125_repost_00,eham_125_repost_01,eham_125_repost_02,eham_125_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_038,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,insufficient,insufficient,"eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01,eham_126_repost_02",,
current_schema,claude-opus-4-7,Anthropic,ert_038,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01,eham_126_repost_02",
current_schema,claude-opus-4-7,Anthropic,ert_039,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,insufficient,insufficient,"eham_127_pollutant_root,eham_127_repost_00,eham_127_repost_01,eham_127_repost_02,eham_127_repost_03",,
current_schema,claude-opus-4-7,Anthropic,ert_039,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_127_pollutant_root,eham_127_repost_00,eham_127_repost_01,eham_127_repost_02,eham_127_repost_03",
current_schema,gpt-5.4,OpenAI,ert_072,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,insufficient,insufficient,eham_120_pollutant_root,"eham_120_repost_00,eham_120_repost_01,eham_120_repost_02,eham_120_repost_03,eham_120_repost_04",
current_schema,gpt-5.4,OpenAI,ert_072,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_120_pollutant_root,eham_120_repost_00","eham_120_pollutant_root,eham_120_repost_00,eham_120_repost_01,eham_120_repost_02,eham_120_repost_04","eham_120_pollutant_root,eham_120_repost_00"
current_schema,gpt-5.4,OpenAI,ert_073,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_121_pollutant_root,eham_121_repost_00","eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03,eham_121_repost_04",eham_121_repost_00
current_schema,gpt-5.4,OpenAI,ert_073,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,insufficient,insufficient,eham_121_pollutant_root,"eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03,eham_121_repost_04",
current_schema,gpt-5.4,OpenAI,ert_074,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_122_pollutant_root,eham_122_repost_00","eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03,eham_122_repost_04",eham_122_repost_00
current_schema,gpt-5.4,OpenAI,ert_074,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_122_pollutant_root,eham_122_repost_00","eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03,eham_122_repost_04",eham_122_repost_00
current_schema,gpt-5.4,OpenAI,ert_075,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_123_pollutant_root,eham_123_repost_00","eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03,eham_123_repost_04",eham_123_repost_00
current_schema,gpt-5.4,OpenAI,ert_075,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,insufficient,insufficient,eham_123_pollutant_root,"eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03,eham_123_repost_04",
current_schema,gpt-5.4,OpenAI,ert_076,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_124_pollutant_root,eham_124_repost_00,eham_124_repost_01,eham_124_repost_02","eham_124_repost_00,eham_124_repost_01,eham_124_repost_02","eham_124_repost_00,eham_124_repost_01,eham_124_repost_02"
current_schema,gpt-5.4,OpenAI,ert_076,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,insufficient,insufficient,eham_124_pollutant_root,"eham_124_repost_00,eham_124_repost_01,eham_124_repost_02",
current_schema,gpt-5.4,OpenAI,ert_077,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_125_pollutant_root,eham_125_repost_00","eham_125_repost_00,eham_125_repost_01,eham_125_repost_02,eham_125_repost_03",eham_125_repost_00
current_schema,gpt-5.4,OpenAI,ert_077,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_125_pollutant_root,eham_125_repost_00","eham_125_pollutant_root,eham_125_repost_00,eham_125_repost_01,eham_125_repost_02,eham_125_repost_03","eham_125_pollutant_root,eham_125_repost_00"
current_schema,gpt-5.4,OpenAI,ert_078,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01,eham_126_repost_02","eham_126_repost_00,eham_126_repost_01,eham_126_repost_02","eham_126_repost_00,eham_126_repost_01,eham_126_repost_02"
current_schema,gpt-5.4,OpenAI,ert_078,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_126_pollutant_root,eham_126_repost_00","eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01,eham_126_repost_02","eham_126_pollutant_root,eham_126_repost_00"
current_schema,gpt-5.4,OpenAI,ert_079,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_127_pollutant_root,eham_127_repost_00","eham_127_repost_00,eham_127_repost_01,eham_127_repost_02,eham_127_repost_03,eham_127_repost_04",eham_127_repost_00
current_schema,gpt-5.4,OpenAI,ert_079,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_127_pollutant_root,eham_127_repost_00","eham_127_repost_00,eham_127_repost_01,eham_127_repost_02,eham_127_repost_03,eham_127_repost_04",eham_127_repost_00
current_schema,gemini-3.1-pro-preview,Google,ert_032,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_120_pollutant_root,eham_120_repost_00,eham_120_repost_01,eham_120_repost_02,eham_120_repost_03",
current_schema,gemini-3.1-pro-preview,Google,ert_032,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_120_pollutant_root,eham_120_repost_00,eham_120_repost_01,eham_120_repost_02,eham_120_repost_03",
current_schema,gemini-3.1-pro-preview,Google,ert_033,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_121_pollutant_root,eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03",
current_schema,gemini-3.1-pro-preview,Google,ert_033,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_121_pollutant_root,eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03",
current_schema,gemini-3.1-pro-preview,Google,ert_034,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_122_pollutant_root,eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03",
current_schema,gemini-3.1-pro-preview,Google,ert_034,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_122_pollutant_root,eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03",
current_schema,gemini-3.1-pro-preview,Google,ert_035,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03",
current_schema,gpt-5.4,OpenAI,ert_096,active_verification,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_120_pollutant_root,eham_120_repost_00,eham_120_repost_01","eham_120_repost_00,eham_120_repost_01,eham_120_repost_02,eham_120_repost_03","eham_120_repost_00,eham_120_repost_01"
current_schema,gpt-5.4,OpenAI,ert_096,active_verification,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_120_pollutant_root,eham_120_repost_00","eham_120_pollutant_root,eham_120_repost_00,eham_120_repost_01,eham_120_repost_02,eham_120_repost_03","eham_120_pollutant_root,eham_120_repost_00"
current_schema,gpt-5.4,OpenAI,ert_097,active_verification,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_121_pollutant_root,eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03","eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03","eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03"
current_schema,gemini-3.1-pro-preview,Google,ert_035,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03",
current_schema,gpt-5.4,OpenAI,ert_097,active_verification,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03","eham_121_pollutant_root,eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03","eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03"
current_schema,gpt-5.4,OpenAI,ert_098,active_verification,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_122_pollutant_root,eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03","eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03","eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03"
current_schema,gpt-5.4,OpenAI,ert_098,active_verification,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_122_pollutant_root,eham_122_repost_00","eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03",eham_122_repost_00
current_schema,gemini-3.1-pro-preview,Google,ert_036,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_124_pollutant_root,eham_124_repost_00,eham_124_repost_01,eham_124_repost_02",
current_schema,gpt-5.4,OpenAI,ert_099,active_verification,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03","eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03","eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03"
current_schema,gpt-5.4,OpenAI,ert_099,active_verification,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,insufficient,insufficient,"eham_123_pollutant_root,eham_123_repost_00","eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03","eham_123_pollutant_root,eham_123_repost_00"
current_schema,gemini-3.1-pro-preview,Google,ert_036,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_124_pollutant_root,eham_124_repost_00,eham_124_repost_01,eham_124_repost_02",
current_schema,gemini-3.1-pro-preview,Google,ert_037,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_125_pollutant_root,eham_125_repost_00,eham_125_repost_01,eham_125_repost_02,eham_125_repost_03",
current_schema,gemini-3.1-pro-preview,Google,ert_037,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_125_pollutant_root,eham_125_repost_00,eham_125_repost_01,eham_125_repost_02,eham_125_repost_03",
current_schema,gemini-3.1-pro-preview,Google,ert_038,packet_judgment,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01,eham_126_repost_02",
current_schema,gemini-3.1-pro-preview,Google,ert_038,packet_judgment,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,insufficient,insufficient,,"eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01,eham_126_repost_02",
current_schema,claude-opus-4-7,Anthropic,ert_073,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,insufficient,insufficient,"eham_121_pollutant_root,eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_04",,
current_schema,claude-opus-4-7,Anthropic,ert_072,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_120_pollutant_root,eham_120_repost_00,eham_120_repost_01,eham_120_repost_02,eham_120_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_072,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_120_pollutant_root,eham_120_repost_00,eham_120_repost_01,eham_120_repost_02,eham_120_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_074,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_122_pollutant_root,eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_073,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_121_pollutant_root,eham_121_repost_00,eham_121_repost_01,eham_121_repost_02,eham_121_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_074,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_122_pollutant_root,eham_122_repost_00,eham_122_repost_01,eham_122_repost_02,eham_122_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_075,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_075,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_123_pollutant_root,eham_123_repost_00,eham_123_repost_01,eham_123_repost_02,eham_123_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_076,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_124_pollutant_root,eham_124_repost_00,eham_124_repost_01,eham_124_repost_02",
current_schema,claude-opus-4-7,Anthropic,ert_076,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_124_pollutant_root,eham_124_repost_00,eham_124_repost_01,eham_124_repost_02",
current_schema,claude-opus-4-7,Anthropic,ert_077,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_125_pollutant_root,eham_125_repost_00,eham_125_repost_01,eham_125_repost_02,eham_125_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_077,evidence_selection,generated_lore,epistemic_hygiene_instruction,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_125_pollutant_root,eham_125_repost_00,eham_125_repost_01,eham_125_repost_02,eham_125_repost_03",
current_schema,claude-opus-4-7,Anthropic,ert_078,evidence_selection,generated_lore,standard_answer,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,insufficient,insufficient,,"eham_126_pollutant_root,eham_126_repost_00,eham_126_repost_01,eham_126_repost_02",
