row_id,episode_type,task_id,retriever,gold_risks,v7_predicted_risks,v7_claim,v7_fp_flags,v7_fn_flags,calibration_focus
cal_012,citation_laundering_trace,eha2r_044,primary_preserve_top8,citation_laundering+conflicting_evidence,stale_evidence+conflicting_evidence+generated_lore+false_consensus+citation_laundering,refuted->refuted,stale+generated_lore+false_consensus,-,citation-laundering should not imply stale/generated lore
cal_013,citation_laundering_trace,eha2r_040,hygienic_combo_top8,citation_laundering+conflicting_evidence,conflicting_evidence+false_consensus,refuted->refuted,false_consensus,citation_laundering,citation-laundering false negative
cal_014,citation_laundering_trace,eha2r_041,bm25_top8,citation_laundering+conflicting_evidence,conflicting_evidence+false_consensus,refuted->refuted,false_consensus,citation_laundering,citation-laundering false negative
cal_015,citation_laundering_trace,eha2r_043,primary_preserve_top8,citation_laundering+conflicting_evidence,false_consensus,refuted->refuted,false_consensus,citation_laundering,citation-laundering and conflict should both be preserved
cal_016,temporal_pollution_compare,eha2r_052,primary_preserve_top8,stale_evidence,stale_evidence+false_consensus+citation_laundering,refuted->refuted,conflict+citation_laundering+false_consensus,-,stale should not imply citation laundering
cal_017,temporal_pollution_compare,eha2r_053,primary_preserve_top8,stale_evidence,stale_evidence+false_consensus+citation_laundering,refuted->refuted,conflict+citation_laundering+false_consensus,-,stale-only temporal case
cal_018,temporal_pollution_compare,eha2r_054,bm25_top8,stale_evidence,stale_evidence+false_consensus+citation_laundering,refuted->refuted,conflict+citation_laundering+false_consensus,-,temporal pollution without citation laundering
cal_019,temporal_pollution_compare,eha2r_054,hygienic_combo_top8,stale_evidence,stale_evidence+conflicting_evidence+false_consensus+citation_laundering,refuted->refuted,conflict+citation_laundering+false_consensus,-,hygienic temporal overlabeling
cal_020,temporal_pollution_compare,eha2r_059,bm25_top8,stale_evidence,stale_evidence+conflicting_evidence+citation_laundering+false_consensus,refuted->refuted,conflict+citation_laundering+false_consensus,-,temporal high-overlabel case
cal_021,halupedia_or_generated_lore,eha2r_060,bm25_top8,generated_lore+no_primary_source,no_primary_source+false_consensus+citation_laundering,insufficient->insufficient,stale+citation_laundering+false_consensus,-,generated lore should not imply citation laundering
cal_022,halupedia_or_generated_lore,eha2r_060,primary_preserve_top8,generated_lore+no_primary_source,generated_lore+no_primary_source+false_consensus+citation_laundering,insufficient->insufficient,stale+citation_laundering+false_consensus,-,generated-lore positive with extra risks
cal_023,halupedia_or_generated_lore,eha2r_064,bm25_top8,generated_lore+no_primary_source,no_primary_source+false_consensus+citation_laundering,insufficient->insufficient,stale+citation_laundering+false_consensus,generated_lore,generated-lore false negative
cal_024,halupedia_or_generated_lore,eha2r_066,hygienic_combo_top8,generated_lore+no_primary_source,no_primary_source+citation_laundering+false_consensus,insufficient->insufficient,stale+citation_laundering+false_consensus,generated_lore,generated-lore false negative
cal_025,halupedia_or_generated_lore,eha2r_062,hygienic_combo_top8,generated_lore+no_primary_source,generated_lore+no_primary_source+false_consensus+citation_laundering,insufficient->insufficient,stale+citation_laundering+false_consensus,-,generated-lore hygienic retrieval overlabeling
cal_026,insufficient_or_no_primary,eha2r_071,bm25_top8,no_primary_source,false_consensus+citation_laundering+no_primary_source,insufficient->refuted,stale+conflict+generated_lore+citation_laundering+false_consensus,-,no-primary should not become refuted conflict
cal_027,insufficient_or_no_primary,eha2r_072,primary_preserve_top8,no_primary_source,generated_lore+false_consensus+citation_laundering,insufficient->refuted,stale+conflict+generated_lore+citation_laundering+false_consensus,-,no-primary claim-verdict boundary
cal_028,insufficient_or_no_primary,eha2r_073,bm25_top8,no_primary_source,false_consensus+citation_laundering+generated_lore,insufficient->refuted,stale+conflict+generated_lore+citation_laundering+false_consensus,-,no-primary over-refutation
cal_029,insufficient_or_no_primary,eha2r_074,hygienic_combo_top8,no_primary_source,generated_lore+no_primary_source+citation_laundering+false_consensus,insufficient->refuted,stale+conflict+generated_lore+citation_laundering+false_consensus,-,hygienic no-primary overlabeling
cal_030,insufficient_or_no_primary,eha2r_070,hygienic_combo_top8,no_primary_source,generated_lore+no_primary_source+false_consensus+citation_laundering,insufficient->insufficient,stale+generated_lore+citation_laundering+false_consensus,-,correct insufficient with extra risks
cal_031,mixed_source_corruption_v2,eha2r_076,bm25_top8,partial_support,stale_evidence+conflicting_evidence+generated_lore+false_consensus,refuted->refuted,stale+conflict+generated_lore+false_consensus,partial_support,partial-support false negative
cal_032,mixed_source_corruption_v2,eha2r_076,primary_preserve_top8,partial_support,conflicting_evidence+false_consensus+citation_laundering+stale_evidence,refuted->refuted,stale+conflict+citation_laundering+false_consensus,-,partial support hidden by other risks
cal_033,mixed_source_corruption_v2,eha2r_077,bm25_top8,partial_support,stale_evidence+citation_laundering+false_consensus+conflicting_evidence,refuted->refuted,stale+conflict+citation_laundering+false_consensus,partial_support,partial-support false negative
cal_034,mixed_source_corruption_v2,eha2r_078,hygienic_combo_top8,partial_support,conflicting_evidence+citation_laundering+false_consensus,refuted->refuted,conflict+citation_laundering+false_consensus,partial_support,partial support vs conflict boundary
cal_035,mixed_source_corruption_v2,eha2r_079,bm25_top8,partial_support,citation_laundering+false_consensus,refuted->refuted,conflict+citation_laundering+false_consensus,partial_support,partial support under sparse prediction
