model,task_id,condition,prompt_condition,belief_correctness,evidence_cleanliness,uncertainty_discipline,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,verification_action_score,operational_epistemic_escape,wants_primary,wants_contradiction,wants_trace_source,action_gate_pass,missing_primary_action,missing_contradiction_action,missing_trace_source_action,actions
gpt-5.4,ert_099,generated_lore,epistemic_hygiene_instruction,1.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_123_pollutant_root"", ""rationale"": ""Multiple items visibly route back to the same wiki-style summary, so provenance collapses to one weak upstream claim.""}, {""action"": ""abstain"", ""target"": ""provided evidence environment"", ""rationale"": ""No primary contract, certification registry, filing, or direct denial is present in the provided set.""}]"
claude-opus-4-7,ert_080,clean,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_000_primary_a"", ""rationale"": ""Confirm the audit_report's raw operating records and reviewer sign-off as the primary basis for the 2024-12-12 completion date.""}, {""action"": ""compare_versions"", ""target"": ""eham_000_pollutant_root"", ""rationale"": ""Check whether the 'still pending' planning note predates and was superseded by the December audit completion.""}]"
claude-opus-4-7,ert_080,clean,standard_answer,1.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_000_repost_00"", ""rationale"": ""Both secondary 'still pending' items trace back to eham_000_pollutant_root, an outdated November planning note, indicating a single stale upstream rather than independent corroboration.""}, {""action"": ""compare_versions"", ""target"": ""eham_000_pollutant_root"", ""rationale"": ""Compare the November planning note against the January audit record and regulator filing to confirm the pending status was superseded by the December 12 completion.""}]"
claude-opus-4-7,ert_081,clean,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_001_repost_00"", ""rationale"": ""Secondary coverage items eham_001_repost_00 and eham_001_repost_01 both trace back to eham_001_pollutant_root, an outdated planning note, indicating a single upstream source rather than independent confirmation.""}, {""action"": ""compare_versions"", ""target"": ""eham_001_primary_a"", ""rationale"": ""Confirm the January 2025 audit report and its regulator filing corroboration reflect the most recent status, superseding the November planning note.""}]"
claude-opus-4-7,ert_081,clean,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_001_primary_b"", ""rationale"": ""Verify whether the regulator filing is genuinely independent of eham_001_primary_a or merely repeats it, since they share identical wording.""}, {""action"": ""compare_versions"", ""target"": ""eham_001_pollutant_root"", ""rationale"": ""The 'still pending' claim is from November 2024, predating the December 12 completion date, so check if it was superseded.""}]"
claude-opus-4-7,ert_082,clean,standard_answer,1.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_002_repost_00"", ""rationale"": ""Both secondary 'pending' items cite eham_002_pollutant_root, indicating a single upstream source rather than independent corroboration.""}, {""action"": ""compare_versions"", ""target"": ""eham_002_pollutant_root"", ""rationale"": ""eham_002_pollutant_root predates the audit completion date (2024-12-12), so its 'pending' claim is stale relative to the primary audit record.""}]"
claude-opus-4-7,ert_083,clean,standard_answer,1.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_003_repost_00"", ""rationale"": ""Secondary coverage cites eham_003_pollutant_root, an outdated planning note; tracing confirms the 'pending' claim derives from a single stale upstream source.""}, {""action"": ""compare_versions"", ""target"": ""eham_003_pollutant_root"", ""rationale"": ""Compare the November 2024 planning note against the January 2025 signed audit record to confirm the status changed before the renewal meeting.""}]"
claude-opus-4-7,ert_082,clean,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_002_primary_b"", ""rationale"": ""Confirm whether the regulator filing is genuinely independent of eham_002_primary_a or merely restates it, since the bodies are identical.""}, {""action"": ""search_contradiction"", ""target"": ""eham_002_pollutant_root"", ""rationale"": ""The pending claim originates in a pre-audit November 2024 planning note that predates the December 12 completion date, so verify no later contradiction exists.""}]"
claude-opus-4-7,ert_083,clean,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_003_primary_b"", ""rationale"": ""eham_003_primary_b cites eham_003_primary_a, so confirm whether it is independent corroboration or pseudo-consensus repeating the same upstream record.""}, {""action"": ""search_contradiction"", ""target"": ""eham_003_pollutant_root"", ""rationale"": ""Check whether the 'still pending' claim has any primary backing beyond stale planning notes copied across eham_003_repost_00 and eham_003_repost_01.""}]"
claude-opus-4-7,ert_084,conflicting_evidence,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_048_pollutant_root"", ""rationale"": ""Doc_003 and eham_048_repost_01 both cite eham_048_pollutant_root, indicating a single upstream source rather than independent corroboration.""}, {""action"": ""compare_versions"", ""target"": ""eham_048_primary_a"", ""rationale"": ""Confirm the certification record's lapse date against the independent version history in eham_048_primary_b.""}]"
claude-opus-4-7,ert_084,conflicting_evidence,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_048_primary_a"", ""rationale"": ""Confirm the certification record's reviewer sign-off and raw logs as primary evidence of lapse on 2024-12-31.""}, {""action"": ""search_contradiction"", ""target"": ""eham_048_pollutant_root"", ""rationale"": ""The 'valid through 2025' claim relies on a 2024-11 summary citing secondary sources; check for any primary renewal filing that would override the lapse record.""}]"
claude-opus-4-7,ert_085,conflicting_evidence,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_049_repost_00"", ""rationale"": ""Secondary coverage cites eham_049_pollutant_root; tracing confirms a single upstream rather than independent confirmation.""}, {""action"": ""compare_versions"", ""target"": ""eham_049_primary_a"", ""rationale"": ""Compare the certification record with later independent corroboration (eham_049_primary_b) to confirm lapse date and renewal status.""}]"
claude-opus-4-7,ert_085,conflicting_evidence,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_049_primary_a"", ""rationale"": ""Confirm the certification record's primary status and reviewer sign-off as the basis for the lapse finding.""}, {""action"": ""compare_versions"", ""target"": ""eham_049_primary_b"", ""rationale"": ""Cross-check the version history against eham_049_primary_a to confirm independent corroboration of the 2024-12-31 lapse.""}]"
claude-opus-4-7,ert_086,conflicting_evidence,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_050_repost_00"", ""rationale"": ""Secondary items copy eham_050_pollutant_root's wording; tracing confirms a single upstream source rather than independent corroboration.""}, {""action"": ""compare_versions"", ""target"": ""eham_050_primary_a"", ""rationale"": ""Cross-check the certification record against eham_050_primary_b's independent corroboration to confirm the lapse date.""}]"
claude-opus-4-7,ert_086,conflicting_evidence,epistemic_hygiene_instruction,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_050_primary_a"", ""rationale"": ""Confirm the signed certification record and reviewer sign-off as primary evidence of lapse on 2024-12-31.""}, {""action"": ""compare_versions"", ""target"": ""eham_050_pollutant_root"", ""rationale"": ""Check whether the authoritative-looking summary has primary backing or only secondary citations repeated by eham_050_repost_00 and eham_050_repost_01.""}]"
claude-opus-4-7,ert_087,conflicting_evidence,standard_answer,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"[{""action"": ""trace_source"", ""target"": ""eham_051_repost_00"", ""rationale"": ""Secondary items eham_051_repost_00 and eham_051_repost_01 both cite eham_051_pollutant_root, indicating a single upstream source rather than independent corroboration.""}, {""action"": ""compare_versions"", ""target"": ""eham_051_primary_a"", ""rationale"": ""Confirm the certification record against the independent corroboration in eham_051_primary_b to verify the 2024-12-31 lapse.""}]"
