row_id,task_id,base_task_id,model,view,condition,family,gold_verdict,predicted_verdict,selected_evidence,supporting_evidence,rejected_evidence,actions,automatic_scores,human_belief_correctness_agrees,human_evidence_precision_agrees,human_clean_support_recall_agrees,human_polluted_support_rate_agrees,human_uncertainty_discipline_agrees,human_required_action_recall_agrees,human_operational_escape_agrees,disagreement_reason,scorer_fix_needed
scorer_audit_011,uncued_040_hidden,uncued_040,deepseek-v4-pro,neutral_metadata_hidden,buried_primary,packet_judgment,supported,supported,"uncued_040_d04,uncued_040_d03",uncued_040_d04,"uncued_040_d03,uncued_040_d02,uncued_040_d01","[{""action"": ""open"", ""target"": ""uncued_040_d04"", ""rationale"": ""Verify the closeout ledger entry stating 118 completed refurbishments.""}, {""action"": ""compare_versions"", ""target"": ""uncued_040_d03, uncued_040_d04"", ""rationale"": ""Assess discrepancy between the estimate of 139 and the final ledger of 118.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_012,uncued_045_visible,uncued_045,deepseek-v4-pro,neutral_metadata_visible,buried_primary,evidence_selection,supported,insufficient,"uncued_045_d02,uncued_045_d01",uncued_045_d02,"uncued_045_d01,uncued_045_d04,uncued_045_d03","[{""action"": ""search_primary"", ""target"": ""Novalis Robotics official inspection logs for June 2025"", ""rationale"": ""No document mentions Novalis Robotics; searching primary sources from the company could confirm their involvement and the number of accepted inspections.""}, {""action"": ""trace_source"", ""target"": ""uncued_045_d02 closeout ledger"", ""rationale"": ""Tracing the source of the ledger might reveal the authoring entity and whether it pertains to Novalis Robotics.""}]","{""belief_correctness"": ""0.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""0.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_013,uncued_004_hidden,uncued_004,deepseek-v4-pro,neutral_metadata_hidden,clean,packet_judgment,supported,supported,uncued_004_d02,uncued_004_d02,"uncued_004_d04,uncued_004_d01,uncued_004_d03","[{""action"": ""open"", ""target"": ""uncued_004_d02"", ""rationale"": ""Directly check the document that states the exact number of refurbishments.""}, {""action"": ""search_contradiction"", ""target"": ""all documents"", ""rationale"": ""Verify that no other document contradicts the 118 count.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_014,uncued_009_visible,uncued_009,deepseek-v4-pro,neutral_metadata_visible,clean,evidence_selection,refuted,refuted,uncued_009_d03,uncued_009_d03,,"[{""action"": ""open"", ""target"": ""uncued_009_d03"", ""rationale"": ""Check the recorded count for Vega rail inspections in June 2025.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_015,uncued_014_hidden,uncued_014,deepseek-v4-pro,neutral_metadata_hidden,conflicting_evidence,packet_judgment,refuted,refuted,"uncued_014_d02,uncued_014_d03,uncued_014_d04",uncued_014_d03,uncued_014_d02,"[{""action"": ""trace_source"", ""target"": ""uncued_014_d04"", ""rationale"": ""Trace the citation in uncued_014_d02 to verify the claimed count. The cited routing note contains no total, so the 124 figure is unsupported.""}, {""action"": ""compare_versions"", ""target"": ""uncued_014_d02 and uncued_014_d03"", ""rationale"": ""Compare the digest's claim of 124 with the month-close ledger's 97. The ledger is a primary record and contradicts the digest, indicating the claim is incorrect.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_016,uncued_021_visible,uncued_021,deepseek-v4-pro,neutral_metadata_visible,conflicting_evidence,evidence_selection,refuted,insufficient,"uncued_021_d04,uncued_021_d01",uncued_021_d01,"uncued_021_d04,uncued_021_d02,uncued_021_d03","[{""action"": ""search_contradiction"", ""target"": ""Vega rail inspections June 2025 count"", ""rationale"": ""Conflicting counts of 42 and 57 exist for the same period. Searching for additional records could reveal which figure is correct or reveal an error.""}, {""action"": ""compare_versions"", ""target"": ""uncued_021_d04 and uncued_021_d01"", ""rationale"": ""Direct comparison of the month-close ledger (42) and operations digest (57) might uncover discrepancies in methodology, timing, or data sources explaining the variance.""}]","{""belief_correctness"": ""0.0"", ""clean_support_recall"": ""0.0"", ""evidence_precision"": ""0.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""1.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""0.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_017,uncued_026_hidden,uncued_026,deepseek-v4-pro,neutral_metadata_hidden,false_consensus,packet_judgment,refuted,refuted,"uncued_026_d02,uncued_026_d04,uncued_026_d01",uncued_026_d02,"uncued_026_d04,uncued_026_d01","[{""action"": ""compare_versions"", ""target"": ""uncued_026_d02 and uncued_026_d04"", ""rationale"": ""Compare closing ledger 97 vs weekly digest 124 to identify direct contradiction.""}, {""action"": ""trace_source"", ""target"": ""uncued_026_d04 and uncued_026_d01 citations"", ""rationale"": ""Trace circular citations to assess if the 124 figure traces back to a reliable primary source.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_018,uncued_035_visible,uncued_035,deepseek-v4-pro,neutral_metadata_visible,false_consensus,active_verification,refuted,insufficient,"uncued_035_d03,uncued_035_d02,uncued_035_d04","uncued_035_d03,uncued_035_d04","uncued_035_d02,uncued_035_d01","[{""action"": ""trace_source"", ""target"": ""uncued_035_d03"", ""rationale"": ""To verify the origin of the 101 count; it cites uncued_035_d04, which in turn cites uncued_035_d03, indicating circular referencing and lack of independent source.""}, {""action"": ""compare_versions"", ""target"": ""uncued_035_d02, uncued_035_d03, uncued_035_d04"", ""rationale"": ""To assess the discrepancy between the 101 and 76 counts and determine which is more reliable.""}]","{""belief_correctness"": ""0.0"", ""clean_support_recall"": ""0.0"", ""evidence_precision"": ""0.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""1.0"", ""required_action_recall"": ""0.5"", ""uncertainty_discipline"": ""0.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_019,uncued_055_hidden,uncued_055,deepseek-v4-pro,neutral_metadata_hidden,generated_lore,evidence_selection,insufficient,insufficient,"uncued_055_d02,uncued_055_d03,uncued_055_d04","uncued_055_d02,uncued_055_d01","uncued_055_d03,uncued_055_d04","[{""action"": ""trace_source"", ""target"": ""uncued_055_d02"", ""rationale"": ""Trace the source of the community roundup to assess its reliability and check if it cites any operational records.""}, {""action"": ""search_primary"", ""target"": ""AuroraDock field upgrade toolkit launch records"", ""rationale"": ""Search for primary operational records (e.g., deployment logs, project reports) that would confirm or deny the toolkit launch.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": """", ""evidence_precision"": ""0.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""1.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_020,uncued_059_visible,uncued_059,deepseek-v4-pro,neutral_metadata_visible,generated_lore,active_verification,insufficient,insufficient,"uncued_059_d02,uncued_059_d04,uncued_059_d01","uncued_059_d02,uncued_059_d04","uncued_059_d01,uncued_059_d03","[{""action"": ""trace_source"", ""target"": ""uncued_059_d02"", ""rationale"": ""Trace the community roundup source to assess its credibility and see if it provides operational evidence for the SolaceGrid launch.""}, {""action"": ""search_primary"", ""target"": ""SolaceGrid repair exchange launch August 2025"", ""rationale"": ""Search for an official Novalis Robotics announcement or primary operational record confirming the launch.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": """", ""evidence_precision"": ""0.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""1.0"", ""required_action_recall"": ""1.0"", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_021,uncued_040_hidden,uncued_040,gemini-3.1-pro-preview,neutral_metadata_hidden,buried_primary,packet_judgment,supported,supported,"uncued_040_d04,uncued_040_d03,uncued_040_d01",uncued_040_d04,"uncued_040_d03,uncued_040_d02,uncued_040_d01","[{""action"": ""search_contradiction"", ""target"": ""uncued_040_d04"", ""rationale"": ""Search for any other final ledgers that might contradict the 118 count in uncued_040_d04.""}, {""action"": ""trace_source"", ""target"": ""uncued_040_d04"", ""rationale"": ""Verify the authenticity of the closeout ledger yielding the 118 value.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_022,uncued_045_visible,uncued_045,gemini-3.1-pro-preview,neutral_metadata_visible,buried_primary,evidence_selection,supported,supported,"uncued_045_d02,uncued_045_d01",uncued_045_d02,"uncued_045_d01,uncued_045_d04,uncued_045_d03","[{""action"": ""search_contradiction"", ""target"": ""Novalis Robotics Vega rail inspections June 2025"", ""rationale"": ""To ensure no other final closeout documents contradict the 42 accepted inspections recorded in uncued_045_d02.""}, {""action"": ""trace_source"", ""target"": ""uncued_045_d02"", ""rationale"": ""To verify the authenticity of the closeout ledger referenced in uncued_045_d02 and confirm the logged count.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_023,uncued_011_hidden,uncued_011,gemini-3.1-pro-preview,neutral_metadata_hidden,clean,active_verification,refuted,refuted,uncued_011_d03,uncued_011_d03,"uncued_011_d04,uncued_011_d02,uncued_011_d01","[{""action"": ""search_primary"", ""target"": ""Novalis Robotics official monthly ledger August 2025"", ""rationale"": ""Verify the ledger count of 76 approved checks against official Novalis Robotics records to fully confirm the refutation.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": ""1.0"", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_024,uncued_006_visible,uncued_006,gemini-3.1-pro-preview,neutral_metadata_visible,clean,evidence_selection,supported,supported,"uncued_006_d04,uncued_006_d03,uncued_006_d01",uncued_006_d04,"uncued_006_d03,uncued_006_d01,uncued_006_d02","[{""action"": ""search_contradiction"", ""target"": ""Novalis Robotics Atlas valve checks 184 March 2025"", ""rationale"": ""Verify if there are any contradictory counts for the Atlas valve checks and confirm the specific association with Novalis Robotics.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_025,uncued_015_hidden,uncued_015,gemini-3.1-pro-preview,neutral_metadata_hidden,conflicting_evidence,packet_judgment,refuted,refuted,"uncued_015_d01,uncued_015_d04,uncued_015_d02",uncued_015_d01,uncued_015_d04,"[{""action"": ""search_primary"", ""target"": ""Vega rail inspections June 2025 full ledger"", ""rationale"": ""To confirm if the ledger showing 42 is the final and definitive count.""}, {""action"": ""trace_source"", ""target"": ""uncued_015_d04"", ""rationale"": ""To see why the digest reports 57 and cites a document with no count.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_026,uncued_016_visible,uncued_016,gemini-3.1-pro-preview,neutral_metadata_visible,conflicting_evidence,packet_judgment,refuted,refuted,"uncued_016_d03,uncued_016_d04,uncued_016_d02",uncued_016_d03,uncued_016_d04,"[{""action"": ""trace_source"", ""target"": ""uncued_016_d04"", ""rationale"": ""Verify the origin of the 139 count in the operations digest, as its cited source (uncued_016_d02) does not contain a final count.""}, {""action"": ""search_primary"", ""target"": ""Nova pump refurbishments Harbor Annex July 2025"", ""rationale"": ""Find definitive primary records or other month-close ledgers to confirm whether the true count is 118 or 139.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_027,uncued_035_hidden,uncued_035,gemini-3.1-pro-preview,neutral_metadata_hidden,false_consensus,active_verification,refuted,refuted,"uncued_035_d04,uncued_035_d03,uncued_035_d01",uncued_035_d04,"uncued_035_d03,uncued_035_d01","[{""action"": ""trace_source"", ""target"": ""uncued_035_d03"", ""rationale"": ""Trace the circular citations between the partner summary and weekly digest to find the original origin of the erroneous 101 figure.""}, {""action"": ""search_primary"", ""target"": ""Novalis Robotics Kestrel firmware August 2025 checks"", ""rationale"": ""Search for additional primary system logs to definitively confirm the 76 count against the 101 claim.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": ""0.5"", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_028,uncued_033_visible,uncued_033,gemini-3.1-pro-preview,neutral_metadata_visible,false_consensus,evidence_selection,refuted,refuted,"uncued_033_d02,uncued_033_d04,uncued_033_d01",uncued_033_d01,"uncued_033_d02,uncued_033_d04","[{""action"": ""trace_source"", ""target"": ""uncued_033_d01"", ""rationale"": ""To verify the authenticity and full context of the closing ledger indicating 42 inspections.""}, {""action"": ""search_contradiction"", ""target"": ""Vega rail inspections June 2025 final count"", ""rationale"": ""To find independent primary data resolving the conflict between the ledger's 42 and the summaries' 57.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_029,uncued_058_hidden,uncued_058,gemini-3.1-pro-preview,neutral_metadata_hidden,generated_lore,active_verification,insufficient,insufficient,"uncued_058_d04,uncued_058_d03,uncued_058_d01",,"uncued_058_d04,uncued_058_d02","[{""action"": ""search_primary"", ""target"": ""Novalis Robotics July 2025 operational records"", ""rationale"": ""Primary operational records are needed to verify the alleged launch of the LumenBridge partner desk.""}, {""action"": ""trace_source"", ""target"": ""uncued_058_d04"", ""rationale"": ""Investigate the origin of the community roundup claim to see if it is based on factual internal data.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": """", ""evidence_precision"": """", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": ""1.0"", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_030,uncued_051_visible,uncued_051,gemini-3.1-pro-preview,neutral_metadata_visible,generated_lore,packet_judgment,insufficient,insufficient,"uncued_051_d01,uncued_051_d02,uncued_051_d04",,"uncued_051_d01,uncued_051_d03","[{""action"": ""search_primary"", ""target"": ""Novalis Robotics Cobalt Loop launch operational records"", ""rationale"": ""Primary operational records or official announcements are needed to verify the community roundup claim.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": """", ""evidence_precision"": """", ""operational_epistemic_escape"": ""1.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
scorer_audit_031,uncued_045_hidden,uncued_045,gpt-5.5,neutral_metadata_hidden,buried_primary,evidence_selection,supported,supported,"uncued_045_d04,uncued_045_d03,uncued_045_d01",uncued_045_d04,"uncued_045_d03,uncued_045_d01,uncued_045_d02","[{""action"": ""open"", ""target"": ""uncued_045_d04"", ""rationale"": ""Use the closeout ledger because it states the final accepted-inspection count.""}, {""action"": ""compare_versions"", ""target"": ""uncued_045_d03 vs uncued_045_d04"", ""rationale"": ""Check the conflicting 57 figure against the final ledger and its cited planning memo.""}]","{""belief_correctness"": ""1.0"", ""clean_support_recall"": ""1.0"", ""evidence_precision"": ""1.0"", ""operational_epistemic_escape"": ""0.0"", ""polluted_support_rate"": ""0.0"", ""required_action_recall"": """", ""uncertainty_discipline"": ""1.0""}",yes,yes,yes,yes,yes,yes,yes,,no
