model,prompt_condition,condition,n,epistemic_escape,belief_correctness,evidence_cleanliness,uncertainty_discipline,primary_seeking_rate,duplicate_avoidance_rate,generated_lore_avoidance_rate,contradiction_seeking_rate,evidence_value_score,primary_action_rate,contradiction_action_rate,generated_lore_trace_rate,parse_success,cost_usd
openai/gpt-5-mini,standard_answer,conflicting_evidence,20,0.5,0.55,0.85,0.55,0.55,1.0,1.0,0.55,0.275,0.0,0.55,0.0,0.55,0.0031439375
openai/gpt-5-mini,standard_answer,false_consensus,20,0.45,0.55,1.0,0.55,0.55,0.85,1.0,0.55,0.2,0.2,0.55,0.0,0.55,0.0031528
openai/gpt-5-mini,standard_answer,generated_lore,20,0.35,1.0,0.85,1.0,0.0,0.85,0.85,0.0,0.0,0.15,0.0,0.15,0.15,0.003293725
openai/gpt-5.4-mini,epistemic_hygiene_instruction,buried_primary,20,0.55,0.8,0.3,0.8,0.8,0.7,1.0,0.8,0.35,0.3,0.85,0.0,1.0,0.003746175
openai/gpt-5.4-mini,epistemic_hygiene_instruction,clean,20,0.7,1.0,0.9,1.0,1.0,0.85,1.0,0.0,0.4333333333333333,0.3,0.9,0.0,1.0,0.0035476874999999996
openai/gpt-5.4-mini,epistemic_hygiene_instruction,conflicting_evidence,20,0.7,1.0,0.7,1.0,1.0,0.85,1.0,1.0,0.4,0.1,1.0,0.0,1.0,0.0036945375
openai/gpt-5.4-mini,epistemic_hygiene_instruction,false_consensus,20,0.6,1.0,0.3,1.0,1.0,0.8,1.0,1.0,0.4,0.1,1.0,0.0,1.0,0.0037752750000000002
openai/gpt-5.4-mini,epistemic_hygiene_instruction,generated_lore,20,0.3,1.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.55,0.7,1.0,0.0038732999999999997
openai/gpt-5.4-mini,standard_answer,buried_primary,20,0.45,0.8,0.2,0.8,0.8,0.75,1.0,0.8,0.375,0.35,0.9,0.0,1.0,0.0037573500000000004
openai/gpt-5.4-mini,standard_answer,clean,20,0.85,1.0,1.0,1.0,1.0,0.95,1.0,0.0,0.475,0.25,0.95,0.0,1.0,0.0032105625
openai/gpt-5.4-mini,standard_answer,conflicting_evidence,20,0.55,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0035650875
openai/gpt-5.4-mini,standard_answer,false_consensus,20,0.45,1.0,0.25,1.0,1.0,0.8,1.0,1.0,0.4,0.0,1.0,0.0,1.0,0.0035673
openai/gpt-5.4-mini,standard_answer,generated_lore,20,0.15,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.85,1.0,0.003639
openai/gpt-5.5,epistemic_hygiene_instruction,buried_primary,2,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.3333333333333333,1.0,0.5,0.0,1.0,0.025915
openai/gpt-5.5,epistemic_hygiene_instruction,clean,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.024984999999999997
openai/gpt-5.5,epistemic_hygiene_instruction,conflicting_evidence,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.031288333333333335
openai/gpt-5.5,epistemic_hygiene_instruction,false_consensus,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0285525
openai/gpt-5.5,epistemic_hygiene_instruction,generated_lore,2,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.028622500000000002
openai/gpt-5.5,standard_answer,buried_primary,2,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.25,1.0,0.0,0.0,1.0,0.027485000000000002
openai/gpt-5.5,standard_answer,clean,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3333333333333333,0.0,0.0,1.0,0.026575
openai/gpt-5.5,standard_answer,conflicting_evidence,3,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.0,1.0,0.031158333333333333
openai/gpt-5.5,standard_answer,false_consensus,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.0270925
openai/gpt-5.5,standard_answer,generated_lore,2,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.024447499999999997
