task_id,audit_doc_id,model_visible_doc_id,role
ert_004,eham_004_context_07,doc_004,background
ert_004,eham_004_context_08,doc_010,background
ert_004,eham_004_context_09,doc_005,background
ert_004,eham_004_context_10,doc_002,background
ert_005,eham_005_primary_a,doc_006,primary
ert_005,eham_005_primary_b,doc_008,primary
ert_005,eham_005_pollutant_root,doc_001,contaminant
ert_005,eham_005_repost_00,doc_002,contaminant
ert_005,eham_005_repost_01,doc_005,contaminant
ert_005,eham_005_context_07,doc_004,background
ert_005,eham_005_context_08,doc_007,background
ert_005,eham_005_context_09,doc_010,background
ert_005,eham_005_context_10,doc_003,background
ert_005,eham_005_context_11,doc_009,background
ert_006,eham_006_primary_a,doc_002,primary
ert_006,eham_006_primary_b,doc_007,primary
ert_006,eham_006_pollutant_root,doc_001,contaminant
ert_006,eham_006_repost_00,doc_010,contaminant
ert_006,eham_006_repost_01,doc_009,contaminant
ert_006,eham_006_context_08,doc_004,background
ert_006,eham_006_context_09,doc_006,background
ert_006,eham_006_context_10,doc_005,background
ert_006,eham_006_context_11,doc_008,background
ert_006,eham_006_context_12,doc_003,background
ert_007,eham_007_primary_a,doc_005,primary
ert_007,eham_007_primary_b,doc_001,primary
ert_007,eham_007_pollutant_root,doc_010,contaminant
ert_007,eham_007_repost_00,doc_006,contaminant
ert_007,eham_007_repost_01,doc_009,contaminant
ert_007,eham_007_context_06,doc_008,background
ert_007,eham_007_context_07,doc_002,background
ert_007,eham_007_context_08,doc_004,background
ert_007,eham_007_context_09,doc_007,background
ert_007,eham_007_context_10,doc_003,background
ert_008,eham_048_pollutant_root,doc_004,stale
ert_008,eham_048_repost_00,doc_006,stale
ert_008,eham_048_repost_01,doc_007,stale
ert_008,eham_048_primary_a,doc_001,primary
ert_008,eham_048_primary_b,doc_008,primary
ert_008,eham_048_context_08,doc_002,background
ert_008,eham_048_context_09,doc_009,background
ert_008,eham_048_context_10,doc_005,background
ert_008,eham_048_context_11,doc_003,background
ert_009,eham_049_pollutant_root,doc_005,stale
ert_009,eham_049_repost_00,doc_006,stale
ert_009,eham_049_repost_01,doc_001,stale
ert_009,eham_049_primary_a,doc_007,primary
ert_009,eham_049_primary_b,doc_003,primary
ert_009,eham_049_context_08,doc_002,background
ert_009,eham_049_context_09,doc_008,background
ert_009,eham_049_context_10,doc_009,background
ert_009,eham_049_context_11,doc_004,background
ert_010,eham_050_pollutant_root,doc_005,stale
ert_010,eham_050_repost_00,doc_004,stale
ert_010,eham_050_repost_01,doc_007,stale
ert_010,eham_050_primary_a,doc_008,primary
ert_010,eham_050_primary_b,doc_006,primary
ert_010,eham_050_context_09,doc_003,background
ert_010,eham_050_context_10,doc_009,background
ert_010,eham_050_context_11,doc_001,background
ert_010,eham_050_context_12,doc_002,background
ert_011,eham_051_pollutant_root,doc_007,stale
ert_011,eham_051_repost_00,doc_005,stale
ert_011,eham_051_repost_01,doc_008,stale
ert_011,eham_051_primary_a,doc_003,primary
ert_011,eham_051_primary_b,doc_006,primary
ert_011,eham_051_context_07,doc_002,background
ert_011,eham_051_context_08,doc_004,background
ert_011,eham_051_context_09,doc_001,background
ert_011,eham_051_context_10,doc_009,background
ert_012,eham_052_pollutant_root,doc_004,stale
ert_012,eham_052_repost_00,doc_006,stale
ert_012,eham_052_repost_01,doc_008,stale
ert_012,eham_052_primary_a,doc_003,primary
ert_012,eham_052_primary_b,doc_001,primary
ert_012,eham_052_context_07,doc_002,background
ert_012,eham_052_context_08,doc_005,background
ert_012,eham_052_context_09,doc_007,background
ert_012,eham_052_context_10,doc_009,background
ert_013,eham_053_pollutant_root,doc_004,stale
ert_013,eham_053_repost_00,doc_007,stale
ert_013,eham_053_repost_01,doc_008,stale
ert_013,eham_053_primary_a,doc_002,primary
ert_013,eham_053_primary_b,doc_006,primary
ert_013,eham_053_context_08,doc_005,background
ert_013,eham_053_context_09,doc_001,background
ert_013,eham_053_context_10,doc_003,background
ert_013,eham_053_context_11,doc_009,background
ert_014,eham_054_pollutant_root,doc_002,stale
ert_014,eham_054_repost_00,doc_006,stale
ert_014,eham_054_repost_01,doc_007,stale
ert_014,eham_054_primary_a,doc_005,primary
ert_014,eham_054_primary_b,doc_008,primary
ert_014,eham_054_context_07,doc_001,background
ert_014,eham_054_context_08,doc_003,background
ert_014,eham_054_context_09,doc_004,background
ert_014,eham_054_context_10,doc_009,background
ert_015,eham_055_pollutant_root,doc_004,stale
ert_015,eham_055_repost_00,doc_003,stale
ert_015,eham_055_repost_01,doc_009,stale
ert_015,eham_055_primary_a,doc_002,primary
ert_015,eham_055_primary_b,doc_008,primary
ert_015,eham_055_context_07,doc_006,background
ert_015,eham_055_context_08,doc_007,background
ert_015,eham_055_context_09,doc_005,background
ert_015,eham_055_context_10,doc_001,background
ert_016,eham_072_pollutant_root,doc_002,contaminant
ert_016,eham_072_repost_00,doc_004,contaminant
ert_016,eham_072_repost_01,doc_008,contaminant
ert_016,eham_072_repost_02,doc_003,contaminant
ert_016,eham_072_repost_03,doc_006,contaminant
ert_016,eham_072_repost_04,doc_005,contaminant
ert_016,eham_072_repost_05,doc_010,contaminant
ert_016,eham_072_primary_a,doc_009,primary
ert_016,eham_072_primary_b,doc_007,primary
ert_016,eham_072_context_13,doc_001,background
ert_017,eham_073_pollutant_root,doc_005,contaminant
ert_017,eham_073_repost_00,doc_009,contaminant
ert_017,eham_073_repost_01,doc_002,contaminant
ert_017,eham_073_repost_02,doc_008,contaminant
ert_017,eham_073_repost_03,doc_007,contaminant
ert_017,eham_073_repost_04,doc_006,contaminant
ert_017,eham_073_repost_05,doc_004,contaminant
ert_017,eham_073_primary_a,doc_001,primary
ert_017,eham_073_primary_b,doc_003,primary
ert_018,eham_074_pollutant_root,doc_003,contaminant
ert_018,eham_074_repost_00,doc_002,contaminant
ert_018,eham_074_repost_01,doc_009,contaminant
ert_018,eham_074_repost_02,doc_006,contaminant
ert_018,eham_074_repost_03,doc_008,contaminant
ert_018,eham_074_repost_04,doc_001,contaminant
ert_018,eham_074_repost_05,doc_005,contaminant
ert_018,eham_074_primary_a,doc_007,primary
ert_018,eham_074_primary_b,doc_004,primary
ert_019,eham_075_pollutant_root,doc_003,contaminant
ert_019,eham_075_repost_00,doc_009,contaminant
ert_019,eham_075_repost_01,doc_007,contaminant
ert_019,eham_075_repost_02,doc_002,contaminant
ert_019,eham_075_repost_03,doc_006,contaminant
ert_019,eham_075_repost_04,doc_004,contaminant
ert_019,eham_075_repost_05,doc_010,contaminant
ert_019,eham_075_primary_a,doc_005,primary
ert_019,eham_075_primary_b,doc_008,primary
ert_019,eham_075_context_13,doc_001,background
ert_020,eham_076_pollutant_root,doc_002,contaminant
ert_020,eham_076_repost_00,doc_006,contaminant
ert_020,eham_076_repost_01,doc_003,contaminant
ert_020,eham_076_repost_02,doc_004,contaminant
ert_020,eham_076_repost_03,doc_005,contaminant
ert_020,eham_076_repost_04,doc_007,contaminant
ert_020,eham_076_repost_05,doc_008,contaminant
ert_020,eham_076_primary_a,doc_001,primary
ert_020,eham_076_primary_b,doc_009,primary
ert_021,eham_077_pollutant_root,doc_001,contaminant
ert_021,eham_077_repost_00,doc_009,contaminant
ert_021,eham_077_repost_01,doc_005,contaminant
ert_021,eham_077_repost_02,doc_008,contaminant
ert_021,eham_077_repost_03,doc_003,contaminant
ert_021,eham_077_repost_04,doc_002,contaminant
ert_021,eham_077_repost_05,doc_004,contaminant
ert_021,eham_077_primary_a,doc_006,primary
ert_021,eham_077_primary_b,doc_007,primary
ert_022,eham_078_pollutant_root,doc_004,contaminant
ert_022,eham_078_repost_00,doc_003,contaminant
ert_022,eham_078_repost_01,doc_010,contaminant
ert_022,eham_078_repost_02,doc_009,contaminant
ert_022,eham_078_repost_03,doc_008,contaminant
ert_022,eham_078_repost_04,doc_001,contaminant
ert_022,eham_078_repost_05,doc_002,contaminant
ert_022,eham_078_primary_a,doc_007,primary
ert_022,eham_078_primary_b,doc_005,primary
ert_022,eham_078_context_13,doc_006,background
ert_023,eham_079_pollutant_root,doc_002,contaminant
ert_023,eham_079_repost_00,doc_005,contaminant
ert_023,eham_079_repost_01,doc_007,contaminant
ert_023,eham_079_repost_02,doc_004,contaminant
ert_023,eham_079_repost_03,doc_003,contaminant
ert_023,eham_079_repost_04,doc_008,contaminant
ert_023,eham_079_repost_05,doc_006,contaminant
ert_023,eham_079_primary_a,doc_001,primary
ert_023,eham_079_primary_b,doc_009,primary
ert_024,eham_096_pollutant_root,doc_005,contaminant
ert_024,eham_096_repost_00,doc_006,contaminant
ert_024,eham_096_repost_01,doc_004,contaminant
ert_024,eham_096_repost_02,doc_010,contaminant
ert_024,eham_096_repost_03,doc_009,contaminant
ert_024,eham_096_repost_04,doc_007,contaminant
ert_024,eham_096_repost_05,doc_003,contaminant
ert_024,eham_096_repost_06,doc_008,contaminant
ert_024,eham_096_primary_a,doc_001,primary
ert_024,eham_096_primary_b,doc_002,primary
ert_024,eham_096_context_13,doc_011,background
ert_025,eham_097_pollutant_root,doc_009,contaminant
ert_025,eham_097_repost_00,doc_001,contaminant
ert_025,eham_097_repost_01,doc_002,contaminant
ert_025,eham_097_repost_02,doc_006,contaminant
ert_025,eham_097_repost_03,doc_003,contaminant
ert_025,eham_097_repost_04,doc_007,contaminant
ert_025,eham_097_repost_05,doc_005,contaminant
ert_025,eham_097_repost_06,doc_004,contaminant
ert_025,eham_097_primary_a,doc_008,primary
ert_025,eham_097_primary_b,doc_010,primary
ert_026,eham_098_pollutant_root,doc_003,contaminant
ert_026,eham_098_repost_00,doc_005,contaminant
ert_026,eham_098_repost_01,doc_001,contaminant
ert_026,eham_098_repost_02,doc_007,contaminant
ert_026,eham_098_repost_03,doc_006,contaminant
ert_026,eham_098_repost_04,doc_002,contaminant
ert_026,eham_098_repost_05,doc_004,contaminant
ert_026,eham_098_repost_06,doc_010,contaminant
ert_026,eham_098_primary_a,doc_009,primary
ert_026,eham_098_primary_b,doc_008,primary
ert_027,eham_099_pollutant_root,doc_010,contaminant
ert_027,eham_099_repost_00,doc_008,contaminant
ert_027,eham_099_repost_01,doc_002,contaminant
ert_027,eham_099_repost_02,doc_011,contaminant
ert_027,eham_099_repost_03,doc_004,contaminant
ert_027,eham_099_repost_04,doc_007,contaminant
ert_027,eham_099_repost_05,doc_003,contaminant
ert_027,eham_099_repost_06,doc_009,contaminant
ert_027,eham_099_primary_a,doc_006,primary
ert_027,eham_099_primary_b,doc_005,primary
ert_027,eham_099_context_13,doc_001,background
ert_028,eham_100_pollutant_root,doc_005,contaminant
ert_028,eham_100_repost_00,doc_009,contaminant
ert_028,eham_100_repost_01,doc_004,contaminant
ert_028,eham_100_repost_02,doc_006,contaminant
ert_028,eham_100_repost_03,doc_002,contaminant
ert_028,eham_100_repost_04,doc_008,contaminant
ert_028,eham_100_repost_05,doc_003,contaminant
ert_028,eham_100_repost_06,doc_001,contaminant
ert_028,eham_100_primary_a,doc_010,primary
ert_028,eham_100_primary_b,doc_007,primary
ert_029,eham_101_pollutant_root,doc_005,contaminant
ert_029,eham_101_repost_00,doc_004,contaminant
ert_029,eham_101_repost_01,doc_007,contaminant
ert_029,eham_101_repost_02,doc_001,contaminant
ert_029,eham_101_repost_03,doc_006,contaminant
ert_029,eham_101_repost_04,doc_003,contaminant
ert_029,eham_101_repost_05,doc_010,contaminant
ert_029,eham_101_repost_06,doc_002,contaminant
ert_029,eham_101_primary_a,doc_009,primary
ert_029,eham_101_primary_b,doc_008,primary
ert_030,eham_102_pollutant_root,doc_011,contaminant
ert_030,eham_102_repost_00,doc_007,contaminant
ert_030,eham_102_repost_01,doc_010,contaminant
ert_030,eham_102_repost_02,doc_009,contaminant
ert_030,eham_102_repost_03,doc_001,contaminant
ert_030,eham_102_repost_04,doc_004,contaminant
ert_030,eham_102_repost_05,doc_003,contaminant
ert_030,eham_102_repost_06,doc_008,contaminant
ert_030,eham_102_primary_a,doc_002,primary
ert_030,eham_102_primary_b,doc_005,primary
ert_030,eham_102_context_13,doc_006,background
ert_031,eham_103_pollutant_root,doc_010,contaminant
ert_031,eham_103_repost_00,doc_008,contaminant
ert_031,eham_103_repost_01,doc_003,contaminant
ert_031,eham_103_repost_02,doc_007,contaminant
ert_031,eham_103_repost_03,doc_005,contaminant
ert_031,eham_103_repost_04,doc_004,contaminant
ert_031,eham_103_repost_05,doc_001,contaminant
ert_031,eham_103_repost_06,doc_009,contaminant
ert_031,eham_103_primary_a,doc_002,primary
ert_031,eham_103_primary_b,doc_006,primary
ert_032,eham_120_pollutant_root,doc_008,generated_lore
ert_032,eham_120_repost_00,doc_006,generated_lore
ert_032,eham_120_repost_01,doc_005,contaminant
ert_032,eham_120_repost_02,doc_009,contaminant
ert_032,eham_120_repost_03,doc_004,contaminant
ert_032,eham_120_context_06,doc_002,background
ert_032,eham_120_context_07,doc_007,background
ert_032,eham_120_context_08,doc_010,background
ert_032,eham_120_context_09,doc_003,background
ert_032,eham_120_context_10,doc_011,background
ert_032,eham_120_context_11,doc_001,background
ert_033,eham_121_pollutant_root,doc_001,generated_lore
ert_033,eham_121_repost_00,doc_004,generated_lore
ert_033,eham_121_repost_01,doc_007,contaminant
ert_033,eham_121_repost_02,doc_006,contaminant
ert_033,eham_121_repost_03,doc_005,contaminant
ert_033,eham_121_context_06,doc_010,background
ert_033,eham_121_context_07,doc_003,background
ert_033,eham_121_context_08,doc_011,background
ert_033,eham_121_context_09,doc_008,background
ert_033,eham_121_context_10,doc_002,background
ert_033,eham_121_context_11,doc_009,background
ert_034,eham_122_pollutant_root,doc_005,generated_lore
ert_034,eham_122_repost_00,doc_007,generated_lore
ert_034,eham_122_repost_01,doc_001,contaminant
ert_034,eham_122_repost_02,doc_006,contaminant
ert_034,eham_122_repost_03,doc_008,contaminant
ert_034,eham_122_context_06,doc_004,background
ert_034,eham_122_context_07,doc_010,background
ert_034,eham_122_context_08,doc_003,background
ert_034,eham_122_context_09,doc_002,background
ert_034,eham_122_context_10,doc_011,background
ert_034,eham_122_context_11,doc_009,background
ert_035,eham_123_pollutant_root,doc_002,generated_lore
ert_035,eham_123_repost_00,doc_007,generated_lore
ert_035,eham_123_repost_01,doc_008,contaminant
ert_035,eham_123_repost_02,doc_003,contaminant
ert_035,eham_123_repost_03,doc_005,contaminant
ert_035,eham_123_context_06,doc_009,background
ert_035,eham_123_context_07,doc_010,background
ert_035,eham_123_context_08,doc_001,background
ert_035,eham_123_context_09,doc_011,background
ert_035,eham_123_context_10,doc_004,background
ert_035,eham_123_context_11,doc_006,background
ert_036,eham_124_pollutant_root,doc_007,generated_lore
ert_036,eham_124_repost_00,doc_010,generated_lore
ert_036,eham_124_repost_01,doc_002,contaminant
ert_036,eham_124_repost_02,doc_001,contaminant
ert_036,eham_124_context_04,doc_003,background
ert_036,eham_124_context_05,doc_005,background
ert_036,eham_124_context_06,doc_004,background
ert_036,eham_124_context_07,doc_006,background
ert_036,eham_124_context_08,doc_009,background
ert_036,eham_124_context_09,doc_008,background
ert_037,eham_125_pollutant_root,doc_005,generated_lore
ert_037,eham_125_repost_00,doc_007,generated_lore
ert_037,eham_125_repost_01,doc_006,contaminant
ert_037,eham_125_repost_02,doc_008,contaminant
ert_037,eham_125_repost_03,doc_009,contaminant
ert_037,eham_125_context_05,doc_003,background
ert_037,eham_125_context_06,doc_010,background
ert_037,eham_125_context_07,doc_011,background
ert_037,eham_125_context_08,doc_002,background
ert_037,eham_125_context_09,doc_004,background
ert_037,eham_125_context_10,doc_001,background
ert_038,eham_126_pollutant_root,doc_010,generated_lore
ert_038,eham_126_repost_00,doc_008,generated_lore
ert_038,eham_126_repost_01,doc_001,contaminant
ert_038,eham_126_repost_02,doc_006,contaminant
ert_038,eham_126_context_04,doc_002,background
ert_038,eham_126_context_05,doc_005,background
ert_038,eham_126_context_06,doc_009,background
ert_038,eham_126_context_07,doc_007,background
ert_038,eham_126_context_08,doc_003,background
ert_038,eham_126_context_09,doc_004,background
ert_039,eham_127_pollutant_root,doc_002,generated_lore
ert_039,eham_127_repost_00,doc_009,generated_lore
ert_039,eham_127_repost_01,doc_004,contaminant
ert_039,eham_127_repost_02,doc_007,contaminant
ert_039,eham_127_repost_03,doc_011,contaminant
ert_039,eham_127_context_06,doc_008,background
ert_039,eham_127_context_07,doc_001,background
ert_039,eham_127_context_08,doc_006,background
ert_039,eham_127_context_09,doc_003,background
ert_039,eham_127_context_10,doc_010,background
ert_039,eham_127_context_11,doc_005,background
ert_040,eham_000_primary_a,doc_014,primary
ert_040,eham_000_primary_b,doc_012,primary
ert_040,eham_000_pollutant_root,doc_006,contaminant
ert_040,eham_000_repost_00,doc_004,contaminant
ert_040,eham_000_repost_01,doc_013,contaminant
ert_040,eham_000_repost_02,doc_019,contaminant
ert_040,eham_000_repost_03,doc_011,contaminant
ert_040,eham_000_context_07,doc_010,background
ert_040,eham_000_context_08,doc_020,background
ert_040,eham_000_context_09,doc_015,background
ert_040,eham_000_context_10,doc_007,background
ert_040,eham_000_context_11,doc_001,background
ert_040,eham_000_context_12,doc_017,background
ert_040,eham_000_context_13,doc_003,background
ert_040,eham_001_context_07,doc_009,background
ert_040,eham_001_context_08,doc_008,background
ert_040,eham_001_context_09,doc_002,background
ert_040,eham_001_context_10,doc_018,background
ert_040,eham_001_context_11,doc_016,background
ert_040,eham_001_context_12,doc_005,background
ert_041,eham_001_primary_a,doc_018,primary
ert_041,eham_001_primary_b,doc_016,primary
ert_041,eham_001_pollutant_root,doc_013,contaminant
ert_041,eham_001_repost_00,doc_010,contaminant
ert_041,eham_001_repost_01,doc_019,contaminant
ert_041,eham_001_repost_02,doc_004,contaminant
ert_041,eham_001_repost_03,doc_015,contaminant
ert_041,eham_001_context_07,doc_020,background
ert_041,eham_001_context_08,doc_017,background
ert_041,eham_001_context_09,doc_012,background
ert_041,eham_001_context_10,doc_014,background
ert_041,eham_001_context_11,doc_008,background
ert_041,eham_001_context_12,doc_007,background
ert_041,eham_001_context_13,doc_011,background
ert_041,eham_002_context_07,doc_009,background
ert_041,eham_002_context_08,doc_002,background
ert_041,eham_002_context_09,doc_005,background
ert_041,eham_002_context_10,doc_001,background
ert_041,eham_002_context_11,doc_006,background
ert_041,eham_002_context_12,doc_003,background
ert_042,eham_002_primary_a,doc_019,primary
ert_042,eham_002_primary_b,doc_001,primary
ert_042,eham_002_pollutant_root,doc_004,contaminant
ert_042,eham_002_repost_00,doc_017,contaminant
ert_042,eham_002_repost_01,doc_008,contaminant
ert_042,eham_002_repost_02,doc_012,contaminant
ert_042,eham_002_repost_03,doc_018,contaminant
ert_042,eham_002_context_07,doc_005,background
ert_042,eham_002_context_08,doc_006,background
ert_042,eham_002_context_09,doc_002,background
ert_042,eham_002_context_10,doc_015,background
ert_042,eham_002_context_11,doc_007,background
ert_042,eham_002_context_12,doc_016,background
ert_042,eham_002_context_13,doc_011,background
ert_042,eham_003_context_07,doc_020,background
ert_042,eham_003_context_08,doc_013,background
ert_042,eham_003_context_09,doc_010,background
ert_042,eham_003_context_10,doc_014,background
ert_042,eham_003_context_11,doc_009,background
ert_042,eham_003_context_12,doc_003,background
ert_043,eham_003_primary_a,doc_019,primary
ert_043,eham_003_primary_b,doc_009,primary
ert_043,eham_003_pollutant_root,doc_002,contaminant
ert_043,eham_003_repost_00,doc_008,contaminant
ert_043,eham_003_repost_01,doc_018,contaminant
ert_043,eham_003_repost_02,doc_013,contaminant
ert_043,eham_003_repost_03,doc_016,contaminant
ert_043,eham_003_context_07,doc_007,background
ert_043,eham_003_context_08,doc_015,background
ert_043,eham_003_context_09,doc_005,background
ert_043,eham_003_context_10,doc_001,background
ert_043,eham_003_context_11,doc_012,background
ert_043,eham_003_context_12,doc_010,background
ert_043,eham_003_context_13,doc_014,background
ert_043,eham_004_context_06,doc_011,background
ert_043,eham_004_context_07,doc_003,background
ert_043,eham_004_context_08,doc_017,background
ert_043,eham_004_context_09,doc_020,background
ert_043,eham_004_context_10,doc_004,background
ert_043,eham_004_context_11,doc_006,background
ert_044,eham_004_primary_a,doc_015,primary
ert_044,eham_004_primary_b,doc_011,primary
ert_044,eham_004_pollutant_root,doc_020,contaminant
ert_044,eham_004_repost_00,doc_019,contaminant
ert_044,eham_004_repost_01,doc_017,contaminant
ert_044,eham_004_repost_02,doc_016,contaminant
ert_044,eham_004_context_06,doc_002,background
ert_044,eham_004_context_07,doc_018,background
ert_044,eham_004_context_08,doc_004,background
ert_044,eham_004_context_09,doc_005,background
ert_044,eham_004_context_10,doc_003,background
ert_044,eham_004_context_11,doc_008,background
ert_044,eham_004_context_12,doc_014,background
ert_044,eham_004_context_13,doc_012,background
ert_044,eham_005_context_07,doc_006,background
ert_044,eham_005_context_08,doc_001,background
ert_044,eham_005_context_09,doc_009,background
ert_044,eham_005_context_10,doc_010,background
ert_044,eham_005_context_11,doc_013,background
ert_044,eham_005_context_12,doc_007,background
ert_045,eham_005_primary_a,doc_016,primary
ert_045,eham_005_primary_b,doc_017,primary
ert_045,eham_005_pollutant_root,doc_005,contaminant
ert_045,eham_005_repost_00,doc_004,contaminant
ert_045,eham_005_repost_01,doc_014,contaminant
ert_045,eham_005_repost_02,doc_013,contaminant
ert_045,eham_005_repost_03,doc_018,contaminant
ert_045,eham_005_context_07,doc_009,background
ert_045,eham_005_context_08,doc_006,background
ert_045,eham_005_context_09,doc_003,background
ert_045,eham_005_context_10,doc_015,background
ert_045,eham_005_context_11,doc_007,background
ert_045,eham_005_context_12,doc_011,background
ert_045,eham_005_context_13,doc_012,background
ert_045,eham_006_context_08,doc_020,background
ert_045,eham_006_context_09,doc_010,background
ert_045,eham_006_context_10,doc_002,background
ert_045,eham_006_context_11,doc_019,background
ert_045,eham_006_context_12,doc_008,background
ert_045,eham_006_context_13,doc_001,background
ert_046,eham_006_primary_a,doc_015,primary
ert_046,eham_006_primary_b,doc_016,primary
ert_046,eham_006_pollutant_root,doc_005,contaminant
ert_046,eham_006_repost_00,doc_003,contaminant
ert_046,eham_006_repost_01,doc_019,contaminant
ert_046,eham_006_repost_02,doc_018,contaminant
ert_046,eham_006_repost_03,doc_020,contaminant
ert_046,eham_006_repost_04,doc_007,contaminant
ert_046,eham_006_context_08,doc_013,background
ert_046,eham_006_context_09,doc_004,background
ert_046,eham_006_context_10,doc_011,background
ert_046,eham_006_context_11,doc_010,background
ert_046,eham_006_context_12,doc_008,background
ert_046,eham_006_context_13,doc_017,background
ert_046,eham_007_context_06,doc_002,background
ert_046,eham_007_context_07,doc_012,background
ert_046,eham_007_context_08,doc_009,background
ert_046,eham_007_context_09,doc_001,background
ert_046,eham_007_context_10,doc_014,background
ert_046,eham_007_context_11,doc_006,background
ert_047,eham_007_primary_a,doc_020,primary
ert_047,eham_007_primary_b,doc_016,primary
ert_047,eham_007_pollutant_root,doc_008,contaminant
ert_047,eham_007_repost_00,doc_017,contaminant
ert_047,eham_007_repost_01,doc_002,contaminant
ert_047,eham_007_repost_02,doc_007,contaminant
ert_047,eham_007_context_06,doc_005,background
ert_047,eham_007_context_07,doc_012,background
ert_047,eham_007_context_08,doc_015,background
ert_047,eham_007_context_09,doc_003,background
ert_047,eham_007_context_10,doc_019,background
ert_047,eham_007_context_11,doc_009,background
ert_047,eham_007_context_12,doc_013,background
ert_047,eham_007_context_13,doc_014,background
ert_047,eham_008_context_07,doc_018,background
ert_047,eham_008_context_08,doc_004,background
ert_047,eham_008_context_09,doc_011,background
ert_047,eham_008_context_10,doc_006,background
ert_047,eham_008_context_11,doc_010,background
ert_047,eham_008_context_12,doc_001,background
ert_048,eham_048_primary_a,doc_006,primary
ert_048,eham_048_primary_b,doc_003,primary
ert_048,eham_048_pollutant_root,doc_007,stale
ert_048,eham_048_repost_00,doc_010,stale
ert_048,eham_048_repost_01,doc_013,stale
ert_048,eham_048_repost_02,doc_002,stale
ert_048,eham_048_repost_03,doc_018,stale
ert_048,eham_048_old_version,doc_009,stale
ert_048,eham_048_context_08,doc_012,background
ert_048,eham_048_context_09,doc_020,background
ert_048,eham_048_context_10,doc_014,background
ert_048,eham_048_context_11,doc_016,background
ert_048,eham_048_context_12,doc_008,background
ert_048,eham_048_context_13,doc_005,background
ert_048,eham_049_context_08,doc_017,background
ert_048,eham_049_context_09,doc_019,background
ert_048,eham_049_context_10,doc_004,background
ert_048,eham_049_context_11,doc_001,background
ert_048,eham_049_context_12,doc_011,background
ert_048,eham_049_context_13,doc_015,background
ert_049,eham_049_primary_a,doc_004,primary
ert_049,eham_049_primary_b,doc_001,primary
ert_049,eham_049_pollutant_root,doc_007,stale
ert_049,eham_049_repost_00,doc_011,stale
ert_049,eham_049_repost_01,doc_013,stale
ert_049,eham_049_repost_02,doc_014,stale
ert_049,eham_049_repost_03,doc_015,stale
ert_049,eham_049_old_version,doc_010,stale
ert_049,eham_049_context_08,doc_019,background
ert_049,eham_049_context_09,doc_005,background
ert_049,eham_049_context_10,doc_016,background
ert_049,eham_049_context_11,doc_003,background
ert_049,eham_049_context_12,doc_018,background
ert_049,eham_049_context_13,doc_006,background
ert_049,eham_050_context_09,doc_017,background
ert_049,eham_050_context_10,doc_009,background
ert_049,eham_050_context_11,doc_012,background
ert_049,eham_050_context_12,doc_002,background
ert_049,eham_050_context_13,doc_008,background
ert_050,eham_050_primary_a,doc_002,primary
ert_050,eham_050_primary_b,doc_003,primary
ert_050,eham_050_pollutant_root,doc_010,stale
ert_050,eham_050_repost_00,doc_019,stale
ert_050,eham_050_repost_01,doc_004,stale
ert_050,eham_050_repost_02,doc_011,stale
ert_050,eham_050_repost_03,doc_009,stale
ert_050,eham_050_repost_04,doc_018,stale
ert_050,eham_050_old_version,doc_016,stale
